time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,1234.41,1239.83,1239.83,1223.66,8.14,0.66,424.71,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,1235.95,1236.63,1244.24,1230.0,-3.2,-0.26,443.19,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,1234.96,1225.91,1240.97,1223.62,-10.72,-0.87,325.03,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,1224.74,1220.74,1234.23,1211.66,-5.17,-0.42,403.55,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,1219.19,1188.36,1221.07,1185.24,-32.38,-2.65,387.55,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,1183.94,1173.8,1185.94,1165.57,-14.56,-1.23,313.46,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,1176.36,1179.83,1184.54,1162.56,6.03,0.51,283.91,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,1185.54,1180.82,1187.88,1176.49,0.99,0.08,265.72,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,1178.64,1161.51,1178.64,1160.6,-19.31,-1.64,288.64,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,1153.41,1111.93,1153.41,1109.05,-49.58,-4.27,325.79,0.0,0.0,0.0,0.0,0.0,0.0,2,1323.05,1060.82
2011-01-18,1106.84,1117.39,1120.53,1098.91,5.46,0.49,195.74,0.0,0.0,0.0,0.0,0.0,0.0,2,1309.46,1049.93
2011-01-19,1117.11,1142.52,1142.66,1115.1,25.13,2.25,259.68,0.0,0.0,0.0,0.0,0.0,0.0,2,1299.01,1041.55
2011-01-20,1143.27,1101.77,1143.27,1100.34,-40.75,-3.57,360.16,0.0,0.0,0.0,0.0,0.0,0.0,2,1285.23,1030.5
2011-01-21,1098.88,1104.48,1118.82,1096.76,2.71,0.25,347.97,0.0,0.0,0.0,0.0,0.0,0.0,1,1272.33,1020.15
2011-01-24,1103.64,1069.02,1108.75,1068.88,-35.46,-3.21,290.94,0.0,0.0,0.0,0.0,0.0,0.0,1,1259.08,1009.53
2011-01-25,1066.34,1060.58,1066.54,1051.87,-8.44,-0.79,242.78,0.0,0.0,0.0,0.0,0.0,0.0,1,1246.51,999.46
2011-01-26,1060.15,1081.38,1082.12,1060.15,20.8,1.96,259.91,0.0,0.0,0.0,12.04,8.93,18.27,1,1235.59,990.69
2011-01-27,1075.68,1097.27,1100.66,1066.04,15.89,1.47,328.84,0.0,0.0,0.0,22.93,13.6,41.6,1,1226.31,983.26
2011-01-28,1095.87,1104.56,1107.03,1093.88,7.29,0.66,269.27,0.0,0.0,0.0,34.5,20.57,62.38,2,1219.99,978.19
2011-01-31,1101.95,1112.93,1113.26,1099.65,8.37,0.76,255.08,1257.28,1145.56,1033.84,45.27,28.8,78.21,2,1220.1,978.28
2011-02-01,1113.38,1114.05,1115.71,1105.99,1.12,0.1,209.58,1242.93,1139.27,1035.62,52.86,36.82,84.93,2,1219.73,977.98
2011-02-09,1106.67,1104.14,1117.97,1101.15,-9.91,-0.89,254.53,1227.1,1132.65,1038.2,61.26,44.97,93.85,2,1215.47,974.57
