time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,0.0,1710.48,0.0,0.0,1710.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,0.0,1714.41,0.0,0.0,1714.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,0.0,1689.82,0.0,0.0,1689.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,0.0,1681.58,0.0,0.0,1681.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,0.0,1634.98,0.0,0.0,1634.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,0.0,1614.72,0.0,0.0,1614.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,0.0,1616.19,0.0,0.0,1616.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,0.0,1617.04,0.0,0.0,1617.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,0.0,1591.76,0.0,0.0,1591.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,0.0,1528.2,0.0,0.0,1528.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1820.31,1459.53
2011-01-18,0.0,1534.04,0.0,0.0,1534.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1800.72,1443.82
2011-01-19,0.0,1575.75,0.0,0.0,1575.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1785.33,1431.48
2011-01-20,0.0,1517.13,0.0,0.0,1517.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1766.16,1416.11
