time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,0.0,1572.62,0.0,0.0,1572.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,0.0,1569.37,0.0,0.0,1569.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,0.0,1549.77,0.0,0.0,1549.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,0.0,1547.99,0.0,0.0,1547.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,0.0,1511.58,0.0,0.0,1511.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,0.0,1487.25,0.0,0.0,1487.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,0.0,1501.57,0.0,0.0,1501.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,0.0,1509.72,0.0,0.0,1509.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,0.0,1485.46,0.0,0.0,1485.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,0.0,1414.93,0.0,0.0,1414.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1681.68,1348.37
2011-01-18,0.0,1419.22,0.0,0.0,1419.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1664.65,1334.72
2011-01-19,0.0,1452.81,0.0,0.0,1452.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1651.71,1324.35
2011-01-20,0.0,1399.64,0.0,0.0,1399.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1635.05,1310.99
2011-01-21,0.0,1401.76,0.0,0.0,1401.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1618.82,1297.97
2011-01-24,0.0,1362.99,0.0,0.0,1362.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1602.32,1284.75
2011-01-25,0.0,1336.51,0.0,0.0,1336.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1585.59,1271.33
2011-01-26,0.0,1360.77,0.0,0.0,1360.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1569.96,1258.8
2011-01-27,0.0,1388.82,0.0,0.0,1388.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1556.54,1248.04
2011-01-28,0.0,1400.2,0.0,0.0,1400.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1547.08,1240.45
2011-01-31,0.0,1413.91,0.0,0.0,1413.91,0.0,0.0,1598.64,1454.34,1310.04,0.0,0.0,0.0,2,1546.97,1240.36
2011-02-01,0.0,1409.96,0.0,0.0,1409.96,0.0,0.0,1580.95,1446.21,1311.47,0.0,0.0,0.0,2,1545.94,1239.54
2011-02-09,0.0,1395.05,0.0,0.0,1395.05,0.0,0.0,1561.35,1437.5,1313.64,0.0,0.0,0.0,2,1539.53,1234.4
2011-02-10,0.0,1440.23,0.0,0.0,1440.23,0.0,0.0,1544.72,1432.02,1319.32,0.0,0.0,0.0,2,1544.03,1238.01
2011-02-11,0.0,1467.38,0.0,0.0,1467.38,0.0,0.0,1528.96,1427.99,1327.01,0.0,0.0,0.0,2,1551.32,1243.85
2011-02-14,0.0,1493.02,0.0,0.0,1493.02,0.0,0.0,1525.25,1427.06,1328.87,0.0,0.0,0.0,2,1565.75,1255.42
2011-02-15,0.0,1490.52,0.0,0.0,1490.52,0.0,0.0,1525.82,1427.22,1328.63,0.0,0.0,0.0,2,1582.84,1269.13
2011-02-16,0.0,1517.04,0.0,0.0,1517.04,0.0,0.0,1529.13,1428.0,1326.87,0.0,0.0,0.0,0,1600.19,1283.04
2011-02-17,0.0,1522.9,0.0,0.0,1522.9,0.0,0.0,1532.05,1428.66,1325.26,0.0,0.0,0.0,0,1615.07,1294.97
