time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,4409.31,4441.28,4446.09,4386.06,63.43,1.45,1116.43,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,4423.63,4452.33,4467.51,4404.7,11.05,0.25,1004.87,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,4450.21,4415.6,4470.77,4407.45,-36.73,-0.82,805.73,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,4408.6,4398.28,4449.09,4365.41,-17.32,-0.39,926.71,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,4394.2,4264.48,4403.35,4251.37,-133.8,-3.04,909.72,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,4247.88,4235.54,4248.01,4192.93,-28.94,-0.68,794.66,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,4244.39,4251.16,4268.74,4191.28,15.62,0.37,790.41,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,4269.64,4262.32,4280.03,4242.06,11.16,0.26,712.73,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,4251.92,4181.96,4251.92,4174.7,-80.36,-1.89,746.92,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,4154.77,4005.57,4154.77,4000.37,-176.39,-4.22,838.98,0.0,0.0,0.0,0.0,0.0,0.0,2,4762.85,3818.86
2011-01-18,3988.97,4016.85,4033.68,3966.06,11.28,0.28,583.7,0.0,0.0,0.0,0.0,0.0,0.0,2,4715.73,3781.08
2011-01-19,4010.57,4121.23,4121.84,4002.73,104.38,2.6,737.83,0.0,0.0,0.0,0.0,0.0,0.0,2,4678.98,3751.62
2011-01-20,4115.49,3985.35,4115.49,3981.74,-135.88,-3.3,815.58,0.0,0.0,0.0,0.0,0.0,0.0,2,4631.22,3713.32
2011-01-21,3971.8,4015.94,4057.74,3961.92,30.59,0.77,874.74,0.0,0.0,0.0,0.0,0.0,0.0,2,4588.78,3679.3
2011-01-24,4013.79,3914.68,4026.25,3912.29,-101.26,-2.52,769.03,0.0,0.0,0.0,0.0,0.0,0.0,2,4549.96,3648.16
2011-01-25,3902.23,3860.25,3907.44,3831.18,-54.43,-1.39,621.55,0.0,0.0,0.0,0.0,0.0,0.0,2,4508.3,3614.76
2011-01-26,3850.44,3931.89,3933.3,3850.44,71.64,1.86,597.41,0.0,0.0,0.0,13.17,10.36,18.8,2,4472.86,3586.35
2011-01-27,3903.58,4011.86,4022.92,3870.85,79.97,2.03,1010.4,0.0,0.0,0.0,27.39,16.04,50.11,2,4445.06,3564.06
2011-01-28,4004.96,4059.17,4072.11,4000.88,47.31,1.18,863.2,0.0,0.0,0.0,44.41,25.49,82.24,2,4431.43,3553.13
2011-01-31,4056.74,4126.71,4126.71,4052.37,67.54,1.66,906.79,4508.7,4147.62,3786.54,62.94,37.98,112.87,2,4444.88,3563.91
2011-02-01,4131.98,4140.05,4148.23,4107.62,13.34,0.32,808.68,4467.58,4132.56,3797.55,74.43,50.13,123.04,2,4458.55,3574.87
