time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2791.37,2803.5,2813.17,2789.36,5.22,0.19,971.2,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2801.59,2854.56,2860.5,2798.74,51.06,1.82,1318.12,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2869.54,2839.37,2874.41,2834.26,-15.18,-0.53,1201.44,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2834.39,2846.66,2854.96,2826.11,7.29,0.26,1101.23,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2848.17,2858.88,2864.43,2837.34,12.22,0.43,1047.16,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2876.36,2952.95,2983.32,2874.95,94.07,3.29,2700.22,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,2954.9,2958.8,2967.11,2944.3,5.85,0.2,1748.05,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,2949.12,2955.0,2955.38,2933.01,-3.8,-0.13,1458.88,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,2967.26,2964.6,2983.38,2940.82,9.6,0.33,1606.3,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,2962.77,2939.49,2976.43,2939.24,-25.12,-0.85,1456.43,0.0,0.0,0.0,0.0,0.0,0.0,2,3216.09,2578.67
2012-09-14,2956.78,2949.36,2965.64,2924.85,9.88,0.34,1774.35,0.0,0.0,0.0,0.0,0.0,0.0,2,3232.28,2591.65
2012-09-17,2947.85,2882.87,2949.41,2882.83,-66.49,-2.25,1537.09,0.0,0.0,0.0,0.0,0.0,0.0,2,3235.43,2594.17
2012-09-18,2876.27,2867.73,2886.8,2858.33,-15.14,-0.53,1072.15,0.0,0.0,0.0,0.0,0.0,0.0,2,3238.57,2596.69
2012-09-19,2867.85,2872.48,2877.41,2855.94,4.75,0.17,1060.56,0.0,0.0,0.0,0.0,0.0,0.0,2,3241.44,2598.99
2012-09-20,2863.02,2807.83,2863.16,2806.64,-64.65,-2.25,1336.15,0.0,0.0,0.0,0.0,0.0,0.0,2,3235.77,2594.45
2012-09-21,2800.73,2801.05,2820.99,2792.45,-6.78,-0.24,1202.41,0.0,0.0,0.0,0.0,0.0,0.0,2,3218.91,2580.93
2012-09-24,2786.96,2818.29,2827.08,2770.77,17.24,0.62,1043.4,0.0,0.0,0.0,21.76,35.62,-5.96,2,3203.32,2568.42
2012-09-25,2814.62,2820.56,2838.02,2807.41,2.27,0.08,827.26,0.0,0.0,0.0,22.57,31.27,5.18,1,3188.39,2556.46
2012-09-26,2821.62,2779.05,2829.15,2773.81,-41.51,-1.47,938.25,0.0,0.0,0.0,16.47,26.33,-3.27,1,3167.8,2539.95
2012-09-27,2777.86,2840.7,2856.66,2777.08,61.65,2.22,1406.57,2990.16,2870.69,2751.21,24.03,25.57,20.95,2,3156.83,2531.15
2012-09-28,2824.68,2896.76,2898.73,2823.51,56.06,1.97,1629.99,2991.19,2875.35,2759.5,48.84,33.32,79.87,2,3150.99,2526.47
2012-10-08,2898.24,2870.85,2906.96,2857.15,-25.91,-0.89,1036.2,2991.64,2876.16,2760.69,57.05,41.23,88.69,2,3149.66,2525.4
2012-10-09,2882.6,2936.99,2937.36,2882.59,66.14,2.3,1583.19,2998.13,2881.05,2763.96,71.29,51.25,111.38,2,3157.35,2531.57
2012-10-10,2932.36,2951.23,2955.43,2926.47,14.24,0.48,1597.59,3006.06,2886.27,2766.49,80.11,60.87,118.57,2,3166.09,2538.57
2012-10-11,2941.47,2922.47,2949.89,2921.24,-28.77,-0.97,1388.48,3009.54,2889.45,2769.37,80.79,67.51,107.34,2,3178.81,2548.78
2012-10-12,2934.45,2917.2,2956.07,2900.27,-5.27,-0.18,1246.02,3004.95,2887.67,2770.38,80.08,71.7,96.85,2,3191.71,2559.11
2012-10-15,2922.34,2922.56,2929.03,2901.41,5.36,0.18,1132.76,2999.75,2885.85,2771.95,80.59,74.66,92.45,2,3203.28,2568.39
2012-10-16,2922.25,2944.38,2967.17,2917.75,21.83,0.75,1344.8,2998.02,2885.32,2772.62,83.07,77.47,94.27,2,3217.02,2579.41
2012-10-17,2951.29,2941.44,2953.15,2917.86,-2.95,-0.1,1183.23,2994.02,2884.16,2774.31,82.74,79.22,89.77,2,3235.05,2593.87
2012-10-18,2948.4,2980.19,2986.17,2947.86,38.75,1.32,1763.25,3001.45,2886.2,2770.94,86.95,81.8,97.25,2,3250.53,2606.28
2012-10-19,2983.82,2973.26,2993.77,2963.15,-6.93,-0.23,1319.61,3005.7,2887.39,2769.09,85.15,82.92,89.62,2,3259.02,2613.09
2012-10-22,2962.99,2980.59,2986.06,2955.65,7.33,0.25,1224.45,3017.31,2892.28,2767.25,85.4,83.74,88.72,2,3271.2,2622.86
