time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-01-04,790.29,768.05,794.32,768.05,0.0,-1.73,109.05,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-05,761.01,746.86,762.98,746.07,0.0,-2.76,121.07,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-06,742.82,753.53,754.79,733.34,0.0,0.89,96.96,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-09,753.71,780.84,780.84,748.57,0.0,3.62,138.38,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-10,779.13,806.65,806.65,779.13,0.0,3.31,178.52,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-11,804.66,810.02,823.87,799.56,0.0,0.42,179.47,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-12,807.3,802.72,813.41,801.39,0.0,-0.9,104.05,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-13,802.76,763.5,802.76,763.5,0.0,-4.89,143.63,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-16,754.98,735.75,757.84,735.75,0.0,-3.64,86.87,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-17,736.95,774.59,774.86,729.94,0.0,5.28,120.83,0.0,0.0,0.0,0.0,0.0,0.0,2,859.42,689.08
2012-01-18,773.85,743.98,776.91,740.53,0.0,-3.95,132.77,0.0,0.0,0.0,0.0,0.0,0.0,2,856.75,686.94
2012-01-19,741.86,734.88,748.55,731.64,0.0,-1.22,135.02,0.0,0.0,0.0,0.0,0.0,0.0,2,855.42,685.87
2012-01-20,736.88,743.71,748.05,736.88,0.0,1.2,110.33,0.0,0.0,0.0,0.0,0.0,0.0,2,854.33,685.0
2012-01-30,747.77,747.25,753.59,744.61,0.0,0.48,86.37,0.0,0.0,0.0,0.0,0.0,0.0,2,850.6,682.01
2012-01-31,746.15,759.73,759.73,738.57,0.0,1.67,121.9,0.0,0.0,0.0,0.0,0.0,0.0,2,845.39,677.84
2012-02-01,755.1,746.69,760.86,745.87,0.0,-1.72,103.9,0.0,0.0,0.0,0.0,0.0,0.0,2,838.36,672.2
