time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-07-02,1005.81,1011.05,1013.72,1003.3,0.0,1.11,96.58,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-03,1010.3,1015.29,1022.73,1009.79,0.0,0.42,102.17,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-04,1014.39,1006.85,1017.56,1004.24,0.0,-0.83,78.15,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-05,1007.74,981.71,1007.74,979.11,0.0,-2.5,138.96,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-06,986.69,1000.0,1002.24,972.66,0.0,1.86,118.82,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-09,994.7,971.62,997.53,971.62,0.0,-2.84,101.03,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-10,967.63,972.12,975.45,963.56,0.0,0.05,75.55,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-11,972.07,980.57,980.67,969.92,0.0,0.87,98.45,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-12,979.55,998.27,999.53,971.52,0.0,1.81,123.52,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-13,993.33,989.09,1000.78,985.92,0.0,-0.92,88.44,0.0,0.0,0.0,0.0,0.0,0.0,2,1101.85,883.46
2012-07-16,988.71,945.91,988.71,945.91,0.0,-4.37,112.08,0.0,0.0,0.0,0.0,0.0,0.0,2,1094.62,877.67
2012-07-17,943.45,964.87,964.87,942.46,0.0,2.01,83.76,0.0,0.0,0.0,0.0,0.0,0.0,2,1089.02,873.18
2012-07-18,962.97,971.8,971.8,948.66,0.0,0.72,89.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1085.13,870.06
2012-07-19,968.54,984.36,992.11,967.92,0.0,1.29,124.34,0.0,0.0,0.0,0.0,0.0,0.0,2,1085.43,870.3
2012-07-20,980.14,973.16,986.84,972.58,0.0,-1.14,93.05,0.0,0.0,0.0,0.0,0.0,0.0,2,1082.45,867.91
