time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-01-04,4559.21,4414.33,4577.23,4414.33,0.0,-2.09,170.63,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-05,4378.47,4215.5,4378.47,4206.12,0.0,-4.5,201.63,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-06,4196.86,4205.23,4205.23,4078.12,0.0,-0.24,179.33,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-09,4204.94,4373.53,4373.53,4155.77,0.0,4.0,203.57,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-10,4368.34,4559.5,4560.27,4368.34,0.0,4.25,312.32,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-11,4554.98,4578.39,4629.46,4546.69,0.0,0.41,266.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-12,4550.56,4589.75,4628.46,4550.56,0.0,0.25,227.44,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-13,4586.1,4415.74,4586.1,4378.82,0.0,-3.79,227.56,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-16,4371.18,4269.38,4385.42,4265.31,0.0,-3.31,129.11,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-17,4261.8,4513.17,4513.18,4239.32,0.0,5.71,256.52,0.0,0.0,0.0,0.0,0.0,0.0,2,4898.93,3927.97
2012-01-18,4517.27,4422.32,4546.51,4413.62,0.0,-2.01,257.95,0.0,0.0,0.0,0.0,0.0,0.0,2,4899.82,3928.68
2012-01-19,4413.89,4445.31,4486.78,4401.31,0.0,0.52,196.04,0.0,0.0,0.0,0.0,0.0,0.0,2,4925.33,3949.14
2012-01-20,4452.86,4495.86,4503.94,4452.86,0.0,1.14,139.91,0.0,0.0,0.0,0.0,0.0,0.0,2,4957.59,3975.0
2012-01-30,4507.14,4475.92,4531.46,4472.85,0.0,-0.44,155.36,0.0,0.0,0.0,0.0,0.0,0.0,2,4968.95,3984.12
2012-01-31,4471.7,4494.11,4494.11,4437.67,0.0,0.41,160.63,0.0,0.0,0.0,0.0,0.0,0.0,2,4961.69,3978.3
2012-02-01,4482.35,4426.42,4514.44,4417.72,0.0,-1.51,143.48,0.0,0.0,0.0,0.0,0.0,0.0,2,4944.83,3964.77
2012-02-02,4432.95,4509.43,4509.43,4429.09,0.0,1.88,174.92,0.0,0.0,0.0,68.96,62.37,82.13,2,4935.91,3957.62
2012-02-03,4502.94,4607.57,4616.1,4502.94,0.0,2.18,268.74,0.0,0.0,0.0,78.55,67.76,100.13,2,4957.2,3974.69
2012-02-06,4617.93,4608.47,4619.81,4574.97,0.0,0.02,231.08,0.0,0.0,0.0,83.97,73.16,105.58,2,4994.84,4004.87
2012-02-07,4586.85,4564.47,4586.85,4518.61,0.0,-0.96,228.93,4695.34,4459.22,4223.1,80.87,75.73,91.15,2,5000.54,4009.44
2012-02-08,4549.92,4696.33,4696.33,4544.66,0.0,2.89,287.61,4729.83,4473.32,4216.81,87.25,79.57,102.6,2,5030.95,4033.83
2012-02-09,4687.68,4715.47,4746.54,4679.85,0.0,0.41,306.17,4746.77,4498.32,4249.86,88.35,82.5,100.05,2,5060.94,4057.87
2012-02-10,4702.97,4716.72,4747.48,4685.84,0.0,0.03,255.81,4750.77,4523.89,4297.01,89.12,84.71,97.96,2,5085.46,4077.53
2012-02-13,4676.86,4768.72,4796.12,4676.86,0.0,1.1,280.91,4783.19,4543.65,4304.11,90.33,86.58,97.84,2,5117.96,4103.59
2012-02-14,4769.96,4788.35,4800.69,4747.36,0.0,0.41,245.84,4817.35,4555.1,4292.84,92.45,88.54,100.27,0,5150.62,4129.77
2012-02-15,4777.41,4902.14,4902.14,4767.55,0.0,2.38,359.0,4874.12,4571.28,4268.44,94.97,90.68,103.54,0,5203.42,4172.11
2012-02-16,4887.06,4879.03,4937.13,4829.8,0.0,-0.47,354.41,4917.03,4585.75,4254.46,92.02,91.13,93.8,0,5244.45,4205.01
2012-02-17,4899.83,4891.88,4904.25,4835.09,0.0,0.26,290.3,4956.6,4609.55,4262.5,91.07,91.11,91.0,0,5276.01,4230.31
2012-02-20,4952.87,4928.04,4972.7,4925.48,0.0,0.74,351.33,4979.01,4642.49,4305.96,90.57,90.93,89.86,0,5311.48,4258.75
2012-02-21,4922.05,4978.9,4978.9,4861.8,0.0,1.03,278.5,5026.84,4665.77,4304.71,93.71,91.86,97.43,0,5357.48,4295.64
2012-02-22,4969.84,5070.04,5070.04,4969.84,0.0,1.83,405.64,5081.57,4698.16,4314.74,95.81,93.18,101.08,0,5398.96,4328.9
2012-02-23,5061.59,5084.45,5089.65,5026.61,0.0,0.28,398.26,5130.09,4730.12,4330.14,96.79,94.38,101.6,0,5439.92,4361.74
2012-02-24,5075.51,5144.49,5144.49,5046.57,0.0,1.18,447.13,5185.79,4762.55,4339.3,97.86,95.54,102.5,0,5487.4,4399.81
2012-02-27,5151.52,5128.62,5196.98,5124.8,0.0,-0.31,480.61,5225.59,4795.18,4364.78,93.27,94.78,90.23,0,5527.35,4431.84
