time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-01-04,1772.5,1711.23,1775.0,1711.23,0.0,-2.64,258.58,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-05,1696.27,1628.4,1696.27,1626.28,0.0,-4.84,291.82,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-06,1619.05,1633.28,1633.28,1586.73,0.0,0.3,260.09,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-09,1632.74,1698.76,1698.76,1617.24,0.0,4.01,370.05,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-10,1697.94,1767.0,1768.56,1697.94,0.0,4.02,544.95,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-11,1763.25,1782.93,1805.42,1758.01,0.0,0.9,468.49,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-12,1771.58,1776.74,1794.75,1769.03,0.0,-0.35,350.44,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-13,1774.61,1700.85,1774.61,1688.05,0.0,-4.27,392.24,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-16,1681.46,1644.0,1687.34,1643.96,0.0,-3.34,211.04,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-17,1637.28,1734.51,1734.68,1632.89,0.0,5.51,417.38,0.0,0.0,0.0,0.0,0.0,0.0,2,1895.62,1519.92
2012-01-18,1736.26,1688.13,1746.71,1681.27,0.0,-2.67,412.9,0.0,0.0,0.0,0.0,0.0,0.0,2,1893.06,1517.86
2012-01-19,1682.33,1694.86,1709.14,1675.73,0.0,0.4,296.29,0.0,0.0,0.0,0.0,0.0,0.0,2,1900.44,1523.77
2012-01-20,1697.26,1712.31,1715.58,1697.02,0.0,1.03,213.71,0.0,0.0,0.0,0.0,0.0,0.0,2,1909.21,1530.81
2012-01-30,1716.88,1708.87,1730.22,1704.32,0.0,-0.2,263.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1910.33,1531.71
2012-01-31,1705.19,1707.77,1707.77,1688.72,0.0,-0.06,230.51,0.0,0.0,0.0,0.0,0.0,0.0,2,1903.76,1526.44
2012-02-01,1704.82,1692.04,1721.33,1689.48,0.0,-0.92,279.14,0.0,0.0,0.0,0.0,0.0,0.0,2,1893.67,1518.35
2012-02-02,1696.72,1724.94,1724.94,1691.32,0.0,1.94,280.27,0.0,0.0,0.0,56.42,47.3,74.65,2,1887.92,1513.74
2012-02-03,1722.19,1767.06,1768.17,1722.19,0.0,2.44,425.72,0.0,0.0,0.0,70.67,55.09,101.83,2,1895.27,1519.63
2012-02-06,1769.18,1772.97,1777.46,1759.26,0.0,0.34,347.45,0.0,0.0,0.0,78.98,63.05,110.82,2,1909.58,1531.11
2012-02-07,1763.8,1754.08,1763.8,1737.25,0.0,-1.07,326.07,1805.21,1715.04,1624.86,78.32,68.14,98.68,2,1911.76,1532.85
2012-02-08,1750.88,1803.34,1803.34,1747.16,0.0,2.81,452.47,1817.64,1719.64,1621.65,85.55,73.95,108.76,2,1924.54,1543.1
2012-02-09,1800.14,1813.97,1827.47,1799.53,0.0,0.59,485.65,1825.74,1728.92,1632.11,87.12,78.34,104.69,2,1937.77,1553.7
2012-02-10,1809.15,1811.63,1820.81,1798.59,0.0,-0.13,416.66,1830.54,1737.84,1645.13,87.61,81.43,99.97,2,1948.79,1562.54
2012-02-13,1797.61,1840.64,1847.84,1797.61,0.0,1.6,471.1,1845.93,1744.93,1643.93,90.22,84.36,101.95,2,1963.42,1574.27
2012-02-14,1839.47,1841.15,1846.06,1828.76,0.0,0.03,374.86,1857.73,1748.64,1639.55,92.06,86.93,102.32,0,1978.22,1586.14
2012-02-15,1836.75,1874.65,1874.65,1835.45,0.0,1.82,544.38,1874.7,1753.23,1631.75,94.71,89.52,105.08,0,1998.49,1602.39
2012-02-16,1871.39,1873.44,1889.62,1855.03,0.0,-0.07,538.33,1890.13,1758.06,1625.99,92.93,90.66,97.48,0,2014.98,1615.61
2012-02-17,1877.17,1870.56,1878.27,1848.76,0.0,-0.15,377.27,1904.5,1766.55,1628.59,91.12,90.81,91.73,0,2026.46,1624.82
2012-02-20,1894.59,1886.16,1911.92,1886.16,0.0,0.83,583.55,1913.94,1778.65,1643.37,88.87,90.16,86.28,0,2039.03,1634.9
2012-02-21,1881.59,1913.45,1913.45,1859.31,0.0,1.45,457.52,1933.3,1787.6,1641.91,92.58,90.97,95.8,0,2056.72,1649.08
2012-02-22,1912.69,1953.82,1953.82,1912.69,0.0,2.11,668.92,1956.02,1800.89,1645.75,95.05,92.33,100.5,0,2073.42,1662.47
2012-02-23,1949.54,1952.97,1961.17,1930.28,0.0,-0.04,589.86,1974.35,1813.79,1653.23,95.03,93.23,98.63,0,2088.85,1674.84
2012-02-24,1949.06,1970.32,1970.32,1943.67,0.0,0.89,636.78,1993.89,1826.69,1659.5,96.69,94.38,101.3,0,2106.46,1688.97
2012-02-27,1972.5,1966.33,1993.96,1966.33,0.0,-0.2,942.76,2008.13,1839.56,1671.0,91.98,93.58,88.78,0,2120.42,1700.15
2012-02-28,1957.35,1940.72,1959.74,1926.84,0.0,-1.3,742.99,2013.83,1851.21,1688.59,82.43,89.86,67.57,2,2131.47,1709.02
2012-02-29,1933.6,1913.99,1940.92,1913.99,0.0,-1.38,514.83,2009.53,1862.31,1715.09,69.93,83.22,43.35,2,2135.84,1712.52
2012-03-01,1905.24,1938.27,1951.43,1905.24,0.0,1.27,497.27,2009.35,1872.98,1736.6,66.17,77.54,43.43,2,2143.03,1718.29
2012-03-02,1938.09,1972.52,1972.52,1938.09,0.0,1.77,564.32,2017.09,1883.25,1749.41,72.14,75.74,64.94,2,2154.35,1727.36
2012-03-05,1983.49,1980.33,2012.71,1980.33,0.0,0.4,788.12,2023.76,1893.62,1763.48,71.38,74.28,65.58,2,2164.8,1735.74
2012-03-06,1975.72,1977.03,1990.62,1948.23,0.0,-0.17,704.98,2022.82,1904.76,1786.71,69.85,72.81,63.95,2,2171.86,1741.4
2012-03-07,1953.46,1978.25,2006.4,1953.46,0.0,0.06,741.53,2026.0,1913.51,1801.02,69.21,71.61,64.42,2,2174.57,1743.57
2012-03-08,1982.76,1997.14,2004.72,1982.76,0.0,0.96,586.04,2031.0,1922.67,1814.34,74.65,72.62,78.7,2,2179.47,1747.51
2012-03-09,2003.66,2023.05,2023.05,1999.41,0.0,1.3,516.82,2037.34,1933.24,1829.14,83.1,76.11,97.07,2,2185.33,1752.2
2012-03-12,2029.17,2042.98,2042.98,2024.9,0.0,0.99,623.25,2048.82,1943.36,1837.9,88.73,80.32,105.56,2,2193.84,1759.02
2012-03-13,2043.2,2060.19,2060.19,2040.47,0.0,0.84,689.92,2060.53,1954.31,1848.09,92.49,84.38,108.71,2,2207.1,1769.65
2012-03-14,2069.88,1955.4,2077.28,1938.12,0.0,-5.09,985.54,2058.09,1958.35,1858.6,65.8,78.19,41.04,2,2211.69,1773.34
2012-03-15,1951.76,1932.81,1969.43,1903.38,0.0,-1.16,673.13,2054.06,1961.31,1868.57,49.51,68.63,11.28,2,2211.09,1772.85
2012-03-16,1934.46,1979.24,1979.24,1923.41,0.0,2.4,560.11,2049.82,1966.75,1883.68,47.55,61.6,19.44,2,2211.83,1773.45
2012-03-19,1978.34,2002.42,2002.42,1964.6,0.0,1.17,518.7,2048.2,1972.56,1896.92,50.68,57.96,36.13,2,2214.28,1775.42
2012-03-20,1995.51,1947.55,1995.51,1947.55,0.0,-2.74,437.58,2045.93,1974.27,1902.6,42.26,52.73,21.31,2,2211.01,1772.79
2012-03-21,1953.08,1949.67,1962.77,1920.16,0.0,0.11,532.34,2045.99,1974.06,1902.13,37.04,47.5,16.13,2,2207.84,1770.25
2012-03-22,1949.23,1943.32,1958.46,1934.23,0.0,-0.33,396.25,2046.19,1973.58,1900.96,32.35,42.45,12.15,2,2201.87,1765.46
2012-03-23,1934.16,1908.69,1934.16,1900.36,0.0,-1.78,373.22,2048.43,1970.5,1892.56,23.14,36.01,-2.61,2,2189.17,1755.28
2012-03-26,1904.79,1906.82,1913.69,1892.67,0.0,-0.1,275.09,2050.26,1967.52,1884.78,17.98,30.0,-6.06,2,2174.06,1743.16
2012-03-27,1917.02,1909.6,1927.83,1905.9,0.0,0.15,330.18,2051.78,1965.96,1880.15,17.13,25.71,-0.04,2,2157.34,1729.76
2012-03-28,1902.96,1820.75,1902.96,1817.93,0.0,-4.65,424.43,2065.96,1961.3,1856.64,11.93,21.12,-6.45,2,2142.4,1717.78
2012-03-29,1806.14,1761.39,1806.14,1741.15,0.0,-3.26,392.86,2088.58,1952.46,1816.34,10.53,17.59,-3.57,2,2123.37,1702.52
2012-03-30,1756.6,1756.85,1767.2,1743.47,0.0,-0.26,302.89,2101.78,1941.67,1781.56,9.08,14.75,-2.26,2,2098.68,1682.73
2012-04-05,1757.38,1815.96,1815.96,1757.38,0.0,3.37,344.05,2101.46,1933.46,1765.45,17.31,15.6,20.71,2,2077.99,1666.13
2012-04-06,1814.33,1826.05,1836.93,1810.77,0.0,0.56,329.07,2098.9,1925.91,1752.91,24.56,18.59,36.5,2,2064.5,1655.32
2012-04-09,1820.72,1799.89,1825.35,1799.89,0.0,-1.43,302.37,2096.53,1916.99,1737.44,26.52,21.23,37.09,2,2047.87,1641.99
2012-04-10,1791.34,1822.44,1822.44,1753.82,0.0,1.25,347.44,2088.35,1908.25,1728.16,32.19,24.89,46.81,2,2034.46,1631.23
2012-04-11,1796.77,1835.21,1835.21,1794.39,0.0,0.7,383.39,2073.54,1898.86,1724.18,38.26,29.34,56.09,2,2026.3,1624.69
2012-04-12,1837.35,1876.93,1876.93,1837.32,0.0,2.27,444.98,2052.36,1890.56,1728.76,53.48,37.39,85.65,2,2022.98,1622.03
2012-04-13,1881.8,1878.46,1890.64,1870.71,0.0,0.08,429.38,2023.33,1881.47,1739.62,66.27,47.01,104.78,2,2019.53,1619.26
2012-04-16,1861.64,1865.99,1873.47,1854.42,0.0,-0.66,308.7,2014.84,1877.0,1739.17,71.93,55.32,105.15,2,2024.55,1623.29
2012-04-17,1862.45,1840.83,1864.99,1840.83,0.0,-1.35,324.76,2008.61,1872.4,1736.2,69.15,59.93,87.59,2,2033.37,1630.36
2012-04-18,1845.79,1881.42,1881.42,1845.79,0.0,2.21,425.9,1994.75,1867.51,1740.27,77.19,65.68,100.2,0,2047.19,1641.44
2012-04-19,1881.45,1882.47,1888.91,1873.32,0.0,0.06,358.85,1973.1,1861.51,1749.93,82.8,71.39,105.63,0,2054.58,1647.36
2012-04-20,1876.71,1899.27,1899.27,1873.37,0.0,0.89,399.64,1965.08,1859.1,1753.12,88.53,77.1,111.39,0,2062.7,1653.88
2012-04-23,1900.36,1907.84,1916.02,1882.91,0.0,0.45,796.81,1957.26,1857.01,1756.76,90.11,81.44,107.46,0,2074.69,1663.49
2012-04-24,1885.36,1858.09,1893.68,1816.32,0.0,-2.61,648.92,1944.87,1852.75,1760.62,74.04,78.97,64.18,2,2078.64,1666.66
2012-04-25,1851.55,1863.08,1865.55,1840.95,0.0,0.27,434.61,1939.13,1850.47,1761.8,64.99,74.31,46.35,2,2081.74,1669.14
2012-04-26,1864.89,1869.63,1876.63,1852.69,0.0,0.35,438.5,1933.97,1848.61,1763.25,61.15,69.93,43.6,2,2080.93,1668.49
2012-04-27,1868.36,1857.44,1871.64,1856.54,0.0,-0.65,355.98,1926.81,1846.0,1765.19,54.52,64.79,33.97,2,2078.59,1666.62
2012-05-02,1881.23,1873.76,1882.81,1861.44,0.0,0.88,427.62,1929.45,1848.65,1767.85,55.55,61.71,43.23,2,2079.46,1667.31
2012-05-03,1874.74,1885.81,1885.81,1868.45,0.0,0.64,410.2,1926.48,1854.87,1783.26,60.27,61.23,58.34,2,2084.45,1671.31
2012-05-04,1888.37,1910.38,1911.82,1888.37,0.0,1.3,501.2,1922.43,1862.55,1802.66,71.62,64.69,85.49,2,2087.66,1673.89
2012-05-07,1900.77,1921.1,1921.1,1900.77,0.0,0.56,532.4,1928.86,1867.8,1806.75,81.08,70.16,102.94,2,2091.95,1677.33
2012-05-08,1924.76,1927.01,1934.55,1921.42,0.0,0.31,511.01,1935.92,1872.85,1809.78,85.26,75.19,105.4,2,2095.03,1679.8
2012-05-09,1920.17,1930.06,1936.92,1917.89,0.0,0.16,703.41,1937.66,1879.36,1821.07,87.79,79.39,104.59,2,2097.5,1681.78
2012-05-10,1929.48,1921.41,1931.31,1915.05,0.0,-0.45,464.68,1939.14,1884.31,1829.48,85.72,81.5,94.17,2,2104.52,1687.41
2012-05-11,1915.61,1888.74,1915.61,1888.6,0.0,-1.7,368.99,1936.98,1886.99,1836.99,70.5,77.84,55.84,2,2107.37,1689.7
2012-05-14,1902.64,1874.25,1902.64,1873.35,0.0,-0.77,325.33,1936.96,1886.85,1836.74,52.66,69.44,19.09,2,2107.89,1690.11
2012-05-15,1859.42,1863.88,1863.88,1839.27,0.0,-0.55,327.16,1937.12,1886.12,1835.13,43.51,60.8,8.92,2,2108.6,1690.68
2012-05-16,1861.54,1835.28,1861.54,1835.28,0.0,-1.53,278.92,1939.61,1884.59,1829.57,29.0,50.2,-13.39,2,2104.33,1687.25
2012-05-17,1834.16,1853.74,1856.77,1831.82,0.0,1.01,304.94,1938.46,1885.23,1832.01,26.29,42.23,-5.59,2,2100.77,1684.4
2012-05-18,1844.37,1817.93,1848.32,1815.91,0.0,-1.93,309.42,1942.85,1882.06,1821.27,18.08,34.18,-14.11,2,2090.51,1676.17
2012-05-21,1813.5,1814.04,1823.09,1797.72,0.0,-0.21,243.0,1946.27,1878.64,1811.01,15.96,28.11,-8.33,2,2078.62,1666.64
2012-05-22,1820.93,1838.49,1838.49,1820.93,0.0,1.35,295.29,1944.69,1875.6,1806.5,20.81,25.68,11.09,2,2068.8,1658.77
2012-05-23,1837.61,1825.86,1839.78,1813.52,0.0,-0.69,278.92,1942.17,1871.5,1800.83,21.83,24.4,16.71,2,2057.23,1649.49
2012-05-24,1822.84,1827.66,1840.96,1820.68,0.0,0.1,299.09,1943.01,1869.98,1796.95,24.07,24.29,23.63,2,2046.83,1641.15
2012-05-25,1827.5,1798.1,1827.5,1796.96,0.0,-1.62,231.5,1946.19,1866.73,1787.26,16.61,21.73,6.38,2,2036.76,1633.08
2012-05-28,1793.05,1808.99,1808.99,1756.58,0.0,0.61,298.86,1947.02,1863.7,1780.37,27.72,23.73,35.71,2,2029.52,1627.27
2012-05-29,1814.47,1839.14,1841.94,1814.47,0.0,1.67,433.89,1946.76,1862.78,1778.8,45.95,31.13,75.58,2,2026.77,1625.07
2012-05-30,1839.35,1840.58,1842.13,1829.77,0.0,0.08,326.77,1945.48,1861.12,1776.77,61.15,41.14,101.18,2,2027.36,1625.54
2012-05-31,1831.33,1848.56,1856.44,1831.33,0.0,0.43,378.82,1943.0,1859.26,1775.52,71.47,51.25,111.91,2,2026.79,1625.08
2012-06-01,1846.62,1834.98,1853.14,1827.5,0.0,-0.73,285.79,1936.42,1855.49,1774.56,73.82,58.77,103.91,2,2028.68,1626.6
2012-06-04,1800.33,1763.41,1805.11,1763.35,0.0,-3.9,347.66,1932.08,1847.61,1763.13,51.49,56.35,41.78,2,2023.06,1622.09
2012-06-05,1765.03,1755.18,1769.47,1751.16,0.0,-0.47,212.06,1924.39,1839.01,1753.64,35.6,49.43,7.94,2,2013.81,1614.68
2012-06-06,1757.88,1750.76,1771.12,1744.11,0.0,-0.25,209.3,1912.91,1830.05,1747.18,25.71,41.52,-5.92,2,2005.48,1608.0
2012-06-07,1766.07,1734.72,1769.24,1732.99,0.0,-0.92,217.88,1902.36,1820.71,1739.07,17.61,33.55,-14.28,2,1995.16,1599.72
