time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,1086.2,1087.26,1093.08,1085.68,-2.68,-0.25,1761.2,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,1085.91,1097.49,1100.93,1083.77,10.23,0.94,2376.57,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,1096.67,1086.04,1098.63,1083.55,-11.45,-1.04,2192.91,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,1083.85,1086.97,1090.8,1079.98,0.93,0.09,2209.23,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,1089.47,1095.64,1096.02,1088.49,8.67,0.8,2171.23,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,1102.76,1140.01,1150.94,1102.76,44.37,4.05,5745.67,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,1140.16,1143.26,1146.35,1136.85,3.25,0.28,3760.87,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,1141.0,1136.45,1141.0,1129.45,-6.81,-0.6,3139.78,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,1141.58,1140.46,1146.79,1129.74,4.01,0.35,3440.91,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,1138.64,1134.96,1146.4,1134.79,-5.5,-0.48,3415.63,0.0,0.0,0.0,0.0,0.0,0.0,2,1237.49,992.22
2012-09-14,1143.31,1138.06,1146.82,1130.88,3.11,0.27,3760.51,0.0,0.0,0.0,0.0,0.0,0.0,2,1243.13,996.74
2012-09-17,1136.3,1110.31,1137.55,1109.83,-27.75,-2.44,3074.41,0.0,0.0,0.0,0.0,0.0,0.0,2,1244.55,997.88
2012-09-18,1106.22,1099.32,1108.52,1096.21,-10.99,-0.99,2113.56,0.0,0.0,0.0,0.0,0.0,0.0,2,1246.02,999.06
2012-09-19,1100.6,1103.89,1106.44,1097.07,4.57,0.42,2120.27,0.0,0.0,0.0,0.0,0.0,0.0,2,1247.9,1000.57
2012-09-20,1100.61,1080.05,1100.75,1079.3,-23.84,-2.16,2793.58,0.0,0.0,0.0,0.0,0.0,0.0,2,1246.17,999.18
2012-09-21,1076.95,1079.23,1087.66,1074.69,-0.82,-0.08,2471.62,0.0,0.0,0.0,0.0,0.0,0.0,2,1239.42,993.77
2012-09-24,1073.76,1085.22,1089.82,1068.13,5.99,0.55,2263.27,0.0,0.0,0.0,22.22,36.3,-5.93,2,1232.98,988.61
2012-09-25,1082.27,1082.49,1088.18,1078.7,-2.73,-0.25,1744.12,0.0,0.0,0.0,20.9,31.17,0.37,1,1226.99,983.81
2012-09-26,1081.52,1068.88,1084.58,1067.04,-13.61,-1.26,1816.63,0.0,0.0,0.0,14.7,25.68,-7.25,1,1219.05,977.43
2012-09-27,1068.85,1099.95,1105.36,1068.74,31.08,2.91,3055.28,1153.06,1104.8,1056.54,25.36,25.57,24.93,2,1215.16,974.32
2012-09-28,1092.21,1118.06,1120.08,1091.52,18.11,1.65,3268.53,1154.23,1106.34,1058.45,48.97,33.37,80.17,2,1212.94,972.54
