time,open,high,low,close,change,changePct,tradingVol,tradingValue,consNumber,peg
20200102,1004.36,1012.5,1000.54,1012.28,0.0,1.23,26.64,11.14,0.0,0.0
20200103,1015.18,1015.18,999.97,1012.61,0.0,0.03,29.92,11.57,0.0,0.0
20200106,1008.41,1021.94,1008.41,1015.9,0.0,0.33,30.16,12.42,0.0,0.0
20200107,1014.76,1028.87,1009.16,1028.87,0.0,1.28,28.25,11.66,0.0,0.0
20200108,1026.39,1040.15,1021.09,1025.32,0.0,-0.35,36.94,14.55,0.0,0.0
20200109,1032.92,1055.24,1032.92,1053.46,0.0,2.75,32.66,15.84,0.0,0.0
20200110,1053.73,1068.09,1053.05,1064.13,0.0,1.01,43.55,15.95,0.0,0.0
20200113,1066.28,1084.23,1057.81,1084.23,0.0,1.89,39.32,16.58,0.0,0.0
20200114,1085.47,1103.23,1085.47,1093.63,0.0,0.87,42.97,18.29,0.0,0.0
20200115,1090.4,1104.97,1090.2,1093.91,0.0,0.03,32.23,14.36,0.0,0.0
20200116,1094.4,1115.17,1092.41,1113.12,0.0,1.76,39.13,19.57,0.0,0.0
20200117,1118.28,1178.02,1118.28,1163.74,0.0,4.55,65.14,30.68,0.0,0.0
20200120,1175.84,1227.03,1172.01,1207.33,0.0,3.75,68.15,33.06,0.0,0.0
20200121,1211.67,1214.34,1167.2,1167.32,0.0,-3.31,55.01,26.49,0.0,0.0
20200122,1171.04,1183.75,1134.55,1170.09,0.0,0.24,49.54,24.58,0.0,0.0
20200123,1161.42,1188.15,1120.31,1137.01,0.0,-2.83,46.18,23.9,0.0,0.0
20200203,1008.89,1111.0,997.9,1092.92,0.0,-3.88,78.63,33.3,0.0,0.0
20200204,1070.94,1178.0,1070.94,1151.33,0.0,5.34,76.12,32.33,0.0,0.0
20200205,1161.56,1231.42,1161.56,1230.92,0.0,6.91,86.17,39.27,0.0,0.0
20200206,1217.59,1279.29,1217.59,1246.76,0.0,1.29,95.31,41.58,0.0,0.0
20200207,1239.45,1263.11,1211.36,1233.12,0.0,-1.1,77.0,34.65,0.0,0.0
20200210,1232.03,1232.03,1196.73,1222.52,0.0,-0.86,65.58,30.14,0.0,0.0
20200211,1220.48,1220.48,1171.44,1175.78,0.0,-3.82,51.7,23.81,0.0,0.0
20200212,1196.17,1229.9,1196.17,1225.07,0.0,4.19,44.16,20.65,0.0,0.0
20200213,1251.15,1279.1,1240.67,1269.7,0.0,3.64,56.7,28.64,0.0,0.0
20200214,1268.58,1281.45,1244.5,1255.45,0.0,-1.12,65.73,33.81,0.0,0.0
20200217,1242.8,1296.4,1242.8,1292.68,0.0,2.97,64.5,34.88,0.0,0.0
20200218,1300.22,1300.22,1269.2,1281.48,0.0,-0.87,59.4,31.07,0.0,0.0
20200219,1273.68,1301.52,1263.62,1268.45,0.0,-1.02,54.04,31.62,0.0,0.0
20200220,1266.33,1276.53,1233.47,1250.74,0.0,-1.4,41.57,23.63,0.0,0.0
20200221,1250.91,1254.33,1239.1,1240.12,0.0,-0.85,40.76,22.67,0.0,0.0
20200224,1242.27,1253.04,1239.33,1244.4,0.0,0.35,38.09,20.21,0.0,0.0
20200225,1231.64,1287.64,1231.64,1287.64,0.0,3.48,57.96,30.39,0.0,0.0
20200226,1289.6,1299.16,1244.62,1245.52,0.0,-3.27,52.16,28.03,0.0,0.0
20200227,1243.04,1243.04,1206.35,1206.35,0.0,-3.15,38.26,20.29,0.0,0.0
20200228,1181.56,1206.51,1165.04,1179.03,0.0,-2.26,41.8,21.87,0.0,0.0
20200302,1158.66,1195.57,1158.66,1190.76,0.0,1.0,38.78,19.4,0.0,0.0
20200303,1207.82,1223.85,1201.01,1209.91,0.0,1.61,41.73,21.99,0.0,0.0
20200304,1199.35,1207.76,1178.78,1198.2,0.0,-0.97,27.62,14.28,0.0,0.0
20200305,1209.09,1209.09,1188.19,1205.33,0.0,0.6,28.62,16.98,0.0,0.0
20200306,1198.93,1215.74,1198.93,1205.96,0.0,0.05,29.14,15.5,0.0,0.0
20200309,1187.9,1198.97,1174.64,1174.64,0.0,-2.6,36.83,19.18,0.0,0.0
20200310,1148.23,1171.82,1125.0,1171.82,0.0,-0.24,33.91,16.49,0.0,0.0
20200311,1171.32,1195.35,1163.13,1163.13,0.0,-0.74,23.42,11.82,0.0,0.0
20200312,1152.26,1152.26,1123.15,1127.09,0.0,-3.1,22.33,11.26,0.0,0.0
20200313,1063.29,1116.3,1063.29,1107.08,0.0,-1.78,27.49,12.87,0.0,0.0
20200316,1120.49,1130.28,1061.36,1061.56,0.0,-4.11,28.83,13.73,0.0,0.0
20200317,1066.45,1066.45,1006.49,1051.02,0.0,-0.99,26.13,12.51,0.0,0.0
20200318,1057.52,1072.85,1027.77,1028.01,0.0,-2.19,23.1,10.73,0.0,0.0
20200319,1027.22,1030.18,994.39,1013.41,0.0,-1.42,22.35,11.59,0.0,0.0
20200320,1022.71,1035.87,1014.4,1026.64,0.0,1.31,17.19,7.9,0.0,0.0
20200323,1006.22,1010.65,980.93,982.04,0.0,-4.34,24.39,10.77,0.0,0.0
20200324,999.25,1007.53,980.24,1003.29,0.0,2.16,21.11,9.82,0.0,0.0
20200325,1032.15,1036.24,1028.04,1034.12,0.0,3.07,20.95,9.59,0.0,0.0
20200326,1025.96,1045.92,1025.96,1042.16,0.0,0.78,24.39,9.62,0.0,0.0
20200327,1049.53,1058.82,1035.54,1039.42,0.0,-0.26,20.58,9.5,0.0,0.0
20200330,1024.83,1024.83,1001.68,1004.0,0.0,-3.41,18.07,8.42,0.0,0.0
20200331,1004.36,1010.29,981.36,987.1,0.0,-1.68,17.55,9.64,0.0,0.0
20200401,989.82,1001.5,979.91,984.47,0.0,-0.27,12.74,6.34,0.0,0.0
20200402,984.35,1008.45,977.89,1008.45,0.0,2.44,12.73,6.28,0.0,0.0
20200403,1006.83,1022.24,1006.83,1014.46,0.0,0.6,16.91,6.99,0.0,0.0
20200407,1031.51,1046.55,1027.23,1044.27,0.0,2.94,19.99,8.43,0.0,0.0
