time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,4097.47,4109.87,4125.03,4088.7,-5.41,-0.13,723.96,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,4099.0,4169.86,4178.26,4088.97,60.0,1.46,943.9,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,4166.88,4126.09,4182.59,4119.57,-43.77,-1.05,875.84,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,4118.56,4147.3,4161.3,4109.33,21.21,0.51,825.3,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,4156.56,4187.48,4188.48,4152.93,40.18,0.97,832.27,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,4216.74,4354.9,4386.47,4216.74,167.42,4.0,2124.97,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,4360.87,4393.43,4408.32,4356.04,38.53,0.88,1504.88,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,4390.95,4391.48,4392.65,4358.34,-1.95,-0.04,1164.47,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,4410.59,4410.45,4428.61,4358.42,18.97,0.43,1078.51,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,4406.99,4378.21,4441.33,4377.67,-32.24,-0.73,1266.83,0.0,0.0,0.0,0.0,0.0,0.0,2,4736.27,3797.55
2012-09-14,4408.21,4378.24,4419.09,4343.47,0.03,0.0,1408.73,0.0,0.0,0.0,0.0,0.0,0.0,2,4766.06,3821.43
2012-09-17,4378.02,4258.66,4385.97,4258.53,-119.58,-2.73,1102.89,0.0,0.0,0.0,0.0,0.0,0.0,2,4775.91,3829.34
2012-09-18,4247.77,4230.29,4267.28,4216.56,-28.37,-0.67,781.77,0.0,0.0,0.0,0.0,0.0,0.0,2,4787.48,3838.61
2012-09-19,4237.66,4272.51,4280.86,4235.92,42.22,1.0,757.65,0.0,0.0,0.0,0.0,0.0,0.0,2,4801.38,3849.75
2012-09-20,4259.23,4143.21,4259.23,4141.87,-129.3,-3.03,937.57,0.0,0.0,0.0,0.0,0.0,0.0,2,4796.46,3845.81
2012-09-21,4137.21,4108.1,4146.25,4095.07,-35.11,-0.85,755.39,0.0,0.0,0.0,0.0,0.0,0.0,2,4769.07,3823.85
2012-09-24,4091.91,4141.43,4159.32,4068.23,33.33,0.81,691.8,0.0,0.0,0.0,22.92,40.12,-11.48,2,4741.1,3801.42
2012-09-25,4127.64,4112.96,4152.0,4103.61,-28.47,-0.69,524.83,0.0,0.0,0.0,19.28,33.17,-8.52,2,4710.18,3776.63
2012-09-26,4114.29,4037.06,4125.32,4030.3,-75.9,-1.85,585.8,0.0,0.0,0.0,13.43,26.59,-12.89,1,4668.73,3743.4
2012-09-27,4036.74,4124.47,4149.1,4031.67,87.42,2.17,919.02,4458.98,4223.8,3988.62,17.78,23.65,6.03,2,4640.57,3720.82
2012-09-28,4103.18,4197.3,4200.76,4096.59,72.83,1.77,1093.16,4457.9,4228.17,3998.44,34.07,27.13,47.96,2,4620.48,3704.71
2012-10-08,4202.08,4183.33,4226.5,4162.37,-13.97,-0.33,824.24,4457.97,4228.85,3999.72,43.07,32.44,64.33,2,4612.12,3698.01
2012-10-09,4196.43,4291.26,4292.01,4196.43,107.93,2.58,1130.25,4462.69,4237.1,4011.51,61.95,42.28,101.3,2,4618.89,3703.44
2012-10-10,4287.63,4328.3,4328.3,4278.1,37.04,0.86,1131.81,4471.13,4246.15,4021.18,74.63,53.06,117.78,2,4625.08,3708.4
2012-10-11,4314.52,4266.79,4320.63,4266.29,-61.51,-1.42,1026.5,4473.61,4250.12,4026.63,76.21,60.78,107.07,2,4638.8,3719.4
2012-10-12,4276.82,4248.63,4311.93,4215.7,-18.16,-0.43,784.97,4463.07,4244.81,4026.54,75.23,65.6,94.49,2,4654.4,3731.91
2012-10-15,4249.36,4232.93,4252.52,4197.74,-15.7,-0.37,786.63,4444.12,4236.78,4029.44,72.82,68.0,82.45,2,4664.56,3740.05
2012-10-16,4232.3,4240.28,4278.23,4223.98,7.35,0.17,855.62,4424.1,4229.22,4034.34,71.99,69.33,77.3,2,4678.69,3751.38
2012-10-17,4254.59,4242.19,4259.86,4203.62,1.91,0.04,785.85,4397.33,4220.81,4044.28,68.94,69.2,68.41,2,4701.46,3769.64
2012-10-18,4252.29,4301.25,4307.05,4251.77,59.06,1.39,1011.04,4382.61,4216.96,4051.31,73.86,70.75,80.07,2,4721.08,3785.37
2012-10-19,4303.44,4298.37,4315.8,4285.25,-2.88,-0.07,807.7,4366.26,4212.97,4059.67,75.01,72.17,80.68,2,4732.3,3794.37
2012-10-22,4282.75,4301.89,4311.34,4266.86,3.52,0.08,721.72,4372.12,4215.13,4058.14,76.59,73.65,82.49,2,4745.46,3804.92
2012-10-23,4302.15,4241.04,4307.11,4235.98,-60.85,-1.41,840.34,4372.93,4215.66,4058.4,62.81,70.03,48.36,2,4739.89,3800.45
2012-10-24,4220.47,4225.85,4250.08,4212.13,-15.19,-0.36,908.14,4368.53,4213.33,4058.14,49.81,63.29,22.84,2,4728.51,3791.33
2012-10-25,4229.41,4177.27,4246.99,4176.04,-48.59,-1.15,1096.5,4367.84,4215.04,4062.23,33.5,53.36,-6.22,2,4718.58,3783.36
2012-10-26,4171.31,4090.49,4178.61,4066.35,-86.78,-2.08,888.6,4369.6,4214.15,4058.71,25.56,44.09,-11.51,2,4701.02,3769.29
2012-10-29,4078.38,4078.77,4098.18,4061.95,-11.71,-0.29,566.51,4374.52,4211.02,4047.52,19.25,35.81,-13.88,2,4683.91,3755.57
2012-10-30,4074.8,4072.17,4109.28,4063.58,-6.6,-0.16,654.94,4378.24,4208.98,4039.73,14.17,28.6,-14.68,2,4665.25,3740.61
2012-10-31,4067.95,4090.97,4091.21,4056.67,18.8,0.46,921.96,4371.34,4211.68,4052.01,13.86,23.69,-5.79,2,4648.47,3727.15
2012-11-01,4092.39,4162.94,4169.22,4092.39,71.97,1.76,1002.63,4369.91,4213.6,4057.3,23.15,23.51,22.44,2,4633.11,3714.84
2012-11-02,4164.98,4171.86,4177.71,4143.15,8.92,0.21,718.78,4369.56,4212.33,4055.1,30.77,25.93,40.44,2,4619.07,3703.58
2012-11-05,4168.93,4163.71,4193.82,4143.24,-8.15,-0.2,799.02,4369.53,4211.35,4053.17,38.96,30.27,56.33,2,4603.73,3691.28
2012-11-06,4164.89,4142.75,4169.75,4085.55,-20.96,-0.5,908.76,4360.33,4203.92,4047.51,41.05,33.86,55.42,2,4592.82,3682.53
2012-11-07,4139.15,4146.51,4166.39,4122.41,3.77,0.09,780.36,4342.14,4194.83,4047.53,49.2,38.98,69.65,2,4584.02,3675.47
2012-11-08,4117.87,4057.69,4126.83,4056.39,-88.82,-2.14,821.67,4339.26,4184.38,4029.5,33.12,37.02,25.3,2,4570.74,3664.83
2012-11-09,4051.76,4041.99,4074.85,4030.15,-15.7,-0.39,763.33,4337.72,4174.05,4010.37,24.49,32.84,7.78,2,4565.36,3660.51
2012-11-12,4045.23,4065.23,4073.45,4030.05,23.24,0.58,894.69,4333.54,4165.66,3997.78,23.49,29.72,11.01,2,4563.86,3659.31
2012-11-13,4066.56,3997.14,4067.4,3993.38,-68.1,-1.68,843.03,4332.83,4153.5,3974.18,16.28,25.24,-1.64,2,4555.53,3652.63
2012-11-14,3999.67,4016.45,4017.41,3972.38,19.31,0.48,672.25,4326.15,4142.22,3958.28,17.49,22.66,7.15,2,4547.26,3646.0
2012-11-15,3995.3,3938.14,4016.66,3935.22,-78.31,-1.95,738.72,4313.23,4124.06,3934.89,12.04,19.12,-2.13,2,4522.3,3625.99
2012-11-16,3931.33,3908.09,3933.38,3881.65,-30.05,-0.76,709.81,4298.23,4104.55,3910.86,11.08,16.44,0.37,2,4493.02,3602.52
2012-11-19,3903.06,3910.47,3912.03,3860.2,2.38,0.06,556.21,4273.99,4084.98,3895.96,12.86,15.25,8.09,1,4464.92,3579.98
2012-11-20,3921.56,3898.27,3930.19,3895.79,-12.2,-0.31,598.75,4259.29,4067.84,3876.39,13.33,14.61,10.78,1,4437.78,3558.22
2012-11-21,3900.02,3948.72,3948.72,3863.97,50.46,1.29,725.82,4237.64,4053.98,3870.33,22.64,17.28,33.34,2,4415.82,3540.61
2012-11-22,3934.49,3908.01,3936.84,3900.88,-40.71,-1.03,567.39,4225.52,4040.52,3855.52,22.56,19.04,29.6,2,4399.21,3527.29
2012-11-23,3917.69,3921.67,3941.7,3908.05,13.66,0.35,664.49,4222.51,4032.08,3841.64,24.93,21.01,32.78,2,4385.85,3516.58
2012-11-26,3918.02,3878.25,3923.9,3874.11,-43.41,-1.11,679.77,4222.45,4022.05,3821.65,20.45,20.82,19.7,2,4365.1,3499.94
2012-11-27,3864.14,3768.13,3864.14,3768.13,-110.12,-2.84,717.22,4234.07,4006.85,3779.63,13.63,18.42,4.05,2,4339.68,3479.56
2012-11-28,3756.13,3697.91,3756.13,3690.75,-70.22,-1.86,627.27,4247.5,3987.2,3726.89,10.01,15.62,-1.2,2,4304.32,3451.21
2012-11-29,3696.48,3671.57,3717.77,3669.43,-26.34,-0.71,545.57,4243.86,3962.63,3681.4,6.93,12.72,-4.66,2,4274.73,3427.49
2012-11-30,3670.33,3714.12,3717.81,3662.53,42.55,1.16,687.73,4223.63,3939.74,3655.86,10.63,12.03,7.84,2,4253.2,3410.22
2012-12-03,3712.63,3622.02,3729.75,3619.29,-92.11,-2.48,763.42,4208.99,3912.66,3616.32,7.36,10.47,1.14,2,4221.18,3384.55
2012-12-04,3619.83,3674.67,3678.9,3606.29,52.66,1.45,720.44,4183.12,3889.25,3595.38,11.7,10.88,13.35,2,4196.36,3364.65
2012-12-05,3672.1,3807.64,3825.15,3666.44,132.97,3.62,1385.18,4143.06,3872.31,3601.55,27.81,16.53,50.39,2,4180.7,3352.1
2012-12-06,3814.33,3792.88,3831.85,3783.05,-14.76,-0.39,951.9,4117.9,3859.07,3600.23,38.12,23.73,66.92,2,4167.92,3341.85
2012-12-07,3791.91,3872.78,3878.79,3782.3,79.9,2.11,1307.56,4095.67,3850.61,3605.55,58.01,35.16,103.73,2,4162.5,3337.5
2012-12-10,3890.35,3938.4,3945.62,3885.71,65.62,1.69,1414.18,4072.79,3844.27,3615.74,71.3,47.2,119.49,2,4169.17,3342.85
2012-12-11,3932.09,3917.6,3945.69,3907.65,-20.8,-0.53,1040.57,4060.66,3840.29,3619.92,78.11,57.51,119.31,2,4185.76,3356.15
2012-12-12,3912.16,3908.03,3929.91,3870.25,-9.57,-0.24,850.21,4042.61,3834.87,3627.13,81.71,65.57,113.98,2,4209.09,3374.85
2012-12-13,3898.63,3865.05,3907.81,3863.21,-42.98,-1.1,797.99,4034.07,3831.21,3628.36,79.88,70.34,98.97,2,4230.56,3392.07
2012-12-14,3868.6,4021.24,4022.71,3867.33,156.19,4.04,1903.04,4053.81,3836.87,3619.93,86.47,75.72,107.98,2,4264.65,3419.41
2012-12-17,4029.73,4028.54,4049.11,4006.44,7.3,0.18,1624.22,4073.4,3842.78,3612.15,89.19,80.21,107.15,2,4309.78,3455.59
2012-12-18,4023.07,4022.61,4061.14,3996.64,-5.93,-0.15,1400.71,4091.65,3848.99,3606.33,88.19,82.87,98.82,2,4348.4,3486.55
2012-12-19,4024.38,4047.21,4064.69,4015.35,24.6,0.61,1280.49,4108.19,3853.92,3599.64,90.06,85.27,99.65,2,4374.99,3507.88
2012-12-20,4040.84,4070.72,4072.99,4010.04,23.52,0.58,1372.1,4132.62,3862.05,3591.48,93.01,87.85,103.34,2,4405.83,3532.6
2012-12-21,4075.25,4075.38,4127.03,4056.93,4.66,0.11,1418.52,4154.98,3869.74,3584.5,88.82,88.17,90.11,2,4428.32,3550.64
2012-12-24,4068.76,4106.39,4118.33,4066.83,31.01,0.76,1151.6,4184.51,3881.14,3577.78,89.94,88.76,92.29,2,4446.97,3565.59
2012-12-25,4097.66,4188.2,4201.01,4083.48,81.82,1.99,1738.05,4228.59,3902.15,3575.7,92.03,89.85,96.38,2,4477.0,3589.67
2012-12-26,4187.08,4227.33,4227.33,4181.05,39.13,0.93,1545.74,4270.04,3928.62,3587.2,94.68,91.46,101.13,0,4512.45,3618.09
2012-12-27,4233.94,4201.75,4256.68,4199.26,-25.58,-0.61,1435.44,4294.93,3955.13,3615.33,89.42,90.78,86.69,0,4549.82,3648.05
2012-12-28,4201.32,4242.07,4242.53,4191.06,40.32,0.96,1186.34,4324.35,3981.53,3638.7,91.07,90.88,91.46,0,4574.33,3667.71
2012-12-31,4261.11,4314.85,4314.85,4257.16,72.78,1.72,1520.54,4346.47,4016.17,3685.87,94.05,91.93,98.28,0,4606.11,3693.19
2013-01-04,4344.74,4271.3,4351.42,4236.74,-43.56,-1.01,1712.97,4354.6,4046.0,3737.4,88.21,90.69,83.24,0,4633.72,3715.32
2013-01-07,4273.87,4326.33,4326.33,4266.25,55.03,1.29,1777.84,4383.22,4071.93,3760.65,89.3,90.23,87.44,0,4664.7,3740.16
2013-01-08,4329.05,4401.81,4412.15,4322.84,75.48,1.74,1921.79,4417.62,4102.38,3787.14,91.87,90.77,94.06,0,4701.45,3769.63
2013-01-09,4388.99,4393.95,4427.02,4354.5,-7.86,-0.18,1753.1,4449.56,4128.44,3807.31,91.37,90.97,92.16,0,4736.81,3797.98
2013-01-10,4393.81,4429.48,4452.22,4387.4,35.53,0.81,1704.9,4487.08,4152.99,3818.91,91.45,91.13,92.09,0,4772.67,3826.74
2013-01-11,4435.69,4364.61,4458.46,4355.06,-64.87,-1.46,1987.24,4503.2,4175.34,3847.49,82.6,88.29,71.23,0,4792.26,3842.44
2013-01-14,4355.53,4565.0,4565.24,4355.24,200.39,4.59,2282.81,4553.51,4208.19,3862.87,88.38,88.32,88.5,0,4829.74,3872.49
2013-01-15,4587.79,4659.93,4689.32,4585.16,94.93,2.08,2876.84,4608.76,4247.94,3887.11,90.09,88.91,92.45,0,4880.6,3913.27
2013-01-16,4654.77,4680.11,4699.34,4582.34,20.18,0.43,2654.15,4671.94,4280.88,3889.82,92.01,89.94,96.14,0,4929.22,3952.26
2013-01-17,4672.77,4574.94,4672.77,4564.51,-105.18,-2.25,1892.19,4701.27,4308.2,3915.13,85.1,88.33,78.64,0,4958.09,3975.4
2013-01-18,4592.59,4658.14,4677.72,4590.84,83.2,1.82,1923.17,4738.28,4339.98,3941.67,86.42,87.69,83.87,0,5001.03,4009.83
2013-01-21,4672.56,4696.41,4698.66,4641.82,38.27,0.82,1914.62,4775.79,4372.44,3969.08,90.66,88.68,94.62,0,5042.11,4042.77
2013-01-22,4694.69,4609.88,4694.69,4580.97,-86.53,-1.84,2093.28,4790.37,4399.39,4008.42,85.11,87.49,80.36,2,5065.2,4061.29
2013-01-23,4603.5,4660.96,4662.89,4599.96,51.08,1.11,1763.11,4805.66,4428.67,4051.69,86.36,87.11,84.85,2,5094.84,4085.05
2013-01-24,4666.21,4582.81,4721.14,4549.63,-78.15,-1.68,2170.7,4804.38,4452.49,4100.6,78.3,84.18,66.56,2,5111.86,4098.7
2013-01-25,4577.48,4580.92,4607.2,4563.95,-1.9,-0.04,1384.79,4806.21,4472.13,4138.04,58.28,75.55,23.76,2,5135.87,4117.95
2013-01-28,4597.34,4711.98,4712.11,4597.34,131.06,2.86,1766.58,4826.19,4496.36,4166.54,70.41,73.83,63.56,2,5152.18,4131.03
2013-01-29,4713.54,4730.42,4742.54,4688.4,18.44,0.39,1859.05,4838.37,4522.8,4207.22,78.18,75.28,83.97,2,5160.01,4137.3
2013-01-30,4732.09,4748.79,4750.33,4696.9,18.38,0.39,1872.21,4850.57,4548.13,4245.69,85.2,78.59,98.42,2,5167.63,4143.42
2013-01-31,4743.33,4720.85,4751.59,4699.95,-27.95,-0.59,1664.86,4859.82,4568.43,4277.04,85.06,80.74,93.68,2,5183.83,4156.4
2013-02-01,4704.3,4736.97,4762.03,4698.34,16.13,0.34,1661.31,4857.72,4591.71,4325.7,86.11,82.53,93.25,2,5192.58,4163.42
2013-02-04,4745.59,4691.22,4760.2,4676.99,-45.75,-0.97,1995.2,4849.38,4609.96,4370.53,79.62,81.56,75.75,2,5192.0,4162.96
2013-02-05,4671.87,4744.37,4752.78,4667.53,53.15,1.13,2113.5,4853.14,4627.09,4401.04,83.64,82.26,86.42,2,5206.93,4174.93
2013-02-06,4753.98,4781.74,4795.1,4753.98,37.36,0.79,1738.33,4855.06,4646.48,4437.89,87.17,83.89,93.72,2,5220.34,4185.68
2013-02-07,4775.21,4839.19,4847.33,4764.82,57.45,1.2,1665.08,4866.56,4666.96,4467.36,90.36,86.05,98.98,2,5248.8,4208.49
2013-02-08,4836.27,4919.11,4940.94,4835.41,79.92,1.65,1673.2,4871.31,4694.69,4518.06,90.91,87.67,97.4,2,5286.34,4238.59
2013-02-18,4947.57,4945.9,4958.11,4899.78,26.79,0.54,1542.41,4911.23,4713.73,4516.24,92.54,89.29,99.03,2,5312.3,4259.41
2013-02-19,4947.44,4860.98,4955.62,4842.31,-84.93,-1.72,1808.44,4929.59,4723.78,4517.97,83.89,87.49,76.67,2,5326.79,4271.03
2013-02-20,4854.43,4954.91,4955.16,4852.8,93.94,1.93,1569.75,4965.35,4737.52,4509.7,88.89,87.96,90.75,2,5349.67,4289.38
2013-02-21,4923.03,4826.0,4923.03,4789.35,-128.91,-2.6,1907.4,4968.14,4750.08,4532.01,77.44,84.45,63.41,2,5361.34,4298.73
2013-02-22,4821.27,4816.2,4864.13,4810.99,-9.8,-0.2,1419.13,4973.59,4757.98,4542.37,68.68,79.19,47.65,2,5370.14,4305.79
2013-02-25,4828.57,4843.4,4862.65,4807.76,27.19,0.56,1162.95,4982.06,4765.33,4548.6,60.39,72.93,35.31,2,5387.03,4319.33
2013-02-26,4819.97,4785.45,4864.87,4781.42,-57.95,-1.2,1536.16,4978.83,4774.11,4569.38,43.82,63.22,5.0,2,5391.59,4322.99
2013-02-27,4793.28,4797.97,4834.19,4751.96,12.52,0.26,1422.31,4979.15,4780.96,4582.77,36.65,54.37,1.22,2,5393.39,4324.43
2013-02-28,4813.44,4904.08,4904.11,4798.45,106.12,2.21,1675.33,4979.85,4797.02,4614.2,49.03,52.59,41.92,2,5400.59,4330.21
2013-03-01,4902.61,4964.05,4967.29,4897.57,59.96,1.22,1722.08,4984.1,4816.18,4648.26,65.52,56.9,82.76,2,5405.58,4334.21
2013-03-04,4948.78,4855.68,4974.36,4819.54,-108.37,-2.18,2217.5,4985.01,4823.36,4661.71,59.22,57.67,62.33,2,5395.57,4326.18
2013-03-05,4863.37,4969.14,4969.21,4844.16,113.47,2.34,1804.56,5002.88,4835.3,4667.72,72.03,62.46,91.18,2,5407.57,4335.8
2013-03-06,4988.42,5048.43,5064.69,4988.42,79.29,1.6,2514.26,5036.76,4850.28,4663.81,79.62,68.18,102.51,2,5417.95,4344.13
2013-03-07,5033.22,4943.85,5041.35,4897.74,-104.58,-2.07,2242.56,5042.2,4861.43,4680.67,73.54,69.97,80.67,2,5431.04,4354.61
2013-03-08,4947.17,4896.89,4983.01,4887.42,-46.96,-0.95,1399.85,5041.4,4869.43,4697.46,64.47,68.13,57.15,2,5439.99,4361.8
2013-03-11,4893.57,4912.74,4935.88,4866.54,15.85,0.32,1272.07,5032.51,4880.5,4728.49,60.12,65.46,49.43,2,5447.69,4367.97
2013-03-12,4910.46,4780.13,4931.54,4724.51,-132.61,-2.7,1671.19,5028.59,4882.29,4736.0,45.53,58.82,18.95,2,5447.1,4367.49
2013-03-13,4767.46,4720.19,4767.46,4672.53,-59.94,-1.25,1294.09,5036.05,4879.21,4722.38,34.4,50.68,1.85,2,5438.46,4360.57
2013-03-14,4700.3,4745.79,4764.79,4699.08,25.6,0.54,1020.06,5041.13,4874.54,4707.96,29.16,43.51,0.47,2,5420.89,4346.48
2013-03-15,4752.79,4775.38,4870.22,4720.33,29.6,0.62,1591.01,5037.99,4867.36,4696.73,28.18,38.4,7.75,2,5399.95,4329.69
2013-03-18,4760.81,4700.36,4790.16,4697.0,-75.02,-1.57,1614.17,5036.34,4855.08,4673.82,21.15,32.65,-1.84,2,5382.71,4315.87
2013-03-19,4703.68,4719.35,4731.42,4644.14,19.0,0.4,1278.4,5038.61,4848.0,4657.39,20.41,28.57,4.1,2,5354.99,4293.64
2013-03-20,4722.62,4849.65,4849.88,4721.24,130.29,2.76,1711.81,5026.95,4842.74,4658.52,33.83,30.32,40.83,2,5332.92,4275.95
2013-03-21,4852.72,4909.17,4924.13,4846.84,59.52,1.23,1776.04,5033.16,4846.9,4660.63,52.83,37.83,82.84,2,5329.07,4272.86
