time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-01-04,1008.24,971.51,1008.68,971.51,0.0,-2.85,313.32,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-05,967.81,933.96,967.81,931.53,0.0,-3.87,366.11,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-06,933.61,944.92,944.92,918.54,0.0,1.17,334.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-09,946.39,987.54,987.54,935.72,0.0,4.51,475.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-10,986.99,1033.68,1034.28,986.99,0.0,4.67,735.71,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-11,1033.37,1040.02,1046.49,1028.88,0.0,0.61,648.77,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-12,1036.42,1040.19,1055.72,1036.39,0.0,0.02,592.92,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-13,1039.33,1005.84,1039.33,996.3,0.0,-3.3,559.68,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-16,993.38,961.04,994.84,960.94,0.0,-4.45,354.9,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-17,961.56,1023.23,1023.23,961.56,0.0,6.47,597.03,0.0,0.0,0.0,0.0,0.0,0.0,2,1103.55,884.83
2012-01-18,1028.52,1005.52,1042.03,1000.91,0.0,-1.73,719.14,0.0,0.0,0.0,0.0,0.0,0.0,2,1107.33,887.86
2012-01-19,1003.73,1020.14,1022.3,1001.04,0.0,1.45,510.61,0.0,0.0,0.0,0.0,0.0,0.0,2,1116.9,895.53
2012-01-20,1023.6,1029.93,1032.62,1019.31,0.0,0.96,421.24,0.0,0.0,0.0,0.0,0.0,0.0,2,1126.33,903.09
2012-01-30,1034.61,1022.39,1036.63,1022.39,0.0,-0.73,361.78,0.0,0.0,0.0,0.0,0.0,0.0,2,1130.2,906.2
2012-01-31,1020.75,1021.11,1021.11,1012.2,0.0,-0.13,327.53,0.0,0.0,0.0,0.0,0.0,0.0,2,1128.8,905.08
2012-02-01,1019.47,1007.88,1030.98,1007.4,0.0,-1.3,335.09,0.0,0.0,0.0,0.0,0.0,0.0,2,1125.24,902.22
2012-02-02,1009.5,1031.43,1031.43,1007.57,0.0,2.34,389.07,0.0,0.0,0.0,70.05,64.27,81.6,2,1124.26,901.44
2012-02-03,1029.89,1049.37,1050.95,1029.29,0.0,1.74,591.78,0.0,0.0,0.0,79.44,69.33,99.67,2,1129.1,905.31
2012-02-06,1052.59,1060.46,1063.2,1052.22,0.0,1.06,591.61,0.0,0.0,0.0,84.83,74.49,105.5,2,1140.13,914.16
2012-02-07,1053.65,1038.95,1053.65,1031.89,0.0,-2.03,431.61,1079.45,1011.46,943.46,76.88,75.29,80.07,2,1141.88,915.56
2012-02-08,1037.63,1071.75,1071.75,1035.89,0.0,3.16,594.85,1086.69,1016.47,946.24,84.59,78.39,96.98,2,1149.23,921.45
2012-02-09,1070.75,1077.25,1088.61,1069.96,0.0,0.51,717.34,1087.69,1023.63,959.57,85.06,80.61,93.96,2,1155.57,926.54
2012-02-10,1073.98,1079.87,1083.97,1071.77,0.0,0.24,578.72,1087.95,1030.38,972.81,86.45,82.56,94.24,2,1161.11,930.98
