time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,946.44,952.13,955.0,944.34,2.77,0.29,3572.81,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,949.15,967.88,969.55,947.49,15.74,1.65,4416.42,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,967.81,960.68,973.1,958.94,-7.2,-0.74,4662.37,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,958.61,964.92,967.51,954.42,4.25,0.44,4683.86,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,966.34,976.51,976.58,965.52,11.59,1.2,4809.9,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,981.79,1008.45,1016.62,981.79,31.94,3.27,8993.87,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,1009.38,1016.91,1019.31,1006.32,8.45,0.84,7614.37,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,1012.77,1013.63,1013.71,1006.19,-3.28,-0.32,6112.07,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,1017.05,1019.25,1021.0,1008.31,5.62,0.55,6146.81,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,1018.45,1003.53,1021.7,1003.53,-15.72,-1.54,5741.33,0.0,0.0,0.0,0.0,0.0,0.0,2,1097.11,879.67
2012-09-14,1011.03,1004.62,1015.21,996.61,1.09,0.11,5641.4,0.0,0.0,0.0,0.0,0.0,0.0,2,1102.94,884.34
2012-09-17,1003.05,975.77,1003.05,975.77,-28.84,-2.87,4981.4,0.0,0.0,0.0,0.0,0.0,0.0,2,1103.81,885.04
2012-09-18,972.19,973.3,979.57,968.55,-2.47,-0.25,3751.7,0.0,0.0,0.0,0.0,0.0,0.0,2,1105.21,886.16
2012-09-19,973.94,981.8,982.31,973.71,8.5,0.87,3668.7,0.0,0.0,0.0,0.0,0.0,0.0,2,1107.09,887.67
2012-09-20,979.7,953.53,979.78,952.49,-28.28,-2.88,4828.47,0.0,0.0,0.0,0.0,0.0,0.0,2,1104.54,885.62
2012-09-21,950.5,946.73,957.65,944.99,-6.8,-0.71,4159.87,0.0,0.0,0.0,0.0,0.0,0.0,2,1097.69,880.13
2012-09-24,941.28,953.53,956.64,934.36,6.81,0.72,3661.96,0.0,0.0,0.0,22.1,36.5,-6.71,2,1090.65,874.49
2012-09-25,951.36,945.27,956.03,943.13,-8.26,-0.87,3366.85,0.0,0.0,0.0,18.9,30.63,-4.58,1,1083.06,868.4
2012-09-26,943.98,923.84,946.37,922.12,-21.43,-2.27,3684.66,0.0,0.0,0.0,13.21,24.83,-10.01,1,1072.47,859.91
2012-09-27,923.45,944.84,950.61,922.42,21.0,2.27,4489.42,1029.26,974.36,919.45,18.17,22.61,9.29,1,1065.96,854.69
2012-09-28,940.86,963.42,963.57,938.95,18.58,1.97,4541.4,1029.13,974.92,920.71,34.98,26.73,51.48,2,1061.39,851.02
2012-10-08,963.74,962.65,969.39,957.76,-0.77,-0.08,3603.32,1029.05,974.66,920.27,45.77,33.08,71.15,2,1059.93,849.85
2012-10-09,964.43,987.2,987.29,964.43,24.55,2.55,5293.24,1030.24,975.98,921.73,63.8,43.32,104.76,2,1061.47,851.09
2012-10-10,985.68,996.83,996.91,983.23,9.63,0.98,5775.58,1032.32,977.58,922.85,75.83,54.16,119.18,2,1063.14,852.43
2012-10-11,994.03,982.44,996.02,982.24,-14.39,-1.44,5452.77,1032.65,977.88,923.1,77.44,61.92,108.48,2,1066.35,855.0
2012-10-12,984.14,980.41,992.99,971.6,-2.03,-0.21,4665.31,1029.45,976.48,923.5,77.6,67.15,98.52,2,1070.09,858.0
2012-10-15,979.22,973.23,979.39,964.49,-7.19,-0.73,4120.71,1023.92,974.29,924.67,74.52,69.6,84.34,2,1072.27,859.75
2012-10-16,971.91,975.94,983.12,969.19,2.71,0.28,4060.63,1018.66,972.41,926.15,73.63,70.94,78.99,2,1075.68,862.48
2012-10-17,977.5,978.05,980.9,968.12,2.11,0.22,4031.2,1011.46,970.35,929.24,71.57,71.15,72.41,2,1081.7,867.31
2012-10-18,978.72,993.79,995.34,978.72,15.74,1.61,5681.04,1009.59,969.86,930.13,78.39,73.57,88.04,2,1087.13,871.66
2012-10-19,993.26,990.65,995.57,988.64,-3.14,-0.32,4708.94,1006.86,969.16,931.46,79.17,75.43,86.64,2,1090.15,874.09
2012-10-22,986.0,996.47,997.44,983.8,5.81,0.59,4273.89,1009.66,970.2,930.73,85.13,78.67,98.06,2,1093.91,877.1
2012-10-23,996.35,984.51,997.43,983.78,-11.96,-1.2,4974.67,1010.7,970.76,930.81,77.01,78.11,74.8,2,1093.61,876.86
2012-10-24,979.79,981.79,987.36,978.72,-2.72,-0.28,4628.65,1010.7,970.76,930.81,68.84,75.02,56.47,2,1091.94,875.52
2012-10-25,981.53,971.25,986.99,970.52,-10.54,-1.07,5316.61,1010.8,971.64,932.49,52.73,67.59,23.01,2,1090.7,874.52
2012-10-26,970.16,953.96,971.35,947.28,-17.28,-1.78,4965.8,1010.36,972.0,933.65,39.59,58.26,2.26,2,1087.76,872.17
2012-10-29,951.68,955.12,957.91,948.42,1.16,0.12,3649.67,1010.29,972.08,933.88,31.61,49.37,-3.93,2,1085.75,870.56
2012-10-30,954.38,954.19,963.16,953.21,-0.92,-0.1,3899.88,1009.66,972.53,935.39,25.66,41.47,-5.95,2,1083.34,868.62
2012-10-31,953.48,958.21,958.21,950.11,4.02,0.42,3684.49,1004.81,974.25,943.68,24.37,35.77,1.57,2,1081.13,866.85
2012-11-01,958.42,973.72,975.9,958.34,15.51,1.62,5150.42,1003.13,975.69,948.25,33.82,35.12,31.21,2,1078.91,865.07
2012-11-02,973.97,977.31,977.75,969.16,3.59,0.37,4905.64,1003.24,976.39,949.53,42.51,37.58,52.35,2,1077.42,863.88
2012-11-05,975.79,974.13,979.72,970.05,-3.19,-0.33,4645.19,1003.1,976.96,950.82,50.67,41.94,68.11,2,1074.95,861.89
2012-11-06,973.76,968.47,974.07,956.08,-5.66,-0.58,4790.42,1001.97,976.02,950.08,51.57,45.15,64.39,2,1073.16,860.47
2012-11-07,967.5,968.03,971.29,962.77,-0.44,-0.05,4112.14,998.9,974.58,950.27,55.7,48.67,69.76,2,1071.64,859.24
2012-11-08,960.69,945.32,961.0,945.32,-22.71,-2.35,4642.85,999.86,972.73,945.59,37.13,44.82,21.75,2,1068.76,856.93
2012-11-09,943.38,941.92,948.63,939.04,-3.41,-0.36,3631.38,1000.79,970.8,940.81,27.11,38.92,3.51,2,1067.42,855.86
2012-11-12,942.64,947.38,948.57,939.72,5.46,0.58,3637.87,1001.16,969.51,937.87,24.91,34.25,6.23,2,1066.56,855.17
2012-11-13,947.56,930.13,947.6,928.43,-17.25,-1.82,4261.19,1003.03,967.22,931.41,17.71,28.74,-4.34,2,1063.89,853.03
2012-11-14,929.22,932.11,933.11,923.08,1.99,0.21,3612.04,1003.45,964.92,926.4,17.12,24.87,1.64,2,1061.0,850.71
2012-11-15,928.23,918.59,932.44,917.66,-13.52,-1.45,3712.86,1002.28,961.16,920.05,11.91,20.55,-5.35,2,1054.88,845.8
2012-11-16,916.74,912.71,916.81,906.78,-5.88,-0.64,3278.58,1001.14,957.27,913.39,10.88,17.33,-2.01,2,1047.71,840.05
2012-11-19,912.04,915.88,915.88,903.66,3.17,0.35,3187.49,996.77,953.24,909.7,13.28,15.98,7.88,1,1041.24,834.87
2012-11-20,917.66,913.35,920.08,912.93,-2.53,-0.28,3080.08,994.03,949.68,905.32,14.48,15.48,12.49,1,1035.12,829.96
2012-11-21,912.79,921.9,921.9,902.06,8.55,0.94,3871.81,990.04,946.68,903.33,23.86,18.27,35.03,2,1030.0,825.86
2012-11-22,918.42,912.1,918.42,909.68,-9.79,-1.06,3425.54,988.03,943.73,899.42,23.1,19.88,29.54,2,1026.31,822.9
2012-11-23,912.44,913.87,918.53,910.9,1.77,0.19,3330.29,987.6,941.72,895.85,24.04,21.27,29.6,2,1023.2,820.4
2012-11-26,912.76,902.89,913.26,901.58,-10.98,-1.2,3087.5,987.51,939.11,890.71,17.41,19.98,12.28,2,1018.26,816.44
2012-11-27,899.98,873.19,899.98,872.82,-29.7,-3.29,4117.01,990.75,935.06,879.37,11.82,17.26,0.93,2,1011.94,811.38
2012-11-28,868.92,857.04,868.92,854.7,-16.14,-1.85,3386.06,994.1,930.0,865.9,9.04,14.52,-1.93,2,1003.61,804.7
2012-11-29,856.65,848.79,863.16,847.62,-8.25,-0.96,3120.52,993.68,923.76,853.83,6.55,11.86,-4.08,2,995.86,798.48
2012-11-30,847.78,859.43,859.55,846.23,10.64,1.25,3235.62,988.6,917.86,847.12,10.18,11.3,7.94,2,989.95,793.74
2012-12-03,858.63,840.27,862.75,839.61,-19.16,-2.23,3463.88,984.63,911.17,837.71,7.06,9.89,1.39,2,981.55,787.01
2012-12-04,838.0,849.97,850.6,829.29,9.7,1.15,3804.04,978.37,905.24,832.11,12.43,10.73,15.82,1,974.52,781.37
2012-12-05,848.91,882.55,886.33,847.12,32.58,3.83,6279.04,968.72,900.97,833.22,28.18,16.55,51.44,2,970.15,777.87
2012-12-06,882.35,881.5,887.75,876.85,-1.05,-0.12,4538.27,962.83,897.78,832.73,39.51,24.2,70.13,2,966.75,775.15
2012-12-07,881.44,901.92,902.7,878.66,20.42,2.32,6309.86,957.66,895.78,833.9,59.32,35.91,106.14,2,965.43,774.08
2012-12-10,903.78,916.24,916.8,900.8,14.32,1.59,6828.77,952.28,894.22,836.16,72.67,48.16,121.68,2,966.91,775.27
2012-12-11,913.58,909.27,917.95,908.88,-6.98,-0.76,5989.47,949.34,893.18,837.02,78.51,58.28,118.99,2,970.91,778.48
2012-12-12,907.78,910.12,912.55,900.41,0.85,0.09,5047.16,945.96,892.08,838.2,82.73,66.43,115.34,2,976.81,783.21
2012-12-13,907.94,898.85,910.37,898.35,-11.26,-1.24,4704.12,943.7,891.09,838.48,81.31,71.39,101.14,2,982.36,787.66
2012-12-14,898.0,936.83,937.1,898.0,37.98,4.23,8629.18,947.86,892.3,836.74,87.45,76.74,108.88,2,990.95,794.55
2012-12-17,937.57,937.88,943.16,931.97,1.05,0.11,7947.41,951.59,893.4,835.21,89.8,81.1,107.22,2,1001.79,803.24
2012-12-18,935.95,934.36,946.26,930.01,-3.52,-0.38,7265.43,954.76,894.45,834.13,87.49,83.23,96.01,2,1011.16,810.75
2012-12-19,932.84,939.4,943.32,931.0,5.05,0.54,5977.0,957.68,895.32,832.97,88.28,84.91,95.01,2,1017.47,815.81
2012-12-20,937.11,942.81,944.36,930.3,3.4,0.36,6397.93,962.23,896.86,831.49,89.8,86.54,96.32,2,1024.27,821.26
2012-12-21,943.01,944.49,953.83,938.71,1.68,0.18,6755.26,966.65,898.39,830.13,87.62,86.9,89.07,2,1029.0,825.05
2012-12-24,943.42,954.29,954.76,943.21,9.81,1.04,5605.95,973.45,900.96,828.47,91.47,88.43,97.57,2,1033.22,828.44
2012-12-25,952.58,978.41,981.5,950.86,24.12,2.53,8951.24,984.89,906.22,827.55,93.08,89.98,99.29,2,1040.9,834.59
2012-12-26,977.98,992.76,992.87,976.66,14.35,1.47,8459.86,996.79,913.01,829.23,95.35,91.77,102.51,0,1050.07,841.95
2012-12-27,994.16,981.8,998.1,981.3,-10.96,-1.1,8544.77,1003.11,919.66,836.21,88.92,90.82,85.12,0,1059.28,849.33
2012-12-28,980.74,992.9,992.9,977.75,11.11,1.13,7181.98,1010.79,926.33,841.87,90.07,90.57,89.07,0,1065.5,854.32
2012-12-31,994.76,1003.39,1003.41,992.9,10.49,1.06,7435.94,1015.56,934.49,853.41,93.37,91.5,97.1,0,1072.77,860.15
2013-01-04,1010.55,997.93,1012.35,987.33,-5.47,-0.54,7753.65,1017.59,941.89,866.18,89.72,90.91,87.35,0,1079.83,865.81
2013-01-07,995.95,1010.88,1011.09,994.48,12.96,1.3,7484.43,1024.55,948.3,872.05,92.48,91.43,94.58,0,1087.76,872.17
2013-01-08,1010.94,1022.41,1025.69,1004.51,11.52,1.14,9058.17,1031.65,955.35,879.05,93.66,92.18,96.64,0,1096.6,879.25
2013-01-09,1020.39,1026.23,1033.08,1016.64,3.83,0.37,9202.82,1039.67,961.56,883.45,93.0,92.45,94.09,0,1105.67,886.53
2013-01-10,1025.84,1032.12,1036.1,1024.29,5.89,0.57,8262.49,1048.3,967.36,886.41,93.1,92.67,93.97,0,1114.31,893.46
2013-01-11,1033.07,1011.94,1034.97,1009.58,-20.18,-1.96,8838.94,1051.03,972.49,893.95,81.6,88.98,66.84,0,1118.03,896.44
2013-01-14,1010.48,1050.32,1050.84,1010.27,38.38,3.79,9607.46,1059.54,979.5,899.46,87.5,88.48,85.52,0,1124.42,901.56
2013-01-15,1051.37,1069.85,1073.31,1051.26,19.54,1.86,11583.15,1068.33,988.05,907.77,90.32,89.1,92.77,0,1134.19,909.4
