time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2604.84,2612.89,2624.35,2602.94,0.99,0.04,8375.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2608.27,2648.99,2654.9,2604.76,36.1,1.38,10868.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2651.62,2623.49,2656.39,2618.56,-25.5,-0.96,10609.17,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2617.76,2627.65,2637.52,2607.22,4.17,0.16,10406.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2632.07,2652.17,2652.77,2629.55,24.52,0.93,10290.14,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2670.39,2757.31,2783.05,2670.39,105.14,3.96,24019.8,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,2761.19,2774.89,2783.47,2753.0,17.59,0.64,19002.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,2764.01,2761.12,2764.01,2740.87,-13.77,-0.5,14894.27,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,2773.82,2775.26,2786.2,2747.79,14.14,0.51,15315.81,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,2772.35,2742.6,2781.56,2742.6,-32.66,-1.18,14384.99,0.0,0.0,0.0,0.0,0.0,0.0,2,2994.38,2400.9
2012-09-14,2767.92,2755.03,2777.65,2734.13,12.43,0.45,15957.72,0.0,0.0,0.0,0.0,0.0,0.0,2,3010.15,2413.55
2012-09-17,2751.26,2681.51,2753.07,2681.41,-73.52,-2.67,13430.27,0.0,0.0,0.0,0.0,0.0,0.0,2,3013.76,2416.44
2012-09-18,2670.56,2662.02,2681.63,2651.97,-19.49,-0.73,9570.74,0.0,0.0,0.0,0.0,0.0,0.0,2,3018.04,2419.87
2012-09-19,2664.21,2680.13,2682.29,2658.52,18.11,0.68,9464.62,0.0,0.0,0.0,0.0,0.0,0.0,2,3023.87,2424.54
2012-09-20,2672.05,2609.79,2672.05,2608.11,-70.35,-2.62,12115.3,0.0,0.0,0.0,0.0,0.0,0.0,2,3019.16,2420.77
2012-09-21,2602.76,2603.0,2628.75,2594.26,-6.79,-0.26,10532.05,0.0,0.0,0.0,0.0,0.0,0.0,2,3002.03,2407.04
2012-09-24,2587.48,2621.34,2631.75,2571.4,18.34,0.7,9820.16,0.0,0.0,0.0,23.41,38.36,-6.49,2,2984.99,2393.37
2012-09-25,2614.84,2609.01,2631.37,2600.99,-12.33,-0.47,8494.18,0.0,0.0,0.0,21.57,32.76,-0.81,1,2968.11,2379.83
2012-09-26,2605.83,2564.61,2614.49,2560.12,-44.41,-1.7,8879.78,0.0,0.0,0.0,15.07,26.87,-8.52,1,2944.72,2361.08
2012-09-27,2563.6,2633.61,2648.44,2563.45,69.01,2.69,12719.79,2800.52,2669.82,2539.12,22.74,25.49,17.24,2,2932.63,2351.38
2012-09-28,2618.48,2680.99,2683.2,2615.41,47.38,1.8,13087.73,2801.34,2673.23,2545.11,47.9,32.96,77.77,2,2924.41,2344.79
2012-10-08,2680.33,2663.77,2694.78,2650.52,-17.22,-0.64,9375.44,2801.68,2673.96,2546.25,57.59,41.17,90.43,2,2922.44,2343.22
2012-10-09,2672.24,2727.72,2727.72,2672.24,63.95,2.4,14262.64,2806.74,2679.18,2551.62,71.73,51.35,112.47,2,2929.73,2349.06
2012-10-10,2721.8,2743.38,2743.88,2714.86,15.67,0.57,14402.49,2813.15,2684.96,2556.78,81.06,61.26,120.67,2,2936.75,2354.69
2012-10-11,2735.42,2710.76,2741.24,2709.71,-32.62,-1.19,13637.31,2815.62,2687.89,2560.16,81.37,67.96,108.18,2,2947.96,2363.68
2012-10-12,2718.43,2709.98,2742.15,2687.55,-0.78,-0.03,12032.86,2809.73,2685.53,2561.32,81.43,72.45,99.39,2,2959.83,2373.2
2012-10-15,2709.83,2696.05,2710.62,2674.47,-13.93,-0.51,10146.5,2799.01,2681.58,2564.16,78.94,74.61,87.6,2,2968.13,2379.85
