time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-09-25,870.45,865.69,875.57,863.06,-7.84,-0.9,268.02,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-26,866.06,843.76,867.83,842.45,-21.93,-2.53,315.1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-27,843.7,862.55,867.51,842.24,18.79,2.23,415.98,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-28,859.5,877.91,878.5,857.2,15.35,1.78,466.76,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-10-08,879.42,875.92,884.36,871.89,-1.99,-0.23,417.53,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-10-09,878.0,901.2,901.29,878.0,25.28,2.89,600.87,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-10-10,900.42,907.75,908.03,896.23,6.55,0.73,544.64,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-10-11,905.16,892.39,905.23,891.94,-15.36,-1.69,504.86,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-10-12,892.75,889.33,900.79,880.63,-3.06,-0.34,388.76,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-10-15,888.46,879.17,888.86,870.31,-10.16,-1.14,357.97,0.0,0.0,0.0,0.0,0.0,0.0,2,976.32,782.81
2012-10-16,879.52,881.51,888.83,879.0,2.34,0.27,433.22,0.0,0.0,0.0,0.0,0.0,0.0,2,978.08,784.22
2012-10-17,883.81,884.13,886.16,873.89,2.62,0.3,365.5,0.0,0.0,0.0,0.0,0.0,0.0,2,982.56,787.82
2012-10-18,883.99,900.05,900.11,883.99,15.93,1.8,564.0,0.0,0.0,0.0,0.0,0.0,0.0,2,986.72,791.15
2012-10-19,900.29,898.42,901.48,895.44,-1.63,-0.18,427.43,0.0,0.0,0.0,0.0,0.0,0.0,2,989.0,792.98
2012-10-22,895.14,902.61,903.37,891.75,4.19,0.47,421.13,0.0,0.0,0.0,0.0,0.0,0.0,2,991.96,795.35
2012-10-23,902.7,895.2,904.41,893.8,-7.42,-0.82,464.15,0.0,0.0,0.0,0.0,0.0,0.0,2,991.29,794.82
2012-10-24,890.65,896.61,899.71,888.97,1.41,0.16,463.16,0.0,0.0,0.0,74.21,70.34,81.95,2,990.06,793.83
2012-10-25,897.93,888.57,903.45,888.44,-8.04,-0.9,664.44,0.0,0.0,0.0,67.32,69.33,63.3,2,989.63,793.49
2012-10-26,887.43,865.07,888.12,861.29,-23.5,-2.64,506.56,0.0,0.0,0.0,47.8,62.15,19.1,2,986.94,791.33
2012-10-29,864.13,864.18,869.83,861.06,-0.89,-0.1,324.86,916.37,883.6,850.83,34.27,52.86,-2.92,2,985.27,790.0
2012-10-30,863.74,863.88,870.21,861.47,-0.3,-0.03,350.98,916.49,883.51,850.53,25.01,43.58,-12.11,2,983.32,788.43
2012-10-31,863.64,865.31,865.35,857.65,1.43,0.17,339.19,913.45,884.59,855.72,22.14,36.43,-6.45,2,981.23,786.75
2012-11-01,866.02,880.12,881.53,865.97,14.81,1.71,470.05,912.61,885.47,858.32,30.78,34.54,23.24,2,979.02,784.98
2012-11-02,880.66,881.77,882.61,874.27,1.65,0.19,381.25,912.64,885.66,858.67,37.71,35.6,41.93,2,977.17,783.5
2012-11-05,881.22,879.75,884.23,875.49,-2.02,-0.23,410.83,912.61,885.85,859.09,41.23,37.48,48.72,2,974.63,781.46
2012-11-06,880.14,876.52,881.45,865.26,-3.23,-0.37,451.9,910.7,884.62,858.54,41.22,38.72,46.21,2,972.56,779.8
