time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-01-04,1004.36,969.77,1010.12,969.77,0.0,-3.02,47.93,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-05,964.13,928.06,964.13,919.82,0.0,-4.3,54.57,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-06,921.76,925.59,926.68,902.32,0.0,-0.27,46.28,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-09,927.02,952.0,952.0,914.57,0.0,2.85,61.24,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-10,951.33,988.47,988.61,951.33,0.0,3.83,81.84,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-11,988.15,985.46,992.89,978.37,0.0,-0.3,75.82,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-12,982.47,973.01,990.03,971.05,0.0,-1.26,57.83,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-13,970.4,936.92,971.56,934.02,0.0,-3.71,60.1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-16,928.43,895.57,928.43,895.57,0.0,-4.41,42.43,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-17,893.54,935.29,935.29,893.54,0.0,4.44,54.41,0.0,0.0,0.0,0.0,0.0,0.0,2,1053.41,844.62
2012-01-18,942.53,911.86,945.05,908.14,0.0,-2.51,55.97,0.0,0.0,0.0,0.0,0.0,0.0,2,1046.98,839.47
2012-01-19,915.32,924.02,932.68,913.34,0.0,1.33,46.87,0.0,0.0,0.0,0.0,0.0,0.0,2,1046.53,839.11
2012-01-20,926.71,946.11,946.46,926.71,0.0,2.39,51.85,0.0,0.0,0.0,0.0,0.0,0.0,2,1048.81,840.94
2012-01-30,948.9,941.45,955.64,941.45,0.0,-0.49,45.8,0.0,0.0,0.0,0.0,0.0,0.0,2,1047.64,840.0
2012-01-31,940.41,939.68,941.33,931.67,0.0,-0.19,24.22,0.0,0.0,0.0,0.0,0.0,0.0,2,1042.22,835.65
2012-02-01,940.76,943.28,951.87,933.53,0.0,0.38,51.89,0.0,0.0,0.0,0.0,0.0,0.0,2,1037.54,831.9
2012-02-02,941.79,952.18,952.18,938.87,0.0,0.94,44.34,0.0,0.0,0.0,63.18,42.86,103.83,2,1035.23,830.05
2012-02-03,951.95,967.35,970.31,951.09,0.0,1.59,68.14,0.0,0.0,0.0,74.17,53.3,115.92,2,1038.6,832.75
2012-02-06,970.4,979.3,979.3,970.4,0.0,1.24,66.37,0.0,0.0,0.0,82.78,63.12,122.09,2,1047.9,840.21
2012-02-07,976.55,958.28,976.7,954.46,0.0,-2.15,57.41,995.82,947.68,899.55,77.9,68.05,97.6,2,1050.45,842.25
2012-02-08,958.43,978.87,978.87,955.72,0.0,2.15,65.07,997.26,948.14,899.02,84.99,73.7,107.58,0,1057.89,848.22
2012-02-09,978.08,1002.11,1004.43,977.37,0.0,2.37,127.38,1005.32,951.84,898.36,88.93,78.77,109.25,0,1066.56,855.17
2012-02-10,1001.61,1003.2,1008.12,996.1,0.0,0.11,141.14,1012.2,955.72,899.24,90.48,82.68,106.08,0,1072.89,860.25
2012-02-13,993.74,1023.4,1033.59,992.06,0.0,2.01,178.12,1022.95,959.29,895.64,90.26,85.2,100.36,0,1081.99,867.54
2012-02-14,1026.36,1026.65,1036.67,1023.51,0.0,0.32,171.55,1030.3,961.2,892.1,90.09,86.83,96.6,0,1091.64,875.28
2012-02-15,1024.23,1037.79,1037.79,1018.59,0.0,1.09,126.95,1039.99,963.82,887.64,93.39,89.02,102.14,0,1102.13,883.69
2012-02-16,1036.12,1034.0,1043.24,1025.61,0.0,-0.37,117.37,1048.92,966.87,884.81,92.13,90.05,96.27,0,1111.22,890.97
2012-02-17,1035.55,1030.46,1035.55,1019.25,0.0,-0.34,107.44,1056.84,971.54,886.24,89.95,90.02,89.82,0,1118.22,896.59
2012-02-20,1041.63,1026.6,1041.63,1026.6,0.0,-0.38,134.79,1059.06,978.09,897.13,86.96,89.0,82.89,2,1123.47,900.8
2012-02-21,1024.71,1038.11,1038.11,1015.25,0.0,1.12,105.61,1065.72,983.24,900.75,88.71,88.91,88.33,2,1132.33,907.91
2012-02-22,1037.54,1066.85,1066.85,1036.38,0.0,2.77,170.26,1074.31,990.98,907.66,92.48,90.1,97.24,2,1142.1,915.74
2012-02-23,1066.63,1065.67,1073.47,1056.37,0.0,-0.11,136.93,1081.5,998.07,914.63,91.79,90.66,94.05,2,1149.15,921.39
2012-02-24,1064.97,1075.59,1075.59,1062.7,0.0,0.93,121.37,1090.89,1004.54,918.19,94.53,91.95,99.68,2,1157.19,927.84
2012-02-27,1078.14,1073.05,1086.51,1070.64,0.0,-0.24,149.34,1097.29,1011.12,924.95,90.05,91.32,87.53,2,1162.7,932.25
2012-02-28,1069.43,1051.74,1069.43,1045.7,0.0,-1.99,112.63,1098.02,1016.72,935.43,77.11,86.58,58.16,2,1165.48,934.49
2012-02-29,1050.67,1049.22,1062.71,1043.82,0.0,-0.24,96.4,1097.05,1022.02,946.99,67.29,80.15,41.58,2,1166.75,935.5
2012-03-01,1045.64,1049.24,1053.29,1045.59,0.0,0.0,68.28,1095.49,1026.87,958.26,60.76,73.69,34.91,2,1168.44,936.86
2012-03-02,1050.52,1067.16,1067.16,1050.52,0.0,1.71,102.46,1096.86,1031.86,966.87,64.79,70.72,52.93,2,1172.52,940.13
2012-03-05,1070.84,1063.77,1070.84,1060.79,0.0,-0.32,97.31,1097.76,1036.09,974.42,61.41,67.62,48.98,2,1176.64,943.44
2012-03-06,1059.17,1050.22,1059.17,1044.4,0.0,-1.27,96.32,1091.16,1040.69,990.21,45.93,60.39,17.02,2,1177.99,944.51
2012-03-07,1040.07,1046.95,1061.65,1040.07,0.0,-0.31,105.88,1085.87,1044.09,1002.31,35.56,52.11,2.46,2,1175.78,942.74
2012-03-08,1051.15,1059.37,1059.87,1049.98,0.0,1.19,86.97,1084.46,1046.95,1009.44,37.56,47.26,18.16,2,1175.08,942.18
2012-03-09,1063.95,1074.84,1074.84,1060.08,0.0,1.46,89.59,1084.12,1050.53,1016.95,58.37,50.97,73.19,2,1175.0,942.11
2012-03-12,1078.58,1103.39,1103.39,1078.51,0.0,2.66,149.1,1092.95,1054.53,1016.12,72.25,58.06,100.63,2,1178.36,944.82
