time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-01-04,2315.14,2217.66,2316.21,2215.95,0.0,-4.03,82.23,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-05,2203.66,2174.68,2205.72,2166.52,0.0,-1.94,79.11,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-06,2170.34,2194.4,2197.05,2150.27,0.0,0.91,67.96,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-09,2195.62,2229.25,2230.19,2149.9,0.0,1.59,106.86,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-10,2214.57,2302.67,2304.44,2208.04,0.0,3.29,206.65,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-11,2294.56,2299.03,2307.77,2278.42,0.0,-0.16,201.2,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-12,2288.73,2280.62,2307.29,2277.98,0.0,-0.8,174.41,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-13,2286.97,2244.48,2294.45,2228.9,0.0,-1.58,164.37,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-16,2226.56,2132.23,2226.56,2127.66,0.0,-5.0,146.49,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-17,2132.71,2215.43,2227.24,2100.08,0.0,3.9,177.46,0.0,0.0,0.0,0.0,0.0,0.0,2,2474.24,1983.85
2012-01-18,2213.52,2144.09,2227.53,2140.31,0.0,-3.22,150.11,0.0,0.0,0.0,0.0,0.0,0.0,2,2466.07,1977.3
2012-01-19,2145.34,2179.89,2199.38,2130.77,0.0,1.67,118.95,0.0,0.0,0.0,0.0,0.0,0.0,2,2466.65,1977.77
2012-01-20,2186.43,2235.54,2240.31,2186.43,0.0,2.55,127.05,0.0,0.0,0.0,0.0,0.0,0.0,2,2471.22,1981.43
2012-01-30,2239.8,2213.44,2240.18,2202.24,0.0,-0.99,119.17,0.0,0.0,0.0,0.0,0.0,0.0,2,2469.46,1980.02
2012-01-31,2214.83,2240.98,2241.09,2210.34,0.0,1.24,121.5,0.0,0.0,0.0,0.0,0.0,0.0,2,2462.62,1974.53
2012-02-01,2236.19,2246.81,2273.81,2225.34,0.0,0.26,136.83,0.0,0.0,0.0,0.0,0.0,0.0,2,2456.82,1969.88
2012-02-02,2248.7,2263.5,2264.31,2228.46,0.0,0.74,131.66,0.0,0.0,0.0,70.82,52.04,108.38,2,2454.92,1968.36
2012-02-03,2259.46,2275.28,2280.42,2247.82,0.0,0.52,147.75,0.0,0.0,0.0,79.59,61.22,116.34,2,2458.34,1971.1
2012-02-06,2277.08,2303.19,2305.0,2273.93,0.0,1.23,135.49,0.0,0.0,0.0,86.05,69.5,119.15,2,2477.31,1986.32
2012-02-07,2294.39,2274.6,2294.47,2264.57,0.0,-1.24,94.9,2331.33,2233.39,2135.45,84.88,74.63,105.4,2,2483.88,1991.58
2012-02-08,2271.78,2332.84,2336.45,2267.17,0.0,2.56,184.21,2345.86,2239.15,2132.43,89.12,79.46,108.45,2,2504.83,2008.38
2012-02-09,2327.12,2356.1,2361.7,2324.14,0.0,1.0,194.83,2362.07,2248.22,2134.36,91.58,83.5,107.73,2,2524.39,2024.06
2012-02-10,2347.86,2369.31,2373.35,2345.41,0.0,0.56,162.84,2379.48,2256.96,2134.45,93.56,86.85,106.97,0,2539.24,2035.97
2012-02-13,2356.33,2405.33,2422.42,2349.44,0.0,1.52,193.35,2403.42,2265.77,2128.11,92.81,88.84,100.77,0,2560.54,2053.05
2012-02-14,2400.78,2401.2,2414.5,2386.07,0.0,-0.17,136.69,2419.85,2270.69,2121.54,91.56,89.75,95.2,0,2578.33,2067.31
2012-02-15,2394.87,2419.02,2424.84,2391.1,0.0,0.74,149.64,2439.0,2276.69,2114.39,93.28,90.92,97.99,0,2597.44,2082.63
2012-02-16,2412.68,2403.55,2424.54,2391.27,0.0,-0.64,147.08,2454.33,2282.84,2111.35,91.09,90.98,91.31,0,2612.99,2095.1
2012-02-17,2412.71,2415.71,2424.5,2400.3,0.0,0.51,157.75,2471.27,2291.4,2111.54,92.16,91.37,93.74,0,2628.57,2107.6
2012-02-20,2441.64,2404.78,2441.64,2404.75,0.0,-0.45,152.26,2475.65,2305.03,2134.41,87.73,90.16,82.88,0,2639.85,2116.64
2012-02-21,2410.34,2450.95,2452.35,2403.09,0.0,1.92,187.62,2493.47,2316.81,2140.14,91.46,90.59,93.19,0,2659.43,2132.33
2012-02-22,2451.28,2481.82,2482.14,2443.69,0.0,1.26,188.22,2505.59,2333.69,2161.79,94.23,91.8,99.07,0,2675.96,2145.59
2012-02-23,2477.59,2516.58,2518.61,2473.27,0.0,1.4,207.93,2524.81,2350.53,2176.24,95.75,93.12,101.01,0,2693.78,2159.87
2012-02-24,2514.53,2540.09,2549.89,2514.53,0.0,0.93,216.78,2550.12,2365.75,2181.39,95.17,93.8,97.91,0,2712.73,2175.07
2012-02-27,2536.56,2540.08,2573.14,2536.56,0.0,0.0,215.36,2567.45,2382.09,2196.72,90.73,92.78,86.63,0,2727.69,2187.07
2012-02-28,2535.85,2555.48,2572.48,2535.81,0.0,0.61,194.59,2585.97,2397.81,2209.66,90.58,92.05,87.65,0,2744.81,2200.8
