time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-01-04,3567.81,3517.27,3567.81,3516.31,0.0,-0.91,573.19,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-05,3519.95,3585.1,3621.27,3519.95,0.0,1.93,1185.85,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-06,3580.79,3608.99,3625.54,3580.79,0.0,0.67,698.26,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-09,3607.17,3686.89,3686.89,3601.63,0.0,2.16,1136.16,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-10,3684.59,3723.03,3731.62,3673.37,0.0,0.98,986.28,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-11,3721.05,3697.55,3723.86,3692.47,0.0,-0.68,602.39,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-12,3697.4,3723.71,3747.39,3697.4,0.0,0.71,717.96,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-13,3726.62,3711.49,3742.97,3692.72,0.0,-0.33,654.96,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-16,3695.25,3694.02,3721.73,3694.02,0.0,-0.47,363.18,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-17,3699.0,3778.45,3778.45,3659.6,0.0,2.29,1015.08,0.0,0.0,0.0,0.0,0.0,0.0,2,4076.64,3268.66
2012-01-18,3766.58,3725.3,3775.61,3719.31,0.0,-1.41,683.6,0.0,0.0,0.0,0.0,0.0,0.0,2,4099.73,3287.17
2012-01-19,3729.87,3786.28,3790.16,3729.87,0.0,1.64,853.25,0.0,0.0,0.0,0.0,0.0,0.0,2,4122.06,3305.08
2012-01-20,3813.21,3860.72,3860.72,3796.6,0.0,1.97,1086.13,0.0,0.0,0.0,0.0,0.0,0.0,2,4150.01,3327.48
2012-01-30,3861.85,3787.92,3861.85,3787.92,0.0,-1.89,805.53,0.0,0.0,0.0,0.0,0.0,0.0,2,4161.22,3336.47
2012-01-31,3794.48,3794.11,3805.9,3776.04,0.0,0.16,463.67,0.0,0.0,0.0,0.0,0.0,0.0,2,4169.11,3342.8
2012-02-01,3783.8,3738.84,3801.5,3738.84,0.0,-1.46,502.01,0.0,0.0,0.0,0.0,0.0,0.0,2,4173.69,3346.47
2012-02-02,3751.11,3854.28,3854.28,3745.14,0.0,3.09,879.18,0.0,0.0,0.0,74.61,76.99,69.85,2,4188.19,3358.1
2012-02-03,3840.3,3883.11,3901.25,3840.3,0.0,0.75,978.66,0.0,0.0,0.0,80.57,78.18,85.34,2,4207.24,3373.37
2012-02-06,3885.37,3871.3,3893.73,3851.16,0.0,-0.3,737.62,0.0,0.0,0.0,81.56,79.31,86.06,2,4226.91,3389.15
2012-02-07,3849.89,3812.91,3849.89,3804.77,0.0,-1.51,574.14,3931.02,3742.06,3553.11,70.52,76.38,58.81,2,4230.74,3392.21
2012-02-08,3811.64,3897.75,3902.26,3811.64,0.0,2.23,788.02,3931.37,3761.09,3590.8,79.43,77.4,83.5,2,4249.88,3407.56
2012-02-09,3891.47,3885.31,3896.41,3872.65,0.0,-0.32,694.83,3934.17,3776.1,3618.02,82.83,79.21,90.07,2,4260.87,3416.38
2012-02-10,3869.45,3854.83,3898.04,3845.59,0.0,-0.78,719.48,3929.94,3788.39,3646.84,78.88,79.1,78.44,2,4260.22,3415.85
2012-02-13,3818.18,3816.91,3851.73,3805.16,0.0,-0.98,692.0,3928.95,3794.89,3660.84,68.51,75.57,54.39,2,4263.44,3418.43
2012-02-14,3810.43,3801.37,3810.43,3784.18,0.0,-0.41,569.7,3928.75,3798.81,3668.87,57.6,69.58,33.65,2,4264.24,3419.08
2012-02-15,3791.05,3809.15,3832.44,3785.2,0.0,0.2,676.22,3925.76,3804.39,3683.02,45.45,61.54,13.28,2,4272.05,3425.34
2012-02-16,3810.64,3799.16,3819.13,3788.1,0.0,-0.26,705.55,3923.82,3808.16,3692.5,34.53,52.53,-1.48,2,4265.93,3420.43
2012-02-17,3823.6,3817.18,3827.87,3803.06,0.0,0.47,477.67,3920.28,3813.44,3706.61,32.34,45.8,5.4,2,4258.61,3414.56
2012-02-20,3873.47,3820.23,3873.47,3818.04,0.0,0.08,721.5,3911.47,3819.76,3728.04,31.73,41.11,12.98,2,4252.94,3410.02
2012-02-21,3825.71,3835.57,3837.5,3803.94,0.0,0.4,538.28,3912.54,3822.61,3732.68,36.2,39.47,29.65,2,4255.46,3412.03
2012-02-22,3836.39,3841.17,3842.8,3805.13,0.0,0.15,851.17,3906.69,3828.4,3750.12,40.82,39.92,42.61,2,4249.18,3407.0
2012-02-23,3838.47,3835.8,3840.03,3827.27,0.0,-0.14,739.02,3906.77,3830.88,3754.99,46.48,42.11,55.23,2,4243.68,3402.59
2012-02-24,3839.14,3882.22,3882.22,3820.47,0.0,1.21,1219.4,3910.08,3831.96,3753.83,64.32,49.51,93.94,2,4246.72,3405.03
2012-02-27,3891.57,3874.12,3904.78,3872.29,0.0,-0.21,1309.28,3913.71,3836.27,3758.82,67.67,55.56,91.87,2,4253.07,3410.12
2012-02-28,3873.0,3917.54,3932.04,3873.0,0.0,1.12,1239.51,3924.96,3842.44,3759.91,75.09,62.07,101.12,2,4265.97,3420.46
2012-02-29,3916.68,3895.65,3916.68,3890.55,0.0,-0.56,621.31,3920.88,3850.28,3779.68,73.99,66.04,89.87,0,4275.57,3428.16
2012-03-01,3888.71,3894.36,3906.2,3888.71,0.0,-0.03,407.14,3925.45,3852.28,3779.11,72.85,68.31,81.93,0,4286.14,3436.63
2012-03-02,3894.81,3928.79,3929.56,3894.81,0.0,0.88,731.38,3934.02,3854.57,3775.11,81.06,72.56,98.05,0,4298.52,3446.57
2012-03-05,3934.41,3889.97,3934.41,3889.97,0.0,-0.99,785.21,3936.15,3855.5,3774.85,75.91,73.68,80.38,2,4306.27,3452.77
2012-03-06,3876.78,3828.16,3882.68,3827.02,0.0,-1.59,803.26,3935.57,3856.26,3776.96,52.86,66.74,25.1,2,4305.44,3452.11
2012-03-07,3800.34,3783.9,3820.54,3783.9,0.0,-1.16,689.04,3933.41,3850.57,3767.73,35.24,56.24,-6.76,2,4299.09,3447.02
2012-03-08,3797.3,3804.8,3821.44,3795.15,0.0,0.55,641.51,3930.06,3846.54,3763.03,28.12,46.87,-9.37,2,4295.65,3444.26
2012-03-09,3811.33,3810.41,3816.11,3792.41,0.0,0.15,700.57,3929.19,3844.32,3759.45,24.62,39.45,-5.04,2,4287.67,3437.87
2012-03-12,3800.92,3772.58,3800.92,3759.61,0.0,-0.99,777.11,3931.9,3842.11,3752.31,18.89,32.6,-8.53,2,4276.4,3428.83
2012-03-13,3772.55,3809.97,3817.27,3772.55,0.0,0.99,648.94,3931.62,3842.54,3753.45,22.19,29.13,8.33,2,4264.46,3419.25
2012-03-14,3829.69,3763.86,3852.31,3763.86,0.0,-1.21,1301.93,3934.78,3840.27,3745.77,15.61,24.62,-2.42,2,4249.83,3407.53
2012-03-15,3764.85,3741.87,3791.95,3741.87,0.0,-0.58,962.11,3939.86,3837.41,3734.95,10.4,19.88,-8.55,2,4232.91,3393.95
2012-03-16,3750.14,3750.85,3759.65,3725.35,0.0,0.24,732.42,3943.04,3834.09,3725.14,12.34,17.37,2.28,2,4213.16,3378.12
