time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,0.0,5651.64,0.0,0.0,5651.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,0.0,5645.84,0.0,0.0,5645.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,0.0,5652.89,0.0,0.0,5652.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,0.0,5674.24,0.0,0.0,5674.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,0.0,5592.39,0.0,0.0,5592.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,0.0,5600.97,0.0,0.0,5600.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,0.0,5619.41,0.0,0.0,5619.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,0.0,5620.81,0.0,0.0,5620.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,0.0,5559.41,0.0,0.0,5559.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,0.0,5401.96,0.0,0.0,5401.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6218.17,4985.74
2011-01-18,0.0,5407.96,0.0,0.0,5407.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6191.12,4964.05
2011-01-19,0.0,5484.28,0.0,0.0,5484.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6173.19,4949.67
2011-01-20,0.0,5365.59,0.0,0.0,5365.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6141.3,4924.1
2011-01-21,0.0,5383.67,0.0,0.0,5383.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6109.05,4898.24
2011-01-24,0.0,5323.05,0.0,0.0,5323.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6079.15,4874.27
2011-01-25,0.0,5316.4,0.0,0.0,5316.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6047.56,4848.95
2011-01-26,0.0,5376.56,0.0,0.0,5376.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6020.61,4827.33
2011-01-27,0.0,5447.82,0.0,0.0,5447.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6001.4,4811.94
2011-01-28,0.0,5473.63,0.0,0.0,5473.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5991.88,4804.3
2011-01-31,0.0,5516.95,0.0,0.0,5516.95,0.0,0.0,5743.4,5505.77,5268.14,0.0,0.0,0.0,2,6004.65,4814.54
2011-02-01,0.0,5523.94,0.0,0.0,5523.94,0.0,0.0,5727.68,5499.39,5271.1,0.0,0.0,0.0,2,6017.52,4824.86
2011-02-09,0.0,5475.64,0.0,0.0,5475.64,0.0,0.0,5709.16,5490.88,5272.59,0.0,0.0,0.0,2,6016.56,4824.09
