time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2013-01-04,1007.23,980.94,1007.23,970.7,-19.06,-1.91,239.69,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-07,974.22,983.47,985.42,967.47,2.53,0.26,274.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-08,983.26,1005.66,1009.55,980.96,22.19,2.26,375.58,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-09,1006.14,1025.09,1032.56,1006.14,19.43,1.93,391.91,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-10,1024.79,1029.6,1036.92,1023.17,4.51,0.44,321.16,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-11,1035.48,1025.62,1044.26,1023.76,-3.98,-0.39,440.09,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-14,1027.0,1066.0,1067.87,1027.0,40.38,3.94,432.73,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-15,1065.59,1090.56,1094.7,1065.59,24.56,2.3,470.22,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-16,1083.67,1090.49,1099.4,1073.11,-0.07,-0.01,382.13,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-17,1087.19,1072.68,1087.92,1069.84,-17.81,-1.63,336.22,0.0,0.0,0.0,0.0,0.0,0.0,2,1151.08,922.94
2013-01-18,1080.83,1082.79,1085.45,1067.92,10.11,0.94,285.24,0.0,0.0,0.0,0.0,0.0,0.0,2,1162.39,932.0
2013-01-21,1081.29,1080.55,1090.52,1075.15,-2.24,-0.21,353.88,0.0,0.0,0.0,0.0,0.0,0.0,2,1173.16,940.64
2013-01-22,1077.49,1067.57,1080.69,1061.43,-12.98,-1.2,375.63,0.0,0.0,0.0,0.0,0.0,0.0,2,1180.04,946.15
2013-01-23,1063.57,1075.05,1075.05,1054.42,7.48,0.7,346.88,0.0,0.0,0.0,0.0,0.0,0.0,2,1185.58,950.6
2013-01-24,1073.2,1046.53,1077.43,1040.28,-28.52,-2.65,420.58,0.0,0.0,0.0,0.0,0.0,0.0,2,1187.46,952.11
2013-01-25,1043.91,1041.71,1052.02,1038.48,-4.82,-0.46,261.18,0.0,0.0,0.0,0.0,0.0,0.0,2,1189.25,953.54
2013-01-28,1046.64,1064.57,1064.57,1046.12,22.86,2.19,289.76,0.0,0.0,0.0,41.83,59.49,6.51,2,1189.09,953.41
2013-01-29,1067.29,1074.16,1075.83,1064.16,9.59,0.9,343.26,0.0,0.0,0.0,50.74,56.57,39.08,2,1187.27,951.95
2013-01-30,1077.3,1076.3,1079.75,1068.68,2.14,0.2,319.4,0.0,0.0,0.0,58.05,57.07,60.02,2,1185.69,950.69
2013-01-31,1076.78,1060.48,1076.78,1058.24,-15.82,-1.47,261.35,1117.4,1051.99,986.58,52.79,55.64,47.1,2,1184.34,949.6
2013-02-01,1058.93,1064.39,1072.42,1055.55,3.91,0.37,239.01,1112.99,1056.16,999.33,55.66,55.65,55.68,2,1182.3,947.97
2013-02-04,1069.65,1041.17,1070.18,1037.27,-23.22,-2.18,304.06,1105.79,1059.05,1012.31,40.16,50.49,19.52,2,1177.92,944.46
2013-02-05,1039.69,1055.1,1055.4,1036.88,13.93,1.34,238.78,1101.43,1061.52,1021.61,40.94,47.31,28.22,2,1176.54,943.35
2013-02-06,1060.5,1068.77,1071.57,1060.17,13.67,1.3,245.22,1100.02,1063.7,1027.38,52.09,48.9,58.47,2,1175.84,942.79
2013-02-07,1068.07,1086.29,1086.88,1067.37,17.52,1.64,224.78,1100.54,1066.54,1032.53,67.67,55.16,92.69,2,1180.26,946.33
2013-02-08,1087.33,1104.01,1110.02,1086.88,17.72,1.63,239.03,1102.72,1070.46,1038.2,75.71,62.01,103.11,2,1187.17,951.88
2013-02-18,1115.98,1117.97,1119.46,1102.27,13.96,1.26,283.32,1111.28,1073.06,1034.83,83.2,69.07,111.46,2,1193.1,956.63
2013-02-19,1115.47,1101.97,1121.21,1098.11,-16.0,-1.43,296.96,1113.2,1073.63,1034.06,81.2,73.11,97.36,2,1196.19,959.1
2013-02-20,1103.87,1131.78,1131.78,1101.55,29.81,2.71,301.5,1122.26,1075.69,1029.13,87.46,77.9,106.6,2,1202.34,964.04
2013-02-21,1120.5,1118.83,1136.15,1111.6,-12.95,-1.14,374.43,1128.17,1078.0,1027.83,85.83,80.54,96.4,2,1208.82,969.23
2013-02-22,1118.24,1117.56,1128.63,1115.72,-1.27,-0.11,283.28,1132.78,1079.74,1026.69,84.31,81.8,89.33,2,1214.72,973.97
2013-02-25,1124.9,1129.64,1131.66,1118.18,12.08,1.08,258.74,1139.53,1082.19,1024.85,86.68,83.43,93.2,2,1224.54,981.84
2013-02-26,1124.83,1126.01,1146.77,1124.66,-3.63,-0.32,341.97,1145.07,1085.11,1025.16,82.41,83.09,81.05,2,1232.41,988.15
2013-02-27,1132.44,1120.87,1136.56,1114.87,-5.14,-0.46,325.14,1149.12,1087.41,1025.69,73.86,80.01,61.55,2,1238.2,992.79
2013-02-28,1127.16,1143.11,1143.11,1120.72,22.24,1.98,326.89,1155.5,1092.23,1028.97,80.06,80.03,80.14,2,1244.5,997.85
2013-03-01,1143.88,1171.77,1172.06,1143.2,28.66,2.51,416.62,1166.47,1098.74,1031.0,86.58,82.21,95.31,2,1252.03,1003.88
2013-03-04,1159.8,1153.15,1176.8,1142.89,-18.62,-1.59,439.32,1172.94,1103.17,1033.4,80.58,81.67,78.4,2,1255.93,1007.01
2013-03-05,1156.22,1197.59,1197.59,1148.67,44.44,3.85,383.81,1188.9,1109.34,1029.77,87.05,83.46,94.23,2,1266.54,1015.52
2013-03-06,1205.51,1236.05,1239.41,1205.16,38.46,3.21,534.35,1212.55,1117.33,1022.1,90.47,85.8,99.81,2,1278.12,1024.8
2013-03-07,1232.19,1213.72,1247.18,1202.06,-22.33,-1.81,559.8,1225.21,1124.99,1024.76,85.22,85.6,84.44,2,1288.65,1033.24
2013-03-08,1216.07,1186.11,1220.53,1184.54,-27.61,-2.27,391.86,1230.62,1131.07,1031.52,74.76,81.99,60.3,2,1296.26,1039.34
2013-03-11,1178.81,1191.35,1199.43,1176.05,5.24,0.44,268.08,1232.36,1138.58,1044.8,69.11,77.69,51.93,2,1303.11,1044.84
2013-03-12,1189.15,1154.24,1197.75,1137.53,-37.11,-3.11,334.68,1229.28,1143.54,1057.8,54.91,70.1,24.52,2,1306.24,1047.35
2013-03-13,1149.72,1152.13,1155.08,1132.9,-2.11,-0.18,241.2,1226.31,1147.71,1069.1,42.21,60.8,5.03,2,1309.71,1050.13
2013-03-14,1151.26,1179.64,1179.64,1150.13,27.51,2.39,275.43,1226.81,1152.38,1077.94,41.78,54.46,16.4,2,1313.77,1053.38
2013-03-15,1180.62,1193.43,1214.18,1177.73,13.79,1.17,334.95,1229.86,1156.85,1083.84,45.51,51.48,33.57,2,1316.17,1055.31
2013-03-18,1191.67,1196.12,1211.62,1191.25,2.69,0.23,250.46,1233.39,1160.75,1088.12,48.78,50.58,45.18,2,1320.94,1059.13
2013-03-19,1198.43,1185.71,1206.01,1173.24,-10.41,-0.87,228.37,1233.05,1164.94,1096.83,47.92,49.69,44.38,2,1319.62,1058.08
2013-03-20,1184.53,1212.37,1212.37,1184.53,26.66,2.25,283.14,1238.28,1168.97,1099.66,62.18,53.85,78.83,2,1317.0,1055.97
2013-03-21,1214.01,1242.21,1242.45,1213.92,29.84,2.46,328.99,1247.4,1175.14,1102.88,74.71,60.81,102.52,2,1320.16,1058.5
2013-03-22,1238.79,1242.75,1251.07,1236.46,0.54,0.04,286.53,1254.31,1181.4,1108.49,80.79,67.47,107.45,2,1326.44,1063.55
2013-03-25,1245.65,1231.06,1245.65,1220.18,-11.69,-0.94,343.99,1258.38,1186.47,1114.56,81.55,72.16,100.33,2,1330.85,1067.08
2013-03-26,1219.99,1237.66,1239.98,1210.2,6.6,0.54,340.8,1261.62,1192.05,1122.49,83.27,75.87,98.09,2,1340.11,1074.5
2013-03-27,1231.78,1233.77,1244.19,1221.11,-3.89,-0.31,307.76,1261.31,1197.7,1134.09,81.44,77.72,88.87,2,1349.17,1081.77
2013-03-28,1215.07,1206.21,1219.68,1203.04,-27.56,-2.23,266.78,1259.38,1200.85,1142.33,68.41,74.62,56.0,2,1352.12,1084.13
2013-03-29,1210.75,1199.2,1216.0,1199.07,-7.01,-0.58,258.22,1259.22,1202.22,1145.22,56.73,68.66,32.87,2,1352.76,1084.65
2013-04-01,1194.66,1208.72,1212.34,1192.93,9.52,0.79,228.76,1257.39,1205.0,1152.61,49.94,62.42,24.98,2,1354.16,1085.77
2013-04-02,1209.36,1171.27,1220.2,1170.73,-37.45,-3.1,245.6,1258.04,1203.69,1149.33,33.51,52.78,-5.02,2,1352.56,1084.48
2013-04-03,1175.54,1159.15,1177.8,1152.43,-12.12,-1.03,202.17,1255.36,1199.84,1144.32,24.61,43.39,-12.94,2,1346.65,1079.75
2013-04-08,1135.02,1198.05,1198.25,1132.56,38.9,3.36,219.06,1254.21,1199.06,1143.9,35.71,40.83,25.47,2,1341.75,1075.82
