time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-07-02,1002.24,1007.26,1010.33,1000.32,0.0,0.73,277.9,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-03,1007.03,1008.43,1016.96,1003.33,0.0,0.12,278.95,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-04,1008.69,1003.8,1012.43,1001.15,0.0,-0.46,253.05,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-05,999.94,981.98,999.94,980.41,0.0,-2.17,275.18,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-06,986.38,997.19,997.97,973.93,0.0,1.55,339.4,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-09,990.79,968.53,994.22,968.53,0.0,-2.87,319.98,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-10,966.47,958.26,967.86,953.78,0.0,-1.06,239.88,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-11,954.79,961.63,961.63,954.02,0.0,0.35,224.27,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-12,957.22,971.22,973.21,951.11,0.0,1.0,413.39,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-13,967.81,965.68,974.19,964.06,0.0,-0.57,245.56,0.0,0.0,0.0,0.0,0.0,0.0,2,1090.46,874.33
2012-07-16,964.14,927.86,964.14,927.56,0.0,-3.92,381.41,0.0,0.0,0.0,0.0,0.0,0.0,2,1081.65,867.27
2012-07-17,924.54,933.12,934.04,922.04,0.0,0.57,248.06,0.0,0.0,0.0,0.0,0.0,0.0,2,1073.29,860.57
2012-07-18,931.26,937.89,937.89,918.77,0.0,0.51,243.63,0.0,0.0,0.0,0.0,0.0,0.0,2,1065.97,854.7
2012-07-19,934.28,944.81,952.66,934.28,0.0,0.74,334.73,0.0,0.0,0.0,0.0,0.0,0.0,1,1061.85,851.39
2012-07-20,943.0,937.75,946.54,936.53,0.0,-0.75,368.08,0.0,0.0,0.0,0.0,0.0,0.0,2,1055.25,846.1
2012-07-23,929.61,925.16,929.61,916.89,0.0,-1.34,234.9,0.0,0.0,0.0,0.0,0.0,0.0,2,1050.44,842.24
2012-07-24,919.8,929.85,933.66,919.8,0.0,0.51,219.99,0.0,0.0,0.0,22.84,22.99,22.53,2,1047.28,839.71
2012-07-25,927.95,923.91,933.34,923.91,0.0,-0.64,181.78,0.0,0.0,0.0,19.31,21.77,14.4,2,1043.09,836.36
2012-07-26,925.66,921.35,933.9,920.7,0.0,-0.28,278.84,0.0,0.0,0.0,16.02,19.85,8.36,2,1037.56,831.92
