time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2022-11-04,267.46,267.44,267.46,267.43,0.02,0.01,35.98,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-11-07,267.53,267.52,267.54,267.51,0.07,0.03,50.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-11-08,267.55,267.56,267.59,267.55,0.04,0.02,39.38,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-11-09,267.59,267.69,267.71,267.59,0.14,0.05,33.62,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-11-10,267.72,267.76,267.77,267.72,0.07,0.03,39.42,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-11-11,267.79,267.92,267.94,267.79,0.17,0.06,34.7,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-11-14,268.01,268.21,268.23,268.0,0.29,0.11,51.91,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-11-15,268.24,268.23,268.26,268.23,0.01,0.01,46.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-11-16,268.25,268.24,268.28,268.24,0.02,0.01,39.56,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-11-17,268.27,268.23,268.27,268.23,-0.02,-0.01,60.36,0.0,0.0,0.0,0.0,0.0,0.0,2,297.35,238.41
2022-11-18,268.26,268.22,268.26,268.22,-0.01,0.0,40.85,0.0,0.0,0.0,0.0,0.0,0.0,2,297.43,238.48
2022-11-21,268.31,268.22,268.31,268.22,-0.01,0.0,70.13,0.0,0.0,0.0,0.0,0.0,0.0,2,297.51,238.54
2022-11-22,268.25,268.2,268.25,268.2,-0.02,-0.01,64.96,0.0,0.0,0.0,0.0,0.0,0.0,2,297.58,238.6
2022-11-23,268.22,268.22,268.24,268.22,0.02,0.01,60.78,0.0,0.0,0.0,0.0,0.0,0.0,2,297.64,238.65
