time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,4069.7,4112.17,4115.52,4045.55,63.24,1.56,156.89,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,4083.07,4140.18,4140.18,4083.07,28.01,0.68,151.67,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,4129.7,4107.83,4149.51,4099.36,-32.35,-0.78,124.52,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,4092.8,4081.59,4134.6,4066.37,-26.24,-0.64,144.33,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,4078.26,4014.58,4094.34,4004.96,-67.01,-1.64,136.3,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,3983.8,3985.3,3996.48,3943.59,-29.28,-0.73,131.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,3991.48,4009.48,4017.46,3966.01,24.18,0.61,118.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,4025.25,4008.45,4031.69,4000.89,-1.03,-0.03,117.28,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,3995.97,3937.18,3995.97,3922.17,-71.27,-1.78,131.38,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,3905.05,3780.81,3917.21,3772.09,-156.37,-3.97,135.97,0.0,0.0,0.0,0.0,0.0,0.0,2,4459.71,3575.8
2011-01-18,3768.54,3804.1,3804.1,3753.05,23.29,0.62,80.41,0.0,0.0,0.0,0.0,0.0,0.0,2,4425.51,3548.39
2011-01-19,3805.76,3901.68,3901.68,3795.33,97.58,2.57,110.23,0.0,0.0,0.0,0.0,0.0,0.0,2,4399.04,3527.16
2011-01-20,3890.45,3793.27,3899.42,3791.27,-108.41,-2.78,127.19,0.0,0.0,0.0,0.0,0.0,0.0,2,4364.12,3499.16
2011-01-21,3781.05,3832.0,3852.97,3770.12,38.73,1.02,129.05,0.0,0.0,0.0,0.0,0.0,0.0,2,4336.42,3476.95
2011-01-24,3821.82,3713.07,3832.22,3713.07,-118.93,-3.1,119.67,0.0,0.0,0.0,0.0,0.0,0.0,2,4302.95,3450.12
2011-01-25,3683.36,3613.19,3686.26,3591.83,-99.88,-2.69,95.5,0.0,0.0,0.0,0.0,0.0,0.0,2,4261.65,3417.0
2011-01-26,3619.75,3675.92,3680.95,3619.75,62.73,1.74,113.71,0.0,0.0,0.0,13.68,14.03,12.97,2,4224.62,3387.31
2011-01-27,3651.64,3738.32,3741.09,3642.87,62.4,1.7,152.17,0.0,0.0,0.0,24.13,17.4,37.59,2,4194.64,3363.27
2011-01-28,3728.27,3798.34,3810.36,3727.68,60.02,1.61,123.85,0.0,0.0,0.0,38.3,24.36,66.17,2,4179.23,3350.91
2011-01-31,3786.44,3855.81,3855.81,3780.43,57.47,1.51,130.22,4201.5,3895.16,3588.83,53.93,34.22,93.36,2,4187.55,3357.59
2011-02-01,3850.6,3847.25,3858.74,3832.72,-8.56,-0.22,107.89,4172.05,3881.92,3591.78,63.63,44.02,102.85,2,4192.34,3361.43
2011-02-09,3808.83,3824.7,3861.84,3808.83,-22.55,-0.59,102.98,4131.66,3866.14,3600.63,71.17,53.07,107.37,2,4183.8,3354.58
2011-02-10,3822.0,3936.77,3936.77,3822.0,112.07,2.93,147.8,4101.56,3857.59,3613.62,80.78,62.31,117.72,2,4199.73,3367.35
2011-02-11,3927.46,3987.47,3992.68,3925.25,50.7,1.29,170.57,4082.6,3852.88,3623.16,86.75,70.46,119.35,2,4216.98,3381.18
2011-02-14,3996.04,4058.68,4066.81,3996.04,71.21,1.79,224.33,4091.72,3855.09,3618.46,90.56,77.16,117.37,2,4255.35,3411.94
2011-02-15,4064.3,4069.27,4104.7,4056.84,10.59,0.26,251.33,4107.7,3859.29,3610.88,91.15,81.82,109.81,2,4305.97,3452.54
2011-02-16,4070.12,4157.08,4157.08,4070.12,87.81,2.16,222.71,4140.0,3866.67,3593.33,94.1,85.92,110.47,0,4359.38,3495.36
2011-02-17,4169.16,4173.07,4180.7,4125.62,15.99,0.38,214.82,4173.56,3874.9,3576.24,95.43,89.09,108.12,0,4407.64,3534.05
2011-02-18,4158.14,4129.99,4164.98,4112.17,-43.08,-1.03,173.42,4202.45,3884.54,3566.63,92.41,90.2,96.84,0,4444.45,3563.57
2011-02-21,4112.06,4219.35,4219.35,4112.06,89.36,2.16,238.15,4252.02,3906.47,3560.91,94.94,91.78,101.27,0,4484.8,3595.92
2011-02-22,4223.33,4106.97,4224.29,4101.48,-112.38,-2.66,261.04,4274.37,3921.61,3568.85,86.91,90.15,80.41,2,4513.63,3619.04
2011-02-23,4106.23,4182.93,4184.54,4104.18,75.96,1.85,217.0,4306.11,3935.67,3565.24,86.66,88.99,82.0,2,4553.4,3650.92
2011-02-24,4184.8,4236.67,4244.66,4178.57,53.74,1.28,237.01,4344.26,3957.84,3571.42,90.04,89.34,91.43,2,4586.68,3677.61
2011-02-25,4218.76,4234.41,4236.85,4177.53,-2.26,-0.05,209.23,4377.75,3977.96,3578.17,91.54,90.07,94.47,2,4614.09,3699.59
2011-02-28,4232.4,4281.53,4281.53,4207.91,47.12,1.11,201.93,4407.63,4006.39,3605.14,94.36,91.5,100.08,2,4638.83,3719.42
2011-03-01,4282.73,4279.42,4297.18,4251.7,-2.11,-0.05,262.03,4414.6,4039.7,3664.8,93.21,92.07,95.5,2,4662.16,3738.13
2011-03-02,4248.81,4266.08,4269.23,4197.99,-13.34,-0.31,203.8,4416.84,4069.21,3721.57,90.18,91.44,87.66,2,4674.26,3747.83
2011-03-03,4275.4,4203.62,4291.23,4199.79,-62.46,-1.46,231.79,4409.33,4092.47,3775.61,77.52,86.8,58.95,2,4677.65,3750.55
