time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,1986.21,1998.83,2003.86,1974.62,3.26,0.16,140.54,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,1994.48,2020.67,2026.19,1984.21,21.84,1.09,142.34,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2020.28,2008.25,2044.14,2003.3,-12.42,-0.61,173.1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2001.56,2042.12,2052.98,2000.01,33.86,1.69,212.35,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2043.81,2056.9,2057.69,2033.89,14.79,0.72,196.36,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2078.41,2123.49,2143.12,2075.46,66.59,3.24,361.31,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,2127.25,2142.75,2152.02,2121.53,19.26,0.91,289.64,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,2133.18,2135.15,2144.15,2120.95,-7.6,-0.35,239.43,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,2145.92,2151.24,2157.48,2126.73,16.08,0.75,221.97,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,2150.93,2112.09,2156.88,2111.33,-39.15,-1.82,233.12,0.0,0.0,0.0,0.0,0.0,0.0,2,2307.86,1850.44
2012-09-14,2125.65,2107.48,2135.37,2091.59,-4.6,-0.22,202.05,0.0,0.0,0.0,0.0,0.0,0.0,2,2319.92,1860.11
2012-09-17,2107.28,2036.17,2108.21,2036.02,-71.32,-3.38,182.08,0.0,0.0,0.0,0.0,0.0,0.0,2,2321.64,1861.49
2012-09-18,2029.39,2033.72,2049.61,2021.39,-2.45,-0.12,111.38,0.0,0.0,0.0,0.0,0.0,0.0,2,2324.46,1863.76
2012-09-19,2039.56,2071.37,2078.42,2039.56,37.65,1.85,176.18,0.0,0.0,0.0,0.0,0.0,0.0,2,2327.71,1866.36
2012-09-20,2065.44,1992.52,2065.44,1991.87,-78.85,-3.81,191.21,0.0,0.0,0.0,0.0,0.0,0.0,2,2320.56,1860.63
2012-09-21,1990.1,1971.58,2000.2,1969.56,-20.94,-1.05,137.03,0.0,0.0,0.0,0.0,0.0,0.0,2,2303.7,1847.11
