time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,1861.08,1862.95,1873.4,1857.45,-3.43,-0.18,2378.89,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,1860.67,1889.89,1894.47,1858.11,26.94,1.45,3308.83,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,1897.94,1876.29,1901.39,1872.58,-13.6,-0.72,3107.39,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,1872.11,1879.24,1886.13,1864.47,2.95,0.16,3278.59,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,1882.6,1895.4,1896.06,1879.09,16.16,0.86,3122.09,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,1909.18,1977.95,1997.04,1909.18,82.55,4.36,7948.96,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,1982.99,1993.36,2001.87,1978.56,15.42,0.78,6086.26,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,1984.57,1983.9,1984.57,1968.47,-9.46,-0.47,4623.92,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,1995.77,1998.39,2007.11,1977.85,14.48,0.73,4848.2,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,1996.22,1974.21,2001.46,1974.05,-24.17,-1.21,4513.79,0.0,0.0,0.0,0.0,0.0,0.0,2,2145.81,1720.51
2012-09-14,2000.08,1990.07,2007.77,1973.52,15.86,0.8,5568.43,0.0,0.0,0.0,0.0,0.0,0.0,2,2159.92,1731.82
2012-09-17,1988.88,1939.97,1991.22,1939.58,-50.1,-2.52,4526.42,0.0,0.0,0.0,0.0,0.0,0.0,2,2165.47,1736.28
2012-09-18,1930.37,1920.32,1936.23,1912.37,-19.65,-1.01,3123.97,0.0,0.0,0.0,0.0,0.0,0.0,2,2170.36,1740.2
2012-09-19,1921.41,1935.33,1937.19,1914.54,15.01,0.78,3152.67,0.0,0.0,0.0,0.0,0.0,0.0,2,2176.59,1745.19
2012-09-20,1926.76,1885.69,1926.76,1882.75,-49.64,-2.57,4038.6,0.0,0.0,0.0,0.0,0.0,0.0,2,2175.51,1744.33
2012-09-21,1880.74,1888.27,1906.27,1875.97,2.58,0.14,3767.81,0.0,0.0,0.0,0.0,0.0,0.0,2,2165.56,1736.35
2012-09-24,1874.2,1900.97,1908.48,1862.32,12.7,0.67,3515.02,0.0,0.0,0.0,27.51,43.29,-4.05,2,2155.3,1728.12
2012-09-25,1894.94,1890.3,1905.5,1884.19,-10.67,-0.56,2799.89,0.0,0.0,0.0,24.75,37.11,0.03,1,2144.91,1719.79
2012-09-26,1888.43,1860.74,1895.0,1856.25,-29.56,-1.56,2792.87,0.0,0.0,0.0,17.49,30.57,-8.67,1,2129.63,1707.54
2012-09-27,1859.17,1909.56,1921.91,1857.84,48.81,2.62,4482.33,2015.05,1922.64,1830.23,24.82,28.65,17.17,2,2122.46,1701.79
2012-09-28,1898.47,1948.68,1950.66,1896.63,39.13,2.05,4781.27,2015.75,1926.93,1838.11,49.18,35.5,76.56,2,2117.86,1698.1
2012-10-08,1946.94,1931.74,1956.62,1921.03,-16.94,-0.87,3154.68,2016.21,1929.02,1841.83,57.86,42.95,87.68,2,2116.95,1697.37
2012-10-09,1939.49,1976.44,1977.23,1939.49,44.7,2.31,4656.48,2020.02,1934.03,1848.03,71.69,52.53,110.01,2,2123.18,1702.37
2012-10-10,1970.03,1983.47,1983.81,1962.3,7.03,0.36,4110.44,2023.95,1939.24,1854.53,81.04,62.03,119.05,2,2128.52,1706.65
2012-10-11,1975.94,1961.72,1981.07,1961.01,-21.76,-1.1,3887.78,2025.31,1942.55,1859.8,81.59,68.55,107.66,2,2136.96,1713.42
2012-10-12,1968.3,1959.91,1985.14,1943.26,-1.8,-0.09,3656.55,2023.23,1941.65,1860.08,81.2,72.77,98.06,2,2144.91,1719.79
2012-10-15,1958.4,1947.6,1958.68,1931.77,-12.31,-0.63,2762.68,2017.5,1939.36,1861.22,77.76,74.43,84.41,2,2150.09,1723.94
2012-10-16,1945.66,1956.09,1970.41,1940.97,8.48,0.44,3081.04,2013.85,1937.97,1862.1,77.56,75.48,81.74,2,2157.39,1729.8
2012-10-17,1962.28,1961.71,1969.03,1942.24,5.62,0.29,3105.54,2007.74,1936.14,1864.54,76.22,75.72,77.21,2,2168.6,1738.79
2012-10-18,1965.91,1991.51,1994.9,1965.42,29.8,1.52,4507.19,2010.81,1937.0,1863.2,82.62,78.02,91.81,2,2177.69,1746.08
2012-10-19,1990.3,1985.12,1997.83,1981.46,-6.39,-0.32,3469.81,2009.88,1936.76,1863.64,82.0,79.35,87.3,2,2181.74,1749.32
2012-10-22,1973.31,1990.74,1994.78,1967.6,5.62,0.28,3138.11,2016.12,1939.3,1862.47,84.42,81.04,91.19,2,2188.29,1754.57
2012-10-23,1989.72,1964.59,1992.1,1962.32,-26.16,-1.31,3568.9,2018.57,1941.51,1864.45,72.84,78.31,61.91,2,2186.97,1753.52
2012-10-24,1955.38,1959.39,1971.21,1953.41,-5.2,-0.26,3470.58,2020.1,1942.71,1865.33,62.5,73.04,41.42,2,2184.3,1751.38
2012-10-25,1959.34,1944.15,1971.75,1940.5,-15.24,-0.78,3902.39,2018.47,1945.64,1872.8,47.91,64.66,14.41,2,2182.35,1749.81
2012-10-26,1943.89,1903.82,1945.47,1894.32,-40.33,-2.07,3778.43,2017.08,1946.41,1875.75,35.0,54.77,-4.55,2,2176.12,1744.82
2012-10-29,1898.68,1897.22,1906.58,1889.91,-6.61,-0.35,2628.3,2017.39,1946.23,1875.06,25.59,45.05,-13.32,2,2170.53,1740.34
2012-10-30,1896.54,1900.25,1915.06,1892.81,3.03,0.16,3105.58,2016.44,1946.72,1877.0,20.25,36.78,-12.8,2,2164.33,1735.37
2012-10-31,1900.49,1913.62,1913.78,1894.11,13.37,0.7,3054.37,2009.14,1949.37,1889.59,20.83,31.46,-0.45,2,2159.0,1731.09
2012-11-01,1915.89,1951.15,1955.94,1915.72,37.54,1.96,4430.31,2008.36,1951.45,1894.53,33.35,32.09,35.86,2,2154.52,1727.49
2012-11-02,1950.91,1958.0,1959.85,1938.71,6.84,0.35,3983.72,2008.88,1951.91,1894.94,44.44,36.21,60.91,2,2151.51,1725.08
2012-11-05,1952.71,1951.01,1963.44,1941.46,-6.99,-0.36,3971.07,2009.1,1952.88,1896.65,54.51,42.31,78.92,2,2147.1,1721.54
2012-11-06,1951.57,1941.06,1953.07,1912.5,-9.95,-0.51,3739.5,2006.47,1951.11,1895.74,57.18,47.27,77.0,2,2144.48,1719.45
2012-11-07,1938.77,1941.5,1953.46,1930.51,0.44,0.02,3243.39,2002.45,1949.01,1895.56,61.51,52.01,80.49,2,2142.5,1717.86
2012-11-08,1925.01,1900.2,1930.45,1900.02,-41.29,-2.13,3504.55,2003.05,1945.93,1888.81,45.67,49.9,37.21,2,2137.62,1713.95
