time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,1953.65,1953.54,1965.91,1951.7,-5.41,-0.28,1309.77,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,1947.89,1962.75,1971.57,1944.61,9.21,0.47,1877.07,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,1961.72,1939.77,1964.05,1935.06,-22.98,-1.17,1593.24,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,1936.08,1929.63,1940.53,1920.03,-10.14,-0.52,1730.85,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,1934.16,1948.18,1949.04,1930.02,18.56,0.96,1594.29,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,1960.91,2025.82,2046.93,1960.91,77.64,3.98,4779.63,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,2025.23,2025.59,2032.88,2015.79,-0.23,-0.01,2895.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,2017.42,2007.43,2017.42,1993.37,-18.16,-0.9,1930.78,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,2018.5,2009.72,2027.42,1994.02,2.29,0.11,2200.52,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,2006.89,1996.68,2014.24,1996.34,-13.04,-0.65,1851.82,0.0,0.0,0.0,0.0,0.0,0.0,2,2197.7,1762.12
2012-09-14,2013.1,2010.97,2023.24,1998.39,14.29,0.72,2610.46,0.0,0.0,0.0,0.0,0.0,0.0,2,2204.08,1767.23
2012-09-17,2007.41,1966.11,2008.98,1964.99,-44.86,-2.23,2065.47,0.0,0.0,0.0,0.0,0.0,0.0,2,2204.45,1767.53
2012-09-18,1959.0,1947.37,1961.4,1942.94,-18.74,-0.95,1452.96,0.0,0.0,0.0,0.0,0.0,0.0,2,2205.29,1768.21
2012-09-19,1948.31,1952.3,1957.57,1942.45,4.93,0.25,1424.9,0.0,0.0,0.0,0.0,0.0,0.0,2,2207.81,1770.23
2012-09-20,1946.51,1916.2,1946.51,1915.23,-36.09,-1.85,1919.95,0.0,0.0,0.0,0.0,0.0,0.0,2,2204.26,1767.38
2012-09-21,1912.06,1920.32,1933.61,1910.64,4.12,0.21,1684.29,0.0,0.0,0.0,0.0,0.0,0.0,2,2192.55,1757.99
2012-09-24,1909.8,1930.03,1936.98,1899.67,9.71,0.51,1679.77,0.0,0.0,0.0,20.85,30.59,1.36,2,2181.94,1749.48
2012-09-25,1925.87,1928.01,1938.05,1921.21,-2.02,-0.1,1270.89,0.0,0.0,0.0,21.54,27.57,9.48,1,2173.13,1742.42
2012-09-26,1925.09,1911.82,1931.34,1908.44,-16.18,-0.84,1272.39,0.0,0.0,0.0,17.64,24.26,4.39,1,2162.26,1733.7
2012-09-27,1913.06,1967.42,1981.91,1912.64,55.59,2.91,2535.31,2035.62,1962.48,1889.35,32.42,26.98,43.3,2,2159.01,1731.1
2012-09-28,1952.35,1996.29,2000.06,1950.93,28.87,1.47,2734.9,2039.07,1964.62,1890.17,53.69,35.89,89.31,2,2157.38,1729.79
2012-10-08,1995.26,1980.09,2008.92,1969.91,-16.2,-0.81,1563.24,2040.24,1965.49,1890.74,60.33,44.04,92.93,2,2158.93,1731.04
2012-10-09,1989.54,2018.85,2026.69,1989.54,38.76,1.96,2438.16,2046.65,1969.44,1892.23,71.5,53.19,108.12,2,2166.87,1737.4
2012-10-10,2015.04,2017.73,2021.47,2005.99,-1.12,-0.06,1825.63,2051.52,1973.85,1896.17,78.65,61.68,112.59,2,2174.13,1743.22
2012-10-11,2012.39,2003.9,2015.59,2001.07,-13.83,-0.69,1837.87,2054.42,1976.63,1898.84,79.78,67.71,103.93,2,2183.87,1751.03
2012-10-12,2011.09,2009.17,2028.91,1995.6,5.27,0.26,1784.41,2051.8,1975.8,1899.8,81.06,72.16,98.86,2,2193.73,1758.93
2012-10-15,2012.01,2002.85,2013.77,1990.85,-6.32,-0.31,1210.69,2048.3,1974.66,1901.03,80.16,74.83,90.83,2,2201.81,1765.42
2012-10-16,2001.25,2002.37,2015.17,1995.65,-0.48,-0.02,1428.38,2047.63,1974.41,1901.19,79.17,76.27,84.95,2,2210.06,1772.03
2012-10-17,2008.58,2006.2,2014.18,1988.87,3.83,0.19,1644.7,2047.13,1974.23,1901.34,76.4,76.32,76.58,2,2220.54,1780.43
2012-10-18,2010.38,2035.27,2039.59,2008.24,29.07,1.45,2419.06,2053.25,1976.16,1899.08,82.2,78.28,90.05,2,2228.07,1786.47
2012-10-19,2033.02,2032.78,2038.71,2029.67,-2.49,-0.12,1680.35,2056.86,1977.25,1897.65,83.66,80.07,90.83,2,2232.12,1789.72
2012-10-22,2023.27,2043.52,2048.24,2020.08,10.74,0.53,1566.85,2065.56,1981.12,1896.68,86.46,82.2,94.97,2,2239.16,1795.36
2012-10-23,2043.22,2021.72,2047.56,2019.25,-21.8,-1.07,1646.93,2069.56,1984.84,1900.13,76.08,80.16,67.92,2,2239.48,1795.62
2012-10-24,2014.53,2024.28,2031.96,2013.03,2.56,0.13,1760.42,2073.43,1988.44,1903.45,70.6,76.97,57.86,2,2240.21,1796.2
2012-10-25,2022.88,2011.35,2039.09,2010.28,-12.93,-0.64,2537.78,2071.9,1993.2,1914.49,59.69,71.21,36.64,2,2241.04,1796.87
2012-10-26,2011.11,1979.65,2013.59,1969.26,-31.7,-1.58,2196.0,2067.82,1996.16,1924.51,44.18,62.2,8.13,2,2237.76,1794.24
2012-10-29,1974.14,1966.03,1978.1,1959.41,-13.62,-0.69,1473.08,2064.51,1997.96,1931.42,31.94,52.11,-8.42,2,2233.67,1790.96
2012-10-30,1967.18,1969.72,1982.92,1960.98,3.69,0.19,1736.11,2059.98,2000.05,1940.12,25.16,43.13,-10.78,2,2230.05,1788.06
2012-10-31,1971.57,1979.93,1982.15,1963.67,10.21,0.52,1835.03,2048.94,2003.46,1957.97,24.47,36.91,-0.4,2,2227.13,1785.72
2012-11-01,1981.02,2015.09,2025.29,1980.76,35.16,1.78,2638.66,2048.42,2005.84,1963.25,37.21,37.01,37.61,2,2224.89,1783.92
2012-11-02,2015.55,2028.47,2030.93,2006.61,13.38,0.66,2204.15,2050.89,2007.45,1964.01,50.92,41.65,69.47,2,2224.41,1783.54
2012-11-05,2026.74,2028.98,2040.84,2018.81,0.51,0.02,2252.53,2052.4,2009.89,1967.39,62.43,48.57,90.13,2,2222.8,1782.24
2012-11-06,2028.77,2021.93,2030.89,1995.34,-7.05,-0.35,1869.65,2052.7,2010.05,1967.39,67.21,54.79,92.06,2,2222.82,1782.26
2012-11-07,2018.61,2017.06,2025.71,2006.93,-4.86,-0.24,1616.26,2052.64,2010.01,1967.38,68.41,59.33,86.57,2,2222.02,1781.62
2012-11-08,2002.57,1986.25,2008.36,1985.51,-30.81,-1.53,1803.97,2052.94,2009.13,1965.32,56.59,58.41,52.94,2,2219.24,1779.39
2012-11-09,1982.88,1984.68,1992.59,1978.67,-1.57,-0.08,1614.16,2053.0,2007.91,1962.82,47.62,54.82,33.23,2,2219.79,1779.83
2012-11-12,1986.29,1998.88,1999.45,1982.79,14.21,0.72,1893.42,2052.92,2007.71,1962.49,46.96,52.2,36.47,2,2223.44,1782.76
2012-11-13,1998.85,1968.31,1998.85,1964.05,-30.57,-1.53,1741.98,2054.35,2006.0,1957.66,33.15,45.85,7.76,2,2223.28,1782.63
