time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2193.43,2203.99,2210.92,2179.6,5.14,0.23,802.61,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2198.14,2246.51,2250.34,2192.85,42.52,1.93,873.82,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2246.8,2241.49,2275.03,2237.15,-5.02,-0.22,956.47,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2233.73,2270.69,2279.4,2231.4,29.2,1.3,1033.92,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2274.13,2289.66,2289.69,2262.94,18.98,0.84,1030.54,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2303.84,2355.13,2374.72,2302.69,65.47,2.86,1686.44,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,2354.58,2371.91,2382.14,2349.52,16.77,0.71,1365.38,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,2362.02,2368.31,2369.95,2352.32,-3.6,-0.15,1184.45,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,2375.88,2376.25,2385.06,2349.4,7.94,0.34,1057.32,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,2374.72,2337.01,2379.06,2336.2,-39.24,-1.65,1057.43,0.0,0.0,0.0,0.0,0.0,0.0,2,2559.77,2052.42
2012-09-14,2350.76,2339.59,2359.37,2312.61,2.58,0.11,1146.79,0.0,0.0,0.0,0.0,0.0,0.0,2,2574.82,2064.49
2012-09-17,2336.16,2271.72,2339.56,2271.53,-67.87,-2.9,962.86,0.0,0.0,0.0,0.0,0.0,0.0,2,2577.62,2066.74
2012-09-18,2263.93,2273.14,2294.08,2261.66,1.42,0.06,752.34,0.0,0.0,0.0,0.0,0.0,0.0,2,2581.13,2069.55
2012-09-19,2278.1,2304.11,2311.46,2278.1,30.97,1.36,808.15,0.0,0.0,0.0,0.0,0.0,0.0,2,2584.84,2072.53
2012-09-20,2302.05,2224.26,2302.05,2222.52,-79.85,-3.47,949.83,0.0,0.0,0.0,0.0,0.0,0.0,2,2577.58,2066.71
2012-09-21,2216.06,2189.28,2224.17,2186.57,-34.98,-1.57,712.38,0.0,0.0,0.0,0.0,0.0,0.0,2,2559.17,2051.95
2012-09-24,2176.16,2204.83,2214.78,2158.52,15.55,0.71,548.51,0.0,0.0,0.0,21.6,36.01,-7.22,2,2540.62,2037.08
2012-09-25,2199.49,2175.26,2210.76,2173.26,-29.57,-1.34,462.62,0.0,0.0,0.0,16.93,29.65,-8.51,1,2519.19,2019.9
2012-09-26,2171.87,2119.72,2177.1,2113.64,-55.54,-2.55,583.73,0.0,0.0,0.0,12.11,23.81,-11.27,1,2490.72,1997.06
2012-09-27,2117.54,2168.0,2185.27,2115.93,48.28,2.28,704.51,2414.72,2266.54,2118.36,16.1,21.24,5.81,1,2471.96,1982.02
2012-09-28,2158.75,2206.14,2206.34,2153.85,38.14,1.76,638.33,2414.65,2266.65,2118.65,26.32,22.93,33.09,2,2457.15,1970.14
2012-10-08,2207.56,2198.31,2222.72,2186.38,-7.83,-0.36,466.68,2415.02,2264.24,2113.46,31.81,25.89,43.65,2,2449.0,1963.61
2012-10-09,2201.47,2262.15,2262.15,2201.47,63.85,2.9,788.24,2415.7,2265.27,2114.85,47.48,33.09,76.27,2,2447.78,1962.63
2012-10-10,2258.6,2292.73,2294.72,2251.64,30.58,1.35,963.04,2417.26,2266.38,2115.49,64.62,43.6,106.67,2,2446.52,1961.62
