time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,1513.3,1517.63,1521.1,1511.23,-0.25,-0.02,159.19,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,1512.28,1521.46,1524.81,1510.05,3.84,0.25,205.54,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,1518.98,1503.82,1522.13,1500.49,-17.64,-1.16,207.45,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,1502.73,1522.86,1529.35,1497.21,19.04,1.27,291.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,1524.83,1528.1,1529.17,1517.95,5.24,0.34,212.36,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,1535.59,1569.21,1584.01,1534.09,41.11,2.69,581.99,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,1568.21,1568.58,1568.74,1556.79,-0.63,-0.04,383.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,1563.78,1554.13,1563.78,1543.99,-14.45,-0.92,261.23,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,1557.74,1548.35,1562.65,1535.72,-5.78,-0.37,333.57,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,1547.29,1533.83,1552.32,1531.89,-14.51,-0.94,312.08,0.0,0.0,0.0,0.0,0.0,0.0,2,1705.84,1367.75
2012-09-14,1539.26,1528.8,1542.26,1520.52,-5.04,-0.33,311.04,0.0,0.0,0.0,0.0,0.0,0.0,2,1707.08,1368.74
2012-09-17,1527.53,1499.11,1527.75,1497.69,-29.69,-1.94,248.27,0.0,0.0,0.0,0.0,0.0,0.0,2,1704.6,1366.75
