time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,4752.76,4773.17,4786.59,4740.35,-0.97,-0.02,292.85,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,4762.05,4872.8,4879.03,4756.06,99.62,2.09,353.06,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,4872.06,4838.53,4900.84,4828.2,-34.27,-0.7,318.38,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,4835.54,4857.73,4870.83,4820.01,19.2,0.4,286.34,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,4860.08,4882.27,4891.9,4844.24,24.53,0.51,292.35,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,4907.49,5024.08,5062.36,4902.24,141.81,2.9,655.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,5023.48,5033.98,5034.11,4985.07,9.91,0.2,475.73,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,5020.28,5067.62,5067.62,4996.69,33.64,0.67,506.46,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,5080.02,5083.95,5101.8,5034.59,16.33,0.32,464.51,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,5081.0,5042.68,5104.67,5042.56,-41.27,-0.81,451.92,0.0,0.0,0.0,0.0,0.0,0.0,2,5491.93,4403.44
2012-09-14,5064.44,5029.45,5078.27,5011.41,-13.24,-0.26,415.14,0.0,0.0,0.0,0.0,0.0,0.0,2,5520.37,4426.25
2012-09-17,5027.59,4922.68,5028.35,4920.36,-106.76,-2.12,421.71,0.0,0.0,0.0,0.0,0.0,0.0,2,5525.91,4430.68
2012-09-18,4911.75,4925.99,4957.28,4895.93,3.31,0.07,309.79,0.0,0.0,0.0,0.0,0.0,0.0,2,5535.62,4438.47
2012-09-19,4923.79,4964.63,4976.13,4923.05,38.64,0.78,298.8,0.0,0.0,0.0,0.0,0.0,0.0,2,5547.48,4447.98
2012-09-20,4950.61,4828.02,4952.05,4820.48,-136.6,-2.75,351.18,0.0,0.0,0.0,0.0,0.0,0.0,2,5541.46,4443.15
2012-09-21,4818.66,4782.4,4832.06,4768.7,-45.63,-0.95,294.28,0.0,0.0,0.0,0.0,0.0,0.0,2,5514.64,4421.64
2012-09-24,4753.29,4810.36,4822.79,4724.45,27.96,0.58,270.79,0.0,0.0,0.0,24.66,40.78,-7.59,2,5489.81,4401.74
2012-09-25,4803.82,4794.62,4837.01,4787.34,-15.74,-0.33,266.59,0.0,0.0,0.0,22.59,34.72,-1.67,2,5459.51,4377.45
2012-09-26,4793.99,4707.45,4803.04,4696.73,-87.17,-1.82,272.1,0.0,0.0,0.0,16.0,28.48,-8.97,1,5417.72,4343.94
2012-09-27,4709.13,4800.82,4830.0,4706.8,93.37,1.98,338.64,5123.72,4902.16,4680.6,21.13,26.03,11.33,2,5390.87,4322.41
2012-09-28,4771.53,4874.37,4876.1,4765.05,73.55,1.53,353.27,5121.26,4907.22,4693.18,35.28,29.11,47.61,2,5373.66,4308.61
2012-10-08,4874.79,4870.29,4894.1,4847.18,-4.08,-0.08,239.5,5121.22,4907.1,4692.98,44.22,34.15,64.38,2,5367.84,4303.95
2012-10-09,4887.72,5011.59,5012.09,4887.72,141.3,2.9,454.39,5132.06,4915.75,4699.44,62.76,43.69,100.92,2,5377.35,4311.56
2012-10-10,5012.42,5045.09,5046.54,4994.1,33.5,0.67,403.43,5146.73,4925.12,4703.5,75.04,54.14,116.84,2,5386.28,4318.73
2012-10-11,5042.0,5009.65,5063.74,5008.52,-35.45,-0.7,444.63,5155.12,4931.49,4707.85,78.45,62.24,110.86,2,5406.44,4334.89
2012-10-12,5019.83,4994.23,5057.24,4960.44,-15.41,-0.31,360.52,5151.53,4929.99,4708.46,79.32,67.93,102.09,2,5429.95,4353.74
2012-10-15,5001.4,5051.93,5051.93,4986.98,57.7,1.16,407.55,5154.24,4930.89,4707.54,85.14,73.67,108.08,2,5456.76,4375.24
2012-10-16,5053.56,5102.99,5145.28,5050.12,51.05,1.01,537.68,5160.82,4932.66,4704.5,86.88,78.07,104.49,0,5490.99,4402.69
2012-10-17,5109.3,5094.62,5119.04,5062.46,-8.36,-0.16,347.49,5162.81,4933.19,4703.58,86.81,80.98,98.46,0,5533.97,4437.15
2012-10-18,5101.71,5136.52,5150.2,5101.28,41.9,0.82,421.85,5179.77,4937.88,4696.0,89.7,83.89,101.33,0,5571.23,4467.02
2012-10-19,5133.68,5092.8,5137.99,5080.46,-43.72,-0.85,379.83,5189.22,4941.05,4692.88,85.85,84.54,88.45,0,5595.48,4486.46
2012-10-22,5074.99,5116.96,5121.8,5067.84,24.16,0.47,327.01,5210.25,4950.77,4691.28,84.72,84.6,84.97,0,5622.86,4508.42
2012-10-23,5116.66,5016.56,5123.23,5011.08,-100.4,-1.96,420.12,5216.05,4955.29,4694.54,66.34,78.52,41.99,2,5623.41,4508.86
2012-10-24,5003.51,4980.32,5025.52,4970.28,-36.24,-0.72,331.55,5217.04,4956.08,4695.12,47.72,68.25,6.66,2,5616.22,4503.1
2012-10-25,4979.85,4936.12,5002.39,4924.82,-44.2,-0.89,315.41,5216.01,4961.48,4706.96,33.48,56.66,-12.87,2,5608.06,4496.55
2012-10-26,4933.74,4897.49,4941.95,4843.98,-38.63,-0.78,333.48,5210.25,4967.24,4724.23,28.15,47.16,-9.87,2,5597.32,4487.94
2012-10-29,4886.26,4938.68,4939.06,4869.13,41.18,0.84,283.59,5206.32,4973.65,4740.99,29.07,41.13,4.96,2,5584.75,4477.86
2012-10-30,4929.34,4933.41,4981.13,4924.16,-5.26,-0.11,349.5,5199.34,4980.59,4761.84,29.12,37.13,13.1,2,5565.93,4462.77
2012-10-31,4933.46,4999.41,4999.41,4929.39,66.0,1.34,386.11,5174.49,4995.19,4815.89,37.03,37.09,36.91,2,5555.36,4454.3
2012-11-01,4995.18,5052.9,5062.49,4994.6,53.49,1.07,427.97,5164.71,5007.8,4850.88,49.63,41.27,66.34,2,5546.08,4446.85
2012-11-02,5051.53,5056.42,5064.93,5027.6,3.53,0.07,332.01,5162.51,5016.9,4871.28,58.44,47.0,81.34,2,5542.04,4443.62
2012-11-05,5052.41,5034.81,5072.5,5017.29,-21.62,-0.43,380.61,5154.35,5025.12,4895.9,66.8,53.6,93.2,2,5532.92,4436.3
