time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2038.48,2040.96,2050.12,2032.49,-2.22,-0.11,1535.61,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2037.53,2065.74,2069.09,2032.21,24.78,1.21,1805.4,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2065.83,2037.0,2067.98,2032.96,-28.75,-1.39,1859.29,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2033.43,2040.76,2048.82,2024.77,3.77,0.18,1759.83,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2049.48,2071.75,2072.17,2049.48,30.99,1.52,2068.43,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2089.68,2168.99,2185.15,2089.68,97.24,4.69,5195.73,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,2175.91,2191.5,2203.52,2169.11,22.51,1.04,4219.15,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,2187.35,2180.08,2188.2,2163.6,-11.42,-0.52,3304.93,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,2190.42,2196.47,2200.21,2167.8,16.4,0.75,3156.02,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,2193.57,2175.22,2203.5,2175.22,-21.26,-0.97,3443.19,0.0,0.0,0.0,0.0,0.0,0.0,2,2349.7,1883.99
2012-09-14,2187.53,2170.31,2193.51,2153.94,-4.9,-0.23,3239.45,0.0,0.0,0.0,0.0,0.0,0.0,2,2364.06,1895.51
2012-09-17,2166.81,2099.81,2166.81,2099.57,-70.5,-3.25,2708.01,0.0,0.0,0.0,0.0,0.0,0.0,2,2367.84,1898.54
2012-09-18,2092.8,2083.76,2099.92,2075.21,-16.05,-0.76,1782.95,0.0,0.0,0.0,0.0,0.0,0.0,2,2373.03,1902.7
2012-09-19,2086.95,2095.19,2099.24,2081.15,11.44,0.55,1651.09,0.0,0.0,0.0,0.0,0.0,0.0,2,2379.07,1907.54
2012-09-20,2091.69,2039.78,2091.71,2038.11,-55.42,-2.64,2400.91,0.0,0.0,0.0,0.0,0.0,0.0,2,2375.52,1904.7
2012-09-21,2034.27,2028.23,2049.15,2021.88,-11.54,-0.57,2046.95,0.0,0.0,0.0,0.0,0.0,0.0,2,2359.9,1892.17
2012-09-24,2019.96,2044.8,2054.08,2006.99,16.57,0.82,1998.43,0.0,0.0,0.0,21.75,38.27,-11.28,2,2343.62,1879.11
2012-09-25,2040.38,2029.54,2048.9,2023.53,-15.26,-0.75,1740.14,0.0,0.0,0.0,18.33,31.62,-8.26,2,2326.91,1865.72
2012-09-26,2027.2,1988.9,2033.67,1985.46,-40.65,-2.0,1730.49,0.0,0.0,0.0,12.77,25.34,-12.37,1,2303.86,1847.24
2012-09-27,1987.92,2038.04,2048.55,1986.84,49.14,2.47,2407.93,2218.47,2089.34,1960.21,18.18,22.95,8.63,2,2288.64,1835.03
2012-09-28,2028.33,2078.54,2080.09,2025.18,40.51,1.99,2550.85,2218.56,2091.22,1963.88,39.23,28.38,60.92,2,2278.45,1826.87
2012-10-08,2081.59,2072.06,2095.05,2061.67,-6.48,-0.31,1798.42,2218.66,2091.54,1964.42,51.52,36.09,82.38,2,2275.37,1824.4
2012-10-09,2076.69,2126.45,2126.77,2076.69,54.39,2.62,2878.73,2221.42,2096.01,1970.6,67.6,46.6,109.62,2,2280.11,1828.2
2012-10-10,2121.16,2138.58,2140.24,2114.99,12.13,0.57,2761.37,2224.93,2100.9,1976.87,78.05,57.08,119.98,2,2284.93,1832.06
2012-10-11,2133.9,2106.03,2138.43,2105.5,-32.55,-1.52,2798.99,2225.93,2102.61,1979.29,78.0,64.05,105.89,2,2292.28,1837.95
2012-10-12,2110.27,2102.61,2129.56,2085.32,-3.42,-0.16,2195.78,2218.81,2099.3,1979.78,77.23,68.44,94.79,2,2300.54,1844.57
2012-10-15,2102.82,2084.95,2103.55,2066.73,-17.66,-0.84,1753.87,2205.82,2093.97,1982.12,72.91,69.93,78.87,2,2304.99,1848.15
2012-10-16,2083.88,2089.65,2104.58,2078.25,4.7,0.23,1765.72,2194.08,2089.45,1984.81,70.95,70.27,72.3,2,2311.66,1853.5
2012-10-17,2095.67,2094.89,2101.17,2074.05,5.24,0.25,1785.09,2176.89,2084.37,1991.84,67.49,69.35,63.79,2,2323.43,1862.93
2012-10-18,2097.74,2135.27,2139.33,2097.57,40.39,1.93,2940.36,2168.46,2082.37,1996.28,76.22,71.64,85.39,2,2334.22,1871.58
2012-10-19,2134.94,2135.15,2145.44,2131.01,-0.13,-0.01,2241.1,2160.68,2080.61,2000.55,79.79,74.35,90.66,2,2340.51,1876.62
2012-10-22,2124.88,2141.4,2145.25,2117.08,6.26,0.29,1859.78,2166.7,2082.69,1998.68,84.82,77.84,98.76,2,2348.2,1882.79
2012-10-23,2142.15,2120.8,2147.12,2118.04,-20.6,-0.96,2346.81,2170.19,2084.54,1998.9,78.96,78.22,80.46,2,2347.58,1882.29
2012-10-24,2109.79,2123.4,2130.88,2107.29,2.6,0.12,2346.99,2173.17,2085.95,1998.74,76.14,77.52,73.37,2,2345.89,1880.94
2012-10-25,2125.29,2106.84,2144.83,2106.46,-16.56,-0.78,2962.81,2174.29,2089.31,2004.32,67.39,74.15,53.88,2,2345.98,1881.01
2012-10-26,2102.38,2059.07,2104.36,2049.05,-47.77,-2.27,2470.33,2172.39,2090.85,2009.3,48.33,65.54,13.92,2,2341.15,1877.14
2012-10-29,2053.59,2051.31,2060.44,2043.34,-7.76,-0.38,1606.72,2172.03,2091.17,2010.32,34.78,55.29,-6.23,2,2337.41,1874.14
2012-10-30,2051.85,2055.25,2071.31,2047.92,3.94,0.19,1827.51,2170.11,2092.46,2014.81,27.01,45.86,-10.69,2,2333.6,1871.08
2012-10-31,2055.08,2066.23,2066.38,2048.58,10.98,0.53,2093.45,2159.27,2096.33,2033.38,25.36,39.03,-1.98,2,2330.41,1868.53
2012-11-01,2067.59,2101.04,2106.96,2067.44,34.81,1.68,2686.95,2156.46,2099.48,2042.49,35.44,37.83,30.65,2,2326.61,1865.48
2012-11-02,2101.81,2111.8,2113.05,2091.93,10.76,0.51,2345.78,2157.52,2101.14,2044.76,45.62,40.43,55.99,2,2324.02,1863.41
2012-11-05,2109.94,2112.88,2122.02,2100.32,1.08,0.05,2156.63,2158.14,2103.18,2048.22,53.25,44.7,70.35,2,2320.86,1860.87
2012-11-06,2112.51,2097.75,2113.29,2071.24,-15.13,-0.72,2335.81,2155.69,2101.74,2047.8,53.37,47.59,64.93,2,2318.3,1858.82
2012-11-07,2094.39,2089.51,2101.62,2081.57,-8.24,-0.39,2076.77,2150.72,2099.29,2047.86,55.14,50.11,65.21,2,2314.54,1855.8
2012-11-08,2074.7,2041.63,2074.7,2041.38,-47.89,-2.29,2304.11,2153.16,2096.07,2038.98,36.86,45.69,19.21,2,2307.3,1850.0
2012-11-09,2037.08,2042.58,2053.7,2033.63,0.95,0.05,2067.46,2154.61,2093.07,2031.53,27.95,39.78,4.3,2,2305.47,1848.53
2012-11-12,2044.64,2064.78,2064.78,2044.64,22.2,1.09,2061.76,2154.75,2092.06,2029.37,30.38,36.65,17.85,2,2306.96,1849.73
2012-11-13,2063.96,2026.27,2063.96,2023.83,-38.51,-1.87,2074.21,2157.84,2088.89,2019.94,21.08,31.46,0.33,2,2303.75,1847.15
2012-11-14,2026.11,2030.2,2032.37,2010.38,3.93,0.19,1728.5,2159.1,2085.66,2012.21,19.97,27.63,4.66,2,2299.75,1843.94
2012-11-15,2021.37,1994.29,2028.16,1992.96,-35.91,-1.77,1777.41,2158.44,2078.61,1998.78,13.66,22.97,-4.97,2,2287.9,1834.44
2012-11-16,1992.03,1988.47,1993.4,1974.71,-5.82,-0.29,1711.93,2155.79,2071.28,1986.76,12.42,19.45,-1.66,2,2274.21,1823.46
2012-11-19,1987.91,1998.13,1999.11,1972.51,9.66,0.49,1548.51,2147.92,2064.11,1980.3,14.89,17.93,8.81,1,2261.47,1813.25
2012-11-20,2004.06,1988.76,2008.77,1987.32,-9.37,-0.47,1489.23,2143.2,2057.51,1971.82,15.23,17.03,11.62,1,2249.37,1803.55
2012-11-21,1988.9,2013.89,2013.89,1969.39,25.12,1.26,1947.02,2134.1,2052.03,1969.97,25.7,19.92,37.26,2,2240.98,1796.82
2012-11-22,2004.68,1991.96,2004.68,1986.57,-21.93,-1.09,1493.15,2128.29,2046.29,1964.29,25.02,21.62,31.82,2,2235.47,1792.4
2012-11-23,1994.52,2001.2,2009.84,1990.21,9.24,0.46,1619.52,2127.45,2043.4,1959.35,27.89,23.71,36.26,2,2230.87,1788.72
2012-11-26,1999.24,1982.52,2001.3,1980.43,-18.68,-0.93,1565.11,2127.97,2039.96,1951.95,25.54,24.32,27.99,2,2221.74,1781.4
