time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2505.65,2510.95,2533.14,2503.65,-1.44,-0.06,276.34,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2507.85,2536.62,2547.52,2501.75,25.68,1.02,349.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2534.8,2517.96,2550.26,2515.46,-18.66,-0.74,380.02,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2505.66,2488.64,2511.58,2473.18,-29.33,-1.16,306.8,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2498.65,2517.74,2519.4,2493.57,29.1,1.17,319.73,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2538.63,2662.72,2690.75,2538.63,144.98,5.76,912.48,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,2664.55,2688.34,2691.72,2643.63,25.62,0.96,763.54,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,2671.19,2655.48,2671.19,2637.28,-32.86,-1.22,496.83,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,2675.09,2687.63,2697.95,2658.82,32.15,1.21,521.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,2687.55,2649.06,2692.16,2648.58,-38.57,-1.44,435.87,0.0,0.0,0.0,0.0,0.0,0.0,2,2876.58,2306.45
2012-09-14,2699.28,2679.28,2718.03,2659.7,30.21,1.14,579.82,0.0,0.0,0.0,0.0,0.0,0.0,2,2895.27,2321.43
2012-09-17,2674.26,2601.29,2674.26,2600.55,-77.99,-2.91,377.71,0.0,0.0,0.0,0.0,0.0,0.0,2,2902.44,2327.18
2012-09-18,2583.23,2556.4,2584.75,2548.69,-44.89,-1.73,311.84,0.0,0.0,0.0,0.0,0.0,0.0,2,2906.71,2330.61
2012-09-19,2558.37,2576.03,2578.17,2545.78,19.62,0.77,254.59,0.0,0.0,0.0,0.0,0.0,0.0,2,2916.41,2338.38
2012-09-20,2562.78,2493.46,2562.78,2490.47,-82.57,-3.21,328.53,0.0,0.0,0.0,0.0,0.0,0.0,2,2913.72,2336.22
2012-09-21,2487.59,2512.06,2553.62,2487.59,18.6,0.75,365.94,0.0,0.0,0.0,0.0,0.0,0.0,2,2896.99,2322.81
2012-09-24,2491.85,2551.4,2571.29,2475.86,39.34,1.57,382.56,0.0,0.0,0.0,28.37,42.02,1.06,2,2881.79,2310.63
2012-09-25,2537.09,2545.06,2562.73,2523.79,-6.34,-0.25,325.5,0.0,0.0,0.0,28.44,37.5,10.32,1,2869.54,2300.8
2012-09-26,2541.15,2511.55,2557.62,2507.24,-33.51,-1.32,318.6,0.0,0.0,0.0,23.87,32.95,5.71,2,2849.99,2285.13
2012-09-27,2510.43,2609.98,2636.0,2510.12,98.43,3.92,591.38,2714.58,2577.58,2440.58,38.45,34.79,45.77,2,2845.65,2281.65
2012-09-28,2586.24,2649.23,2651.59,2583.54,39.25,1.5,552.69,2721.31,2584.5,2447.69,58.52,42.7,90.16,2,2842.32,2278.97
2012-10-08,2642.35,2611.46,2654.82,2597.08,-37.77,-1.43,325.34,2723.69,2588.24,2452.78,64.27,49.89,93.03,2,2843.45,2279.88
2012-10-09,2625.98,2672.82,2684.38,2625.98,61.36,2.35,535.16,2732.18,2595.98,2459.78,74.33,58.04,106.92,2,2856.37,2290.24
2012-10-10,2672.59,2683.54,2687.81,2662.62,10.72,0.4,463.66,2737.63,2605.73,2473.82,82.22,66.1,114.46,2,2868.3,2299.81
2012-10-11,2674.45,2641.94,2675.31,2640.59,-41.6,-1.55,394.42,2738.27,2611.94,2485.61,80.93,71.04,100.71,2,2884.78,2313.02
2012-10-12,2654.6,2653.02,2679.42,2620.99,11.08,0.42,378.68,2737.07,2611.45,2485.83,80.86,74.31,93.96,2,2900.43,2325.57
2012-10-15,2647.36,2627.08,2648.0,2604.42,-25.94,-0.98,284.66,2729.26,2608.39,2487.52,76.03,74.89,78.32,2,2908.83,2332.31
2012-10-16,2627.5,2628.05,2654.41,2618.14,0.97,0.04,303.86,2726.33,2607.02,2487.7,72.81,74.2,70.04,2,2918.04,2339.69
2012-10-17,2641.85,2636.62,2657.08,2608.14,8.57,0.33,329.4,2718.86,2604.47,2490.08,65.51,71.3,53.93,2,2931.93,2350.82
2012-10-18,2642.61,2686.17,2693.01,2642.61,49.56,1.88,496.7,2724.68,2606.32,2487.96,74.63,72.41,79.07,2,2940.38,2357.6
2012-10-19,2685.21,2678.26,2698.24,2672.3,-7.91,-0.29,405.76,2724.5,2606.27,2488.04,75.99,73.6,80.76,2,2943.6,2360.19
2012-10-22,2660.26,2698.14,2699.73,2657.56,19.88,0.74,446.43,2735.89,2611.11,2486.34,83.44,76.88,96.55,2,2953.23,2367.9
2012-10-23,2693.66,2657.16,2699.14,2654.69,-40.98,-1.52,368.07,2739.81,2616.15,2492.49,74.07,75.94,70.32,2,2951.49,2366.51
2012-10-24,2641.36,2638.18,2658.23,2632.34,-18.99,-0.71,302.8,2741.85,2619.26,2496.67,61.19,71.02,41.51,2,2946.45,2362.47
2012-10-25,2635.68,2599.75,2656.82,2599.16,-38.43,-1.46,372.19,2733.32,2624.57,2515.82,40.99,61.01,0.94,2,2941.77,2358.72
2012-10-26,2596.28,2552.54,2601.42,2544.82,-47.21,-1.82,339.6,2728.17,2626.6,2525.03,28.99,50.34,-13.72,2,2930.62,2349.77
2012-10-29,2548.94,2548.04,2565.34,2537.93,-4.5,-0.18,214.07,2728.51,2626.43,2524.35,21.41,40.69,-17.17,2,2921.84,2342.74
2012-10-30,2550.23,2555.21,2584.07,2549.82,7.17,0.28,276.53,2727.48,2626.94,2526.39,17.83,33.07,-12.65,2,2913.76,2336.26
2012-10-31,2553.64,2574.1,2574.1,2543.19,18.89,0.74,302.78,2719.31,2630.06,2540.82,19.34,28.49,1.03,2,2906.82,2330.69
2012-11-01,2573.87,2615.04,2622.62,2569.76,40.94,1.59,406.26,2719.36,2630.32,2541.27,28.78,28.59,29.16,2,2898.92,2324.36
2012-11-02,2616.97,2619.45,2628.51,2600.85,4.42,0.17,298.39,2717.56,2628.83,2540.1,36.04,31.07,45.98,2,2892.39,2319.13
2012-11-05,2619.0,2640.24,2661.0,2618.33,20.79,0.79,490.18,2718.75,2630.27,2541.78,51.74,37.96,79.29,2,2885.97,2313.97
2012-11-06,2640.67,2615.64,2644.23,2586.37,-24.6,-0.93,364.99,2713.88,2627.41,2540.93,55.54,43.82,78.98,2,2881.36,2310.28
2012-11-07,2616.34,2613.4,2633.46,2600.08,-2.24,-0.09,256.59,2706.59,2623.9,2541.21,57.47,48.37,75.66,2,2878.61,2308.07
2012-11-08,2586.06,2532.73,2586.06,2532.51,-80.67,-3.09,310.07,2709.63,2618.44,2527.25,38.37,45.04,25.03,2,2871.17,2302.11
2012-11-09,2527.46,2531.64,2543.14,2522.96,-1.09,-0.04,194.63,2709.51,2612.37,2515.23,27.68,39.25,4.53,2,2868.85,2300.25
2012-11-12,2537.18,2549.11,2554.4,2526.35,17.46,0.69,202.5,2709.13,2608.47,2507.81,24.76,34.42,5.45,2,2868.97,2300.34
2012-11-13,2547.56,2500.73,2547.56,2498.77,-48.38,-1.9,223.24,2712.63,2602.11,2491.58,16.91,28.58,-6.43,2,2862.92,2295.5
2012-11-14,2503.27,2510.46,2512.94,2487.87,9.73,0.39,196.06,2711.98,2595.8,2479.62,15.62,24.26,-1.66,2,2855.86,2289.83
2012-11-15,2496.92,2462.54,2501.09,2461.82,-47.92,-1.91,217.56,2706.75,2584.62,2462.49,10.54,19.69,-7.77,2,2838.93,2276.26
