time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2238.03,2249.73,2256.94,2229.46,6.57,0.29,165.89,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2244.73,2279.26,2285.81,2238.08,29.53,1.31,184.7,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2278.15,2252.91,2289.76,2247.43,-26.34,-1.16,172.24,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2251.53,2298.04,2302.64,2246.04,45.13,2.0,216.76,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2300.12,2323.03,2323.49,2297.67,24.99,1.09,212.7,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2339.62,2391.57,2412.5,2336.2,68.53,2.95,469.79,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,2396.36,2421.38,2435.95,2390.51,29.81,1.25,379.09,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,2414.68,2417.27,2429.6,2406.0,-4.11,-0.17,321.62,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,2428.3,2433.5,2437.18,2399.88,16.23,0.67,294.41,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,2439.13,2423.56,2456.47,2422.49,-9.94,-0.41,313.56,0.0,0.0,0.0,0.0,0.0,0.0,2,2607.42,2090.63
2012-09-14,2443.98,2425.02,2451.15,2402.65,1.46,0.06,287.1,0.0,0.0,0.0,0.0,0.0,0.0,2,2626.87,2106.23
2012-09-17,2421.52,2352.3,2421.52,2351.5,-72.72,-3.0,243.4,0.0,0.0,0.0,0.0,0.0,0.0,2,2634.98,2112.73
2012-09-18,2353.65,2345.87,2367.76,2336.16,-6.43,-0.27,236.58,0.0,0.0,0.0,0.0,0.0,0.0,2,2645.3,2121.01
2012-09-19,2358.98,2386.01,2399.38,2357.66,40.14,1.71,249.59,0.0,0.0,0.0,0.0,0.0,0.0,2,2655.07,2128.84
2012-09-20,2380.56,2315.37,2381.06,2310.13,-70.64,-2.96,284.07,0.0,0.0,0.0,0.0,0.0,0.0,2,2654.22,2128.15
2012-09-21,2305.54,2280.0,2315.36,2273.94,-35.37,-1.53,216.75,0.0,0.0,0.0,0.0,0.0,0.0,2,2641.83,2118.22
2012-09-24,2268.39,2299.73,2307.08,2249.25,19.73,0.87,190.99,0.0,0.0,0.0,27.27,45.52,-9.22,2,2628.33,2107.4
2012-09-25,2295.09,2264.01,2299.01,2261.16,-35.72,-1.55,149.34,0.0,0.0,0.0,20.55,37.2,-12.73,2,2611.32,2093.76
2012-09-26,2260.27,2229.08,2273.86,2218.96,-34.92,-1.54,177.9,0.0,0.0,0.0,15.16,29.85,-14.23,2,2588.63,2075.56
2012-09-27,2223.43,2280.05,2291.13,2218.8,50.97,2.29,271.96,2466.5,2333.38,2200.26,20.18,26.63,7.28,2,2572.7,2062.79
2012-09-28,2270.55,2319.6,2320.53,2264.31,39.55,1.73,302.4,2464.59,2336.88,2209.17,32.06,28.44,39.3,2,2560.99,2053.41
2012-10-08,2321.21,2304.4,2334.35,2291.58,-15.19,-0.65,208.24,2464.04,2338.14,2212.23,37.17,31.35,48.82,2,2555.68,2049.15
2012-10-09,2302.31,2351.91,2353.04,2302.31,47.5,2.06,242.5,2462.83,2343.09,2223.34,52.13,38.27,79.83,2,2556.35,2049.68
2012-10-10,2352.36,2372.48,2373.06,2342.94,20.58,0.87,266.65,2465.34,2346.81,2228.27,67.96,48.17,107.54,2,2554.85,2048.48
2012-10-11,2364.88,2325.53,2364.88,2324.73,-46.96,-1.98,188.82,2465.37,2346.93,2228.49,68.37,54.9,95.3,2,2555.97,2049.38
2012-10-12,2325.9,2310.2,2348.46,2294.6,-15.33,-0.66,178.35,2460.48,2342.86,2225.25,65.33,58.38,79.23,2,2559.33,2052.07
2012-10-15,2290.99,2275.2,2290.99,2253.95,-35.0,-1.51,138.15,2450.89,2335.55,2220.22,55.74,57.5,52.22,2,2556.6,2049.89
2012-10-16,2262.69,2268.85,2287.54,2254.25,-6.35,-0.28,247.37,2440.54,2328.13,2215.72,47.98,54.32,35.28,2,2557.14,2050.32
2012-10-17,2270.68,2262.36,2275.37,2240.09,-6.48,-0.29,164.25,2424.4,2319.58,2214.75,37.57,48.74,15.22,2,2560.83,2053.28
2012-10-18,2265.6,2300.48,2304.22,2264.91,38.12,1.68,207.29,2406.95,2313.42,2219.9,40.18,45.89,28.78,2,2563.1,2055.1
2012-10-19,2300.51,2305.14,2310.62,2291.57,4.67,0.2,161.91,2385.7,2307.43,2229.16,43.1,44.96,39.37,2,2561.5,2053.81
2012-10-22,2294.02,2312.52,2315.92,2287.85,7.38,0.32,155.63,2381.02,2305.44,2229.86,46.89,45.6,49.46,2,2562.4,2054.54
2012-10-23,2313.83,2287.26,2315.57,2284.89,-25.26,-1.09,163.51,2376.11,2302.51,2228.91,43.86,45.02,41.54,2,2555.22,2048.78
2012-10-24,2280.83,2282.99,2295.53,2270.72,-4.27,-0.19,172.85,2360.55,2297.36,2234.17,42.43,44.16,38.99,2,2545.29,2040.82
2012-10-25,2286.85,2278.11,2302.9,2276.62,-4.88,-0.21,261.28,2358.65,2295.5,2232.34,45.0,44.44,46.13,2,2540.03,2036.6
2012-10-26,2274.77,2217.17,2276.06,2207.29,-60.94,-2.67,292.31,2363.96,2292.35,2220.75,33.03,40.64,17.83,2,2529.7,2028.32
2012-10-29,2211.48,2219.88,2223.58,2205.61,2.71,0.12,184.48,2366.49,2288.36,2210.24,26.33,35.87,7.26,2,2523.56,2023.39
2012-10-30,2219.85,2201.75,2226.02,2199.13,-18.13,-0.82,169.57,2371.54,2285.25,2198.96,18.3,30.01,-5.12,2,2516.11,2017.42
2012-10-31,2201.17,2197.91,2205.25,2184.05,-3.84,-0.17,169.29,2374.97,2283.69,2192.41,15.71,25.24,-3.37,2,2508.96,2011.69
