time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2013-01-04,1005.73,989.77,1005.73,981.59,-10.23,-1.02,149.58,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-07,1005.97,1017.72,1017.72,1004.39,27.95,2.82,215.71,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-08,1024.09,1037.74,1043.31,1022.34,20.02,1.97,281.61,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-09,1034.56,1032.98,1043.13,1025.18,-4.76,-0.46,292.09,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-10,1033.68,1047.15,1047.15,1031.56,14.17,1.37,189.94,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-11,1049.22,1025.82,1052.53,1023.07,-21.33,-2.04,208.37,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-14,1042.61,1079.61,1080.02,1042.61,53.79,5.24,320.31,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-15,1085.98,1099.36,1109.54,1085.53,19.75,1.83,371.26,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-16,1096.05,1094.88,1099.85,1078.92,-4.48,-0.41,314.41,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-17,1092.44,1080.7,1093.31,1076.26,-14.18,-1.3,214.92,0.0,0.0,0.0,0.0,0.0,0.0,2,1166.14,935.01
2013-01-18,1090.79,1100.2,1100.85,1078.38,19.5,1.8,194.11,0.0,0.0,0.0,0.0,0.0,0.0,2,1178.39,944.84
2013-01-21,1102.25,1100.94,1106.07,1094.76,0.74,0.07,186.03,0.0,0.0,0.0,0.0,0.0,0.0,2,1187.63,952.24
2013-01-22,1098.05,1074.65,1098.05,1068.56,-26.29,-2.39,187.28,0.0,0.0,0.0,0.0,0.0,0.0,2,1191.73,955.53
2013-01-23,1070.14,1078.79,1078.79,1060.85,4.14,0.39,148.22,0.0,0.0,0.0,0.0,0.0,0.0,2,1196.81,959.61
2013-01-24,1078.58,1051.27,1088.24,1044.94,-27.52,-2.55,203.09,0.0,0.0,0.0,0.0,0.0,0.0,2,1197.27,959.97
2013-01-25,1051.88,1060.85,1065.77,1050.27,9.58,0.91,131.35,0.0,0.0,0.0,0.0,0.0,0.0,2,1201.16,963.09
2013-01-28,1064.23,1093.67,1093.67,1064.23,32.82,3.09,168.79,0.0,0.0,0.0,56.13,61.9,44.59,2,1202.72,964.34
2013-01-29,1096.44,1102.42,1106.86,1095.22,8.75,0.8,203.31,0.0,0.0,0.0,68.36,64.06,76.98,2,1203.06,964.61
2013-01-30,1102.72,1103.54,1107.26,1093.0,1.12,0.1,231.82,0.0,0.0,0.0,76.92,68.35,94.07,2,1204.02,965.39
