time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,3284.03,3287.81,3298.62,3276.04,-4.37,-0.13,448.31,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,3278.79,3299.96,3307.54,3273.28,12.15,0.37,512.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,3298.99,3254.18,3301.49,3249.52,-45.78,-1.39,507.02,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,3249.07,3254.6,3270.81,3239.16,0.41,0.01,462.15,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,3264.83,3285.24,3287.07,3263.16,30.64,0.94,468.46,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,3304.07,3403.26,3426.14,3303.72,118.02,3.59,1480.96,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,3400.63,3401.25,3410.15,3381.19,-2.01,-0.06,907.69,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,3387.74,3372.01,3387.74,3351.48,-29.24,-0.86,657.54,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,3386.06,3384.75,3406.18,3354.13,12.74,0.38,777.54,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,3384.69,3358.1,3393.72,3356.23,-26.65,-0.79,733.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3696.43,2963.8
2012-09-14,3375.73,3367.26,3382.46,3344.06,9.15,0.27,740.18,0.0,0.0,0.0,0.0,0.0,0.0,2,3705.25,2970.87
2012-09-17,3366.06,3290.97,3366.06,3288.85,-76.29,-2.27,627.71,0.0,0.0,0.0,0.0,0.0,0.0,2,3704.25,2970.07
2012-09-18,3282.45,3262.44,3282.7,3252.85,-28.53,-0.87,420.02,0.0,0.0,0.0,0.0,0.0,0.0,2,3705.17,2970.81
2012-09-19,3263.15,3271.93,3279.56,3257.28,9.49,0.29,370.63,0.0,0.0,0.0,0.0,0.0,0.0,2,3707.09,2972.35
2012-09-20,3268.4,3203.7,3268.57,3203.59,-68.23,-2.09,607.17,0.0,0.0,0.0,0.0,0.0,0.0,2,3698.04,2965.09
2012-09-21,3198.31,3217.65,3234.75,3194.26,13.96,0.44,560.09,0.0,0.0,0.0,0.0,0.0,0.0,2,3677.44,2948.58
2012-09-24,3199.21,3216.6,3226.41,3174.27,-1.05,-0.03,465.7,0.0,0.0,0.0,19.24,29.56,-1.4,2,3656.94,2932.14
2012-09-25,3213.19,3196.31,3215.71,3186.53,-20.29,-0.63,365.68,0.0,0.0,0.0,16.18,25.1,-1.67,1,3637.44,2916.5
2012-09-26,3196.23,3155.3,3201.53,3149.98,-41.01,-1.28,430.59,0.0,0.0,0.0,11.55,20.58,-6.52,1,3611.97,2896.08
2012-09-27,3155.42,3224.18,3239.73,3152.69,68.88,2.18,746.96,3429.71,3285.38,3141.04,19.14,20.1,17.23,2,3597.1,2884.16
2012-09-28,3203.56,3273.27,3276.38,3200.56,49.09,1.52,788.0,3429.07,3284.65,3140.22,43.73,27.98,75.23,2,3586.67,2875.8
2012-10-08,3274.16,3253.38,3288.37,3238.39,-19.89,-0.61,481.54,3427.18,3282.32,3137.46,54.06,36.67,88.83,2,3582.5,2872.45
2012-10-09,3260.32,3318.11,3323.42,3260.32,64.73,1.99,850.7,3430.57,3285.52,3140.46,68.35,47.23,110.59,2,3588.68,2877.41
