time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-01-04,3553.24,3441.52,3554.96,3441.52,0.0,-2.43,484.13,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-05,3421.22,3312.01,3421.22,3310.42,0.0,-3.76,664.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-06,3301.02,3300.04,3301.02,3228.25,0.0,-0.36,531.94,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-09,3296.89,3408.23,3408.23,3266.0,0.0,3.28,597.86,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-10,3405.24,3539.23,3539.23,3405.24,0.0,3.84,1243.61,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-11,3539.71,3531.46,3561.38,3513.59,0.0,-0.22,1073.79,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-12,3520.45,3503.36,3554.45,3501.33,0.0,-0.8,642.26,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-13,3509.12,3385.32,3510.53,3375.33,0.0,-3.37,676.83,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-16,3357.47,3266.82,3357.47,3266.82,0.0,-3.5,480.88,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-17,3263.72,3427.99,3428.29,3241.47,0.0,4.93,781.17,0.0,0.0,0.0,0.0,0.0,0.0,2,3786.87,3036.32
2012-01-18,3427.04,3309.9,3434.72,3298.66,0.0,-3.45,685.07,0.0,0.0,0.0,0.0,0.0,0.0,2,3772.26,3024.61
2012-01-19,3299.57,3347.68,3364.86,3289.38,0.0,1.14,656.58,0.0,0.0,0.0,0.0,0.0,0.0,2,3776.22,3027.78
2012-01-20,3351.53,3419.21,3423.94,3351.53,0.0,2.14,770.92,0.0,0.0,0.0,0.0,0.0,0.0,2,3789.45,3038.39
2012-01-30,3432.54,3394.48,3432.54,3392.21,0.0,-0.72,470.93,0.0,0.0,0.0,0.0,0.0,0.0,2,3787.92,3037.17
2012-01-31,3388.45,3392.68,3392.68,3360.26,0.0,-0.05,427.12,0.0,0.0,0.0,0.0,0.0,0.0,2,3771.66,3024.12
2012-02-01,3388.3,3369.72,3422.04,3367.76,0.0,-0.68,513.75,0.0,0.0,0.0,0.0,0.0,0.0,2,3753.7,3009.73
2012-02-02,3378.68,3437.57,3437.57,3372.67,0.0,2.01,588.54,0.0,0.0,0.0,63.11,45.7,97.93,2,3746.4,3003.87
2012-02-03,3430.22,3493.85,3502.0,3425.44,0.0,1.64,788.67,0.0,0.0,0.0,74.36,55.25,112.59,2,3758.45,3013.53
2012-02-06,3498.57,3519.96,3523.1,3493.13,0.0,0.75,699.43,0.0,0.0,0.0,82.46,64.32,118.74,2,3786.55,3036.06
2012-02-07,3502.34,3459.5,3502.34,3441.35,0.0,-1.72,601.82,3569.61,3413.03,3256.44,79.24,69.29,99.12,2,3790.05,3038.86
2012-02-08,3452.2,3536.13,3536.13,3445.65,0.0,2.22,711.57,3582.98,3417.76,3252.54,86.16,74.91,108.64,2,3815.16,3059.0
2012-02-09,3531.67,3562.83,3584.73,3523.8,0.0,0.76,967.76,3599.54,3430.3,3261.06,87.52,79.12,104.33,2,3839.04,3078.15
2012-02-10,3554.47,3572.05,3586.52,3546.64,0.0,0.26,876.99,3612.8,3443.9,3275.0,89.55,82.59,103.46,0,3856.0,3091.75
2012-02-13,3543.82,3624.4,3637.08,3537.88,0.0,1.47,898.45,3639.97,3454.71,3269.45,91.46,85.55,103.29,0,3881.52,3112.21
2012-02-14,3622.78,3614.69,3626.4,3593.85,0.0,-0.27,677.98,3653.3,3458.48,3263.66,91.49,87.53,99.4,0,3906.17,3131.97
2012-02-15,3607.19,3667.83,3667.83,3592.43,0.0,1.47,965.04,3678.53,3465.3,3252.06,94.32,89.79,103.38,0,3939.26,3158.5
2012-02-16,3664.14,3657.8,3694.61,3626.39,0.0,-0.27,928.22,3701.83,3473.02,3244.22,91.37,90.32,93.47,0,3963.7,3178.1
2012-02-17,3665.87,3654.27,3667.3,3623.32,0.0,-0.1,771.19,3724.5,3486.47,3248.43,88.94,89.86,87.1,0,3981.51,3192.38
2012-02-20,3697.52,3652.77,3703.81,3652.75,0.0,-0.04,1336.99,3731.71,3505.77,3279.82,86.04,88.58,80.94,0,3996.25,3204.2
2012-02-21,3650.53,3696.43,3696.43,3618.57,0.0,1.2,1246.69,3756.66,3519.19,3281.72,89.32,88.83,90.31,0,4022.55,3225.29
2012-02-22,3694.75,3772.7,3772.7,3693.94,0.0,2.06,1620.54,3783.87,3542.33,3300.78,92.88,90.18,98.28,0,4048.81,3246.34
2012-02-23,3773.37,3784.3,3785.5,3746.36,0.0,0.31,1203.3,3810.27,3564.16,3318.05,95.09,91.82,101.64,0,4073.39,3266.05
2012-02-24,3780.51,3826.43,3826.43,3773.87,0.0,1.11,1164.19,3846.18,3584.52,3322.86,96.73,93.46,103.28,0,4101.63,3288.69
2012-02-27,3836.47,3846.38,3896.63,3833.91,0.0,0.52,1390.99,3877.15,3607.11,3337.08,92.31,93.07,90.79,0,4126.27,3308.45
2012-02-28,3837.43,3816.45,3843.21,3792.92,0.0,-0.78,1502.71,3894.18,3628.3,3362.43,85.26,90.47,74.85,0,4148.66,3326.41
2012-02-29,3810.58,3775.38,3822.76,3775.04,0.0,-1.08,1037.6,3893.53,3648.59,3403.64,75.64,85.53,55.87,2,4160.6,3335.98
2012-03-01,3758.93,3774.2,3791.84,3758.93,0.0,-0.03,806.46,3895.88,3665.42,3434.95,69.08,80.05,47.16,2,4173.52,3346.34
2012-03-02,3778.18,3844.93,3844.93,3778.18,0.0,1.87,1148.2,3911.97,3682.97,3453.98,73.19,77.76,64.05,2,4194.69,3363.31
2012-03-05,3853.78,3832.84,3866.96,3831.06,0.0,-0.31,1551.81,3923.64,3698.62,3473.59,71.64,75.72,63.47,2,4214.67,3379.33
2012-03-06,3821.0,3791.77,3821.0,3771.84,0.0,-1.07,1178.21,3914.81,3715.23,3515.64,57.83,69.76,33.98,2,4225.26,3387.82
2012-03-07,3757.91,3782.71,3818.06,3757.91,0.0,-0.24,1219.62,3911.19,3727.56,3543.92,44.51,61.34,10.86,2,4226.37,3388.71
2012-03-08,3793.7,3839.7,3841.13,3791.72,0.0,1.51,1169.11,3914.73,3741.4,3568.07,49.33,57.34,33.31,2,4232.52,3393.64
2012-03-09,3848.0,3886.12,3886.12,3830.04,0.0,1.21,1101.04,3922.96,3757.1,3591.25,66.22,60.3,78.06,2,4239.14,3398.95
