time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,973.77,975.37,977.78,970.81,-0.91,-0.09,174.18,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,973.1,977.6,979.4,967.98,2.23,0.23,181.07,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,977.98,963.66,978.15,961.37,-13.94,-1.43,184.4,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,962.23,956.32,963.63,954.12,-7.34,-0.76,168.18,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,957.14,967.43,968.05,957.14,11.11,1.16,183.79,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,971.71,1004.12,1010.84,971.28,36.69,3.79,572.92,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,1003.12,1002.38,1004.52,995.25,-1.74,-0.17,349.38,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,997.71,994.45,997.71,989.73,-7.93,-0.79,245.09,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,1001.79,1000.79,1009.08,992.48,6.34,0.64,326.52,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,999.65,994.25,1004.02,993.36,-6.54,-0.65,296.75,0.0,0.0,0.0,0.0,0.0,0.0,2,1091.84,875.44
2012-09-14,999.04,995.36,1001.11,988.91,1.11,0.11,271.25,0.0,0.0,0.0,0.0,0.0,0.0,2,1094.06,877.22
2012-09-17,994.84,970.56,994.84,969.47,-24.81,-2.49,245.58,0.0,0.0,0.0,0.0,0.0,0.0,2,1093.27,876.59
2012-09-18,968.59,960.63,968.59,957.98,-9.93,-1.02,152.38,0.0,0.0,0.0,0.0,0.0,0.0,2,1092.94,876.32
2012-09-19,961.52,963.67,967.46,959.21,3.04,0.32,142.79,0.0,0.0,0.0,0.0,0.0,0.0,2,1093.75,876.97
2012-09-20,963.33,949.28,967.76,948.72,-14.4,-1.49,238.18,0.0,0.0,0.0,0.0,0.0,0.0,2,1091.74,875.36
2012-09-21,946.4,958.36,966.31,945.84,9.08,0.96,284.44,0.0,0.0,0.0,0.0,0.0,0.0,2,1086.66,871.29
2012-09-24,953.17,955.58,958.39,942.99,-2.77,-0.29,189.41,0.0,0.0,0.0,22.27,32.55,1.72,2,1081.47,867.12
2012-09-25,954.38,949.17,956.55,946.55,-6.41,-0.67,137.95,0.0,0.0,0.0,18.22,27.77,-0.88,1,1076.44,863.09
2012-09-26,947.79,938.37,950.32,935.76,-10.8,-1.14,169.66,0.0,0.0,0.0,13.48,23.01,-5.58,1,1069.51,857.54
2012-09-27,937.71,962.08,967.28,937.11,23.71,2.53,296.74,1011.04,971.97,932.91,23.84,23.28,24.94,2,1065.94,854.67
2012-09-28,955.5,974.1,975.1,954.51,12.02,1.25,299.2,1010.96,971.91,932.86,48.38,31.65,81.83,2,1063.58,852.78
2012-10-08,975.41,971.3,982.61,966.55,-2.81,-0.29,184.49,1010.55,971.59,932.63,57.54,40.28,92.06,2,1063.66,852.85
2012-10-09,972.07,988.16,990.7,972.07,16.86,1.74,275.37,1012.24,972.82,933.4,70.15,50.24,109.98,2,1066.72,855.3
2012-10-10,984.16,991.99,993.51,981.22,3.83,0.39,241.93,1014.1,974.6,935.1,79.22,59.9,117.87,2,1069.86,857.82
2012-10-11,990.78,982.18,990.78,980.66,-9.81,-0.99,214.51,1014.83,975.34,935.85,79.61,66.47,105.89,2,1073.51,860.74
2012-10-12,984.07,983.7,991.99,979.93,1.52,0.15,195.54,1011.78,974.32,936.85,80.74,71.23,99.78,2,1076.33,863.0
2012-10-15,984.11,978.42,985.05,972.4,-5.27,-0.54,143.15,1008.39,973.12,937.85,78.45,73.64,88.09,2,1078.86,865.03
2012-10-16,978.1,980.44,984.55,974.63,2.01,0.21,154.44,1006.5,972.42,938.34,77.91,75.06,83.61,2,1082.33,867.82
2012-10-17,982.91,982.1,983.66,974.55,1.66,0.17,166.66,1003.36,971.48,939.61,75.52,75.21,76.14,2,1087.19,871.71
2012-10-18,983.34,997.37,999.72,983.31,15.28,1.56,349.75,1003.98,971.64,939.3,81.32,77.25,89.46,2,1091.1,874.85
2012-10-19,996.68,996.54,998.81,993.71,-0.83,-0.08,264.14,1004.22,971.7,939.18,83.71,79.4,92.33,2,1093.59,876.85
