time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,3211.42,3199.13,3221.2,3199.13,-19.66,-0.61,327.56,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,3186.82,3165.43,3188.41,3158.87,-33.7,-1.05,519.79,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,3161.37,3118.59,3165.58,3108.15,-46.84,-1.48,535.94,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,3113.52,3069.11,3114.78,3055.64,-49.48,-1.59,702.39,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,3071.26,3096.67,3098.96,3055.44,27.57,0.9,561.52,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,3104.73,3189.28,3220.94,3099.64,92.61,2.99,1240.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,3180.27,3169.46,3191.73,3157.1,-19.82,-0.62,587.81,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,3159.41,3154.13,3159.41,3128.82,-15.34,-0.48,379.04,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,3164.04,3142.69,3173.87,3121.73,-11.43,-0.36,481.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,3137.36,3130.89,3150.41,3126.11,-11.8,-0.38,354.27,0.0,0.0,0.0,0.0,0.0,0.0,2,3489.33,2797.75
2012-09-14,3145.59,3160.57,3175.4,3130.89,29.68,0.95,612.2,0.0,0.0,0.0,0.0,0.0,0.0,2,3485.05,2794.32
2012-09-17,3155.95,3119.98,3156.96,3117.73,-40.59,-1.28,408.35,0.0,0.0,0.0,0.0,0.0,0.0,2,3480.0,2790.27
2012-09-18,3112.34,3085.75,3113.27,3080.28,-34.23,-1.1,339.34,0.0,0.0,0.0,0.0,0.0,0.0,2,3476.36,2787.35
2012-09-19,3087.66,3076.83,3092.99,3067.59,-8.91,-0.29,374.09,0.0,0.0,0.0,0.0,0.0,0.0,2,3477.21,2788.04
