time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,581.49,581.24,584.04,578.02,-1.73,-0.3,287.3,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,580.53,588.51,589.11,578.49,7.26,1.25,313.48,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,587.78,583.7,590.74,582.07,-4.81,-0.82,314.76,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,583.15,592.2,593.56,582.09,8.5,1.46,380.21,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,592.15,597.46,597.46,591.99,5.25,0.89,346.21,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,600.85,618.27,624.98,600.6,20.82,3.48,708.8,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,618.3,627.62,630.23,618.07,9.35,1.51,595.04,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,636.59,634.34,640.54,629.19,6.71,1.07,752.86,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,635.51,643.29,643.73,628.0,8.95,1.41,801.27,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,640.95,656.37,667.71,638.28,13.09,2.03,1211.28,0.0,0.0,0.0,0.0,0.0,0.0,2,679.65,544.95
2012-09-14,655.58,645.67,656.96,642.19,-10.7,-1.63,955.78,0.0,0.0,0.0,0.0,0.0,0.0,2,686.8,550.68
2012-09-17,646.58,629.61,648.77,629.41,-16.06,-2.49,786.92,0.0,0.0,0.0,0.0,0.0,0.0,2,691.37,554.34
2012-09-18,626.45,619.98,626.57,617.35,-9.62,-1.53,529.19,0.0,0.0,0.0,0.0,0.0,0.0,2,695.39,557.57
2012-09-19,622.21,622.96,626.28,617.95,2.98,0.48,468.08,0.0,0.0,0.0,0.0,0.0,0.0,2,698.81,560.31
2012-09-20,621.61,608.39,630.1,607.31,-14.56,-2.34,597.04,0.0,0.0,0.0,0.0,0.0,0.0,2,700.02,561.28
2012-09-21,604.35,589.32,604.35,588.61,-19.08,-3.14,519.14,0.0,0.0,0.0,0.0,0.0,0.0,2,696.81,558.7
2012-09-24,589.68,596.51,599.04,587.95,7.19,1.22,369.13,0.0,0.0,0.0,21.29,43.23,-22.59,2,693.35,555.93
2012-09-25,594.38,593.4,599.38,591.47,-3.11,-0.52,366.72,0.0,0.0,0.0,16.47,34.31,-19.21,2,688.81,552.29
2012-09-26,591.98,578.05,595.82,575.41,-15.35,-2.59,371.75,0.0,0.0,0.0,12.06,26.9,-17.61,2,681.57,546.48
2012-09-27,577.46,589.63,593.86,575.56,11.59,2.0,393.35,656.58,609.83,563.07,14.5,22.76,-2.02,2,674.16,540.54
2012-09-28,586.75,601.12,601.24,585.59,11.49,1.95,390.99,655.92,610.82,565.72,25.34,23.62,28.77,2,669.22,536.58
2012-10-08,604.11,606.18,609.93,601.49,5.06,0.84,374.21,655.7,611.7,567.71,35.65,27.63,51.68,2,666.61,534.49
2012-10-09,606.52,618.51,618.84,605.37,12.34,2.03,470.65,655.59,613.44,571.3,50.03,35.1,79.9,2,666.45,534.36
2012-10-10,616.82,622.77,624.44,615.35,4.26,0.69,448.53,656.13,614.97,573.82,65.55,45.25,106.16,2,666.43,534.35
2012-10-11,620.5,607.94,620.5,607.77,-14.83,-2.38,435.89,656.01,615.5,574.98,65.82,52.11,93.24,2,666.38,534.31
2012-10-12,609.11,603.7,613.96,598.51,-4.24,-0.7,322.65,655.58,614.77,573.96,63.11,55.77,77.79,2,667.98,535.59
2012-10-15,599.33,594.33,599.59,588.59,-9.37,-1.55,279.48,654.39,613.1,571.81,54.94,55.5,53.82,2,667.73,535.39
2012-10-16,591.19,597.39,599.66,588.75,3.06,0.52,424.15,651.88,611.26,570.63,51.51,54.17,46.2,2,668.18,535.75
2012-10-17,598.38,597.66,600.1,591.09,0.26,0.04,324.21,647.2,608.97,570.75,44.7,51.01,32.07,2,670.35,537.49
2012-10-18,598.38,606.28,606.95,597.71,8.63,1.44,418.5,637.91,606.47,575.03,46.25,49.42,39.89,2,672.2,538.97
2012-10-19,606.76,606.3,609.98,604.95,0.02,0.0,404.47,630.3,604.5,578.7,47.3,48.71,44.46,2,672.78,539.43
2012-10-22,604.53,609.61,610.97,601.64,3.31,0.55,436.54,626.76,603.5,580.25,51.08,49.5,54.23,2,673.16,539.74
2012-10-23,609.18,601.6,610.5,601.1,-8.01,-1.31,437.55,624.58,602.58,580.59,47.64,48.88,45.16,2,671.28,538.23
