time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,1016.14,1023.92,1023.92,1006.07,16.29,1.62,110.37,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,1016.37,1022.52,1026.62,1013.63,-1.4,-0.14,103.34,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,1023.96,1014.64,1029.7,1013.09,-7.88,-0.77,80.4,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,1012.45,1002.85,1013.16,995.92,-11.79,-1.16,86.04,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,1001.0,977.34,1005.82,971.42,-25.51,-2.54,87.39,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,968.9,955.73,970.11,950.31,-21.61,-2.21,82.07,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,959.58,965.69,966.32,948.9,9.96,1.04,56.41,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,968.18,972.43,976.85,961.41,6.74,0.7,53.76,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,968.46,937.16,968.46,934.23,-35.27,-3.63,68.94,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,930.4,882.31,930.4,881.12,-54.85,-5.85,89.54,0.0,0.0,0.0,0.0,0.0,0.0,2,1082.76,868.16
2011-01-18,881.61,886.49,890.37,871.62,4.18,0.47,53.73,0.0,0.0,0.0,0.0,0.0,0.0,2,1067.5,855.93
2011-01-19,885.81,912.13,912.13,883.55,25.64,2.89,60.45,0.0,0.0,0.0,0.0,0.0,0.0,2,1055.25,846.1
2011-01-20,911.32,898.71,916.21,892.16,-13.42,-1.47,76.18,0.0,0.0,0.0,0.0,0.0,0.0,2,1042.38,835.78
2011-01-21,896.88,909.68,909.68,887.46,10.97,1.22,80.8,0.0,0.0,0.0,0.0,0.0,0.0,2,1032.04,827.49
2011-01-24,910.94,875.16,915.43,872.67,-34.52,-3.79,82.78,0.0,0.0,0.0,0.0,0.0,0.0,2,1020.7,818.4
2011-01-25,869.96,853.4,871.86,845.85,-21.76,-2.49,62.76,0.0,0.0,0.0,0.0,0.0,0.0,2,1009.34,809.29
2011-01-26,847.87,867.03,867.55,847.36,13.63,1.6,60.64,0.0,0.0,0.0,13.56,14.54,11.61,2,998.39,800.51
2011-01-27,863.42,881.96,882.77,856.35,14.93,1.72,67.35,0.0,0.0,0.0,23.28,17.45,34.93,2,988.35,792.46
2011-01-28,885.09,897.65,902.14,882.12,15.69,1.78,70.64,0.0,0.0,0.0,40.06,24.99,70.2,2,983.96,788.94
2011-01-31,899.61,907.75,910.09,896.17,10.1,1.13,65.25,1040.25,932.23,824.2,56.03,35.34,97.42,2,986.79,791.21
2011-02-01,907.02,911.42,914.09,905.6,3.67,0.4,59.44,1026.34,926.6,826.86,68.42,46.36,112.53,2,989.55,793.43
2011-02-09,907.55,929.85,950.26,905.75,18.43,2.02,112.0,1011.55,921.97,832.39,72.43,55.05,107.18,2,991.52,795.0
2011-02-10,942.43,976.32,976.35,942.43,46.47,5.0,136.34,1003.02,920.05,837.09,81.61,63.91,117.03,2,1000.13,801.91
2011-02-11,984.55,972.38,984.55,963.85,-3.94,-0.4,124.16,996.31,918.53,840.74,84.82,70.88,112.7,2,1007.09,807.49
2011-02-14,973.43,981.3,982.65,967.7,8.92,0.92,118.66,997.13,918.73,840.33,89.09,76.95,113.37,2,1018.88,816.94
2011-02-15,980.38,983.02,987.98,976.85,1.72,0.18,137.79,1001.9,920.09,838.29,91.47,81.79,110.83,2,1033.26,828.47
2011-02-16,979.04,995.94,995.94,976.9,12.92,1.31,136.03,1007.73,921.6,835.48,94.31,85.96,111.01,0,1047.57,839.95
2011-02-17,996.97,998.37,1000.19,984.17,2.43,0.24,130.43,1012.75,922.9,833.05,95.63,89.18,108.51,0,1060.49,850.31
2011-02-18,997.39,975.04,997.39,973.5,-23.33,-2.34,118.53,1017.32,924.8,832.27,88.22,88.86,86.94,2,1069.08,857.19
2011-02-21,969.94,998.05,998.05,969.86,23.01,2.36,129.1,1026.18,930.58,834.98,91.39,89.71,94.76,2,1079.11,865.23
2011-02-22,1000.59,1001.33,1019.55,986.33,3.28,0.33,208.49,1034.41,936.32,838.24,86.39,88.6,81.96,2,1089.09,873.23
2011-02-23,1003.63,994.69,1011.54,983.4,-6.64,-0.66,150.6,1041.03,940.45,839.87,76.05,84.41,59.31,2,1096.28,879.0
2011-02-24,989.56,987.57,990.18,974.52,-7.12,-0.72,143.36,1045.56,944.9,844.23,63.47,77.43,35.55,2,1097.53,880.0
2011-02-25,985.53,994.38,994.38,973.5,6.81,0.69,114.23,1050.63,949.13,847.63,58.76,71.21,33.87,2,1099.98,881.96
2011-02-28,996.8,1000.8,1001.51,992.91,6.42,0.65,129.2,1053.31,955.41,857.51,59.93,67.45,44.89,2,1102.14,883.7
2011-03-01,1001.3,996.25,1003.04,987.52,-4.55,-0.45,151.2,1049.92,962.55,875.19,57.66,64.19,44.6,2,1103.61,884.88
2011-03-02,991.01,981.54,991.01,968.82,-14.71,-1.48,117.24,1044.1,968.28,892.46,46.8,58.39,23.61,2,1102.01,883.59
2011-03-03,981.35,956.29,984.53,956.29,-25.25,-2.57,118.23,1037.05,972.0,906.94,31.2,49.33,-5.06,2,1097.34,879.85
2011-03-04,954.5,961.93,962.22,950.13,5.64,0.59,78.5,1030.94,975.21,919.49,26.46,41.7,-4.02,2,1095.88,878.68
2011-03-07,963.34,969.67,969.67,962.01,7.74,0.8,100.45,1024.81,978.31,931.8,28.25,37.22,10.31,2,1092.73,876.16
2011-03-08,970.42,978.74,980.65,970.3,9.07,0.94,176.69,1016.64,981.67,946.7,36.86,37.1,36.37,2,1090.23,874.15
2011-03-09,979.25,995.81,996.9,977.28,17.07,1.74,199.01,1011.09,984.97,958.85,53.35,42.52,75.02,2,1090.35,874.25
2011-03-10,994.54,986.49,997.97,986.23,-9.32,-0.94,140.24,1011.3,985.48,959.66,58.47,47.83,79.75,2,1090.23,874.15
2011-03-11,982.12,986.47,998.22,982.01,-0.02,0.0,134.54,1011.29,986.18,961.07,61.88,52.52,80.6,2,1089.35,873.45
2011-03-14,981.29,990.58,990.58,977.6,4.11,0.42,128.5,1011.72,986.65,961.57,69.29,58.11,91.65,2,1088.22,872.54
2011-03-15,987.95,981.07,988.41,959.0,-9.51,-0.96,156.95,1011.7,986.55,961.4,67.64,61.28,80.35,2,1086.53,871.18
2011-03-16,978.95,984.71,985.33,973.24,3.64,0.37,136.53,1010.77,985.99,961.21,69.06,63.88,79.43,2,1086.89,871.47
