time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,3808.99,3845.43,3849.01,3788.63,67.92,1.8,3167.46,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,3824.02,3837.93,3858.11,3807.68,-7.5,-0.2,3061.45,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,3843.22,3813.66,3867.49,3804.67,-24.27,-0.63,2062.27,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,3807.74,3811.24,3857.73,3786.84,-2.42,-0.06,2835.34,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,3812.23,3736.28,3825.31,3727.58,-74.96,-1.97,2565.28,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,3720.24,3750.7,3762.48,3703.92,14.42,0.39,2061.45,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,3761.41,3755.75,3777.06,3708.97,5.05,0.13,2092.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,3769.98,3759.77,3775.37,3739.78,4.02,0.11,1934.43,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,3748.93,3705.66,3748.93,3692.13,-54.11,-1.44,1996.19,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,3670.79,3566.29,3683.34,3557.2,-139.37,-3.76,2446.34,0.0,0.0,0.0,0.0,0.0,0.0,2,4171.68,3344.86
2011-01-18,3554.92,3576.3,3584.14,3531.78,10.01,0.28,1598.08,0.0,0.0,0.0,0.0,0.0,0.0,2,4141.81,3320.91
2011-01-19,3578.32,3663.44,3664.14,3567.47,87.14,2.44,2130.39,0.0,0.0,0.0,0.0,0.0,0.0,2,4122.44,3305.38
2011-01-20,3656.71,3551.36,3656.71,3549.77,-112.08,-3.06,2351.48,0.0,0.0,0.0,0.0,0.0,0.0,2,4093.32,3282.03
2011-01-21,3539.87,3584.24,3642.79,3538.94,32.88,0.93,2520.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4068.13,3261.83
2011-01-24,3586.34,3543.79,3604.48,3528.79,-40.45,-1.13,2318.11,0.0,0.0,0.0,0.0,0.0,0.0,2,4046.76,3244.7
