time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-06-29,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-02,0.0,1020.19,0.0,0.0,1020.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-03,0.0,1027.9,0.0,0.0,1027.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-04,0.0,1020.81,0.0,0.0,1020.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-05,0.0,1000.98,0.0,0.0,1000.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-06,0.0,1016.84,0.0,0.0,1016.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-09,0.0,993.62,0.0,0.0,993.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-10,0.0,976.57,0.0,0.0,976.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-11,0.0,982.93,0.0,0.0,982.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-07-12,0.0,1000.11,0.0,0.0,1000.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1114.43,893.56
2012-07-13,0.0,985.69,0.0,0.0,985.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1112.85,892.28
2012-07-16,0.0,938.91,0.0,0.0,938.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1103.82,885.05
2012-07-17,0.0,944.83,0.0,0.0,944.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1094.6,877.65
2012-07-18,0.0,952.38,0.0,0.0,952.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1087.01,871.56
2012-07-19,0.0,963.09,0.0,0.0,963.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1082.8,868.19
2012-07-20,0.0,959.41,0.0,0.0,959.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1076.43,863.08
2012-07-23,0.0,954.59,0.0,0.0,954.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1072.09,859.61
2012-07-24,0.0,960.74,0.0,0.0,960.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1070.34,858.2
2012-07-25,0.0,961.95,0.0,0.0,961.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1068.01,856.33
2012-07-26,0.0,956.84,0.0,0.0,956.84,0.0,0.0,1035.09,980.92,926.74,0.0,0.0,0.0,2,1063.21,852.48
2012-07-27,0.0,953.99,0.0,0.0,953.99,0.0,0.0,1033.26,978.62,923.97,0.0,0.0,0.0,2,1059.69,849.66
2012-07-30,0.0,931.95,0.0,0.0,931.95,0.0,0.0,1028.96,974.21,919.45,0.0,0.0,0.0,2,1058.91,849.04
2012-07-31,0.0,913.51,0.0,0.0,913.51,0.0,0.0,1023.51,968.49,913.46,0.0,0.0,0.0,2,1055.44,846.25
2012-08-01,0.0,930.61,0.0,0.0,930.61,0.0,0.0,1015.8,963.98,912.15,0.0,0.0,0.0,2,1053.02,844.31
2012-08-02,0.0,933.3,0.0,0.0,933.3,0.0,0.0,1011.13,960.59,910.05,0.0,0.0,0.0,2,1049.71,841.66
2012-08-03,0.0,960.23,0.0,0.0,960.23,0.0,0.0,1001.23,957.76,914.3,0.0,0.0,0.0,2,1049.81,841.74
2012-08-06,0.0,985.25,0.0,0.0,985.25,0.0,0.0,999.56,957.34,915.12,0.0,0.0,0.0,2,1053.21,844.46
2012-08-07,0.0,992.68,0.0,0.0,992.68,0.0,0.0,1002.37,958.15,913.92,0.0,0.0,0.0,2,1056.75,847.31
2012-08-08,0.0,984.89,0.0,0.0,984.89,0.0,0.0,1002.7,958.25,913.8,0.0,0.0,0.0,2,1059.3,849.35
2012-08-09,0.0,1003.77,0.0,0.0,1003.77,0.0,0.0,1003.59,958.43,913.27,0.0,0.0,0.0,2,1064.51,853.53
2012-08-10,0.0,1003.76,0.0,0.0,1003.76,0.0,0.0,1007.28,959.33,911.39,0.0,0.0,0.0,2,1070.03,857.96
2012-08-13,0.0,984.37,0.0,0.0,984.37,0.0,0.0,1009.77,961.61,913.44,0.0,0.0,0.0,2,1075.85,862.62
2012-08-14,0.0,996.27,0.0,0.0,996.27,0.0,0.0,1013.96,964.18,914.4,0.0,0.0,0.0,2,1085.04,869.99
2012-08-15,0.0,985.99,0.0,0.0,985.99,0.0,0.0,1016.2,965.86,915.52,0.0,0.0,0.0,2,1091.19,874.92
2012-08-16,0.0,976.7,0.0,0.0,976.7,0.0,0.0,1017.08,966.54,916.0,0.0,0.0,0.0,2,1096.0,878.78
2012-08-17,0.0,975.42,0.0,0.0,975.42,0.0,0.0,1017.91,967.34,916.78,0.0,0.0,0.0,2,1097.69,880.13
2012-08-20,0.0,988.66,0.0,0.0,988.66,0.0,0.0,1020.07,969.04,918.02,0.0,0.0,0.0,2,1098.07,880.43
2012-08-21,0.0,1013.96,0.0,0.0,1013.96,0.0,0.0,1026.16,971.7,917.25,0.0,0.0,0.0,2,1100.43,882.33
2012-08-22,0.0,1012.68,0.0,0.0,1012.68,0.0,0.0,1031.3,974.24,917.18,0.0,0.0,0.0,2,1103.52,884.8
2012-08-23,0.0,1020.48,0.0,0.0,1020.48,0.0,0.0,1037.28,977.42,917.57,0.0,0.0,0.0,2,1105.37,886.29
2012-08-24,0.0,996.51,0.0,0.0,996.51,0.0,0.0,1038.94,979.55,920.16,0.0,0.0,0.0,2,1104.57,885.64
2012-08-27,0.0,979.74,0.0,0.0,979.74,0.0,0.0,1037.18,981.94,926.7,0.0,0.0,0.0,2,1104.05,885.23
2012-08-28,0.0,990.33,0.0,0.0,990.33,0.0,0.0,1031.28,985.78,940.28,0.0,0.0,0.0,2,1103.39,884.7
2012-08-29,0.0,992.1,0.0,0.0,992.1,0.0,0.0,1026.69,988.85,951.02,0.0,0.0,0.0,2,1104.07,885.25
2012-08-30,0.0,961.15,0.0,0.0,961.15,0.0,0.0,1021.23,990.25,959.26,0.0,0.0,0.0,2,1102.34,883.86
2012-08-31,0.0,966.56,0.0,0.0,966.56,0.0,0.0,1020.42,990.56,960.7,0.0,0.0,0.0,2,1101.36,883.07
2012-09-03,0.0,989.15,0.0,0.0,989.15,0.0,0.0,1020.53,990.76,960.99,0.0,0.0,0.0,2,1101.42,883.12
