time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-03-30,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-04-05,999.81,1025.48,1025.48,996.57,25.48,2.55,74.59,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-04-06,1024.09,1025.16,1031.75,1017.08,-0.32,-0.03,60.61,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-04-09,1019.79,1005.51,1022.52,1005.51,-19.65,-1.92,50.88,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-04-10,998.93,1013.71,1013.71,982.09,8.2,0.82,55.73,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-04-11,999.25,1016.78,1021.32,999.25,3.07,0.3,52.51,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-04-12,1021.93,1041.96,1042.13,1020.77,25.18,2.48,71.19,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-04-13,1049.79,1052.17,1057.51,1045.2,10.21,0.98,83.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-04-16,1042.06,1047.47,1053.27,1040.92,-4.7,-0.45,60.06,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-04-17,1043.8,1034.3,1048.75,1032.14,-13.17,-1.26,59.88,0.0,0.0,0.0,0.0,0.0,0.0,2,1139.14,913.37
2012-04-18,1040.18,1058.76,1059.09,1038.39,24.46,2.36,78.61,0.0,0.0,0.0,0.0,0.0,0.0,2,1145.66,918.6
2012-04-19,1061.72,1060.25,1066.66,1056.04,1.49,0.14,69.88,0.0,0.0,0.0,0.0,0.0,0.0,2,1149.52,921.69
2012-04-20,1058.19,1065.4,1065.42,1055.6,5.15,0.49,62.81,0.0,0.0,0.0,0.0,0.0,0.0,2,1153.99,925.27
2012-04-23,1056.16,1008.24,1056.16,1006.02,-57.16,-5.37,127.57,0.0,0.0,0.0,0.0,0.0,0.0,2,1154.29,925.51
2012-04-24,989.72,993.4,1008.58,968.19,-14.84,-1.47,94.08,0.0,0.0,0.0,0.0,0.0,0.0,2,1152.04,923.71
2012-04-25,991.7,998.13,1001.2,987.36,4.73,0.48,64.42,0.0,0.0,0.0,0.0,0.0,0.0,2,1149.97,922.05
2012-04-26,1000.38,991.04,1003.45,985.15,-7.09,-0.71,62.38,0.0,0.0,0.0,37.73,58.47,-3.77,2,1144.32,917.52
2012-04-27,987.74,997.54,1002.91,983.81,6.5,0.66,54.84,0.0,0.0,0.0,35.09,50.68,3.9,2,1138.25,912.65
2012-05-02,1011.52,1010.09,1013.28,1000.71,12.55,1.26,65.67,0.0,0.0,0.0,37.57,46.31,20.1,2,1134.1,909.33
2012-05-03,1010.63,1019.44,1019.44,1005.51,9.35,0.93,59.26,1070.0,1023.24,976.48,42.4,45.01,37.18,2,1132.45,908.0
2012-05-04,1019.67,1035.92,1036.03,1019.67,16.48,1.62,68.05,1070.84,1025.04,979.24,51.49,47.17,60.12,2,1129.92,905.97
2012-05-07,1033.42,1059.45,1059.45,1033.42,23.53,2.27,83.27,1074.93,1026.74,978.54,67.66,54.0,94.98,2,1129.83,905.9
2012-05-08,1060.08,1059.62,1065.64,1052.68,0.17,0.02,80.81,1078.73,1028.46,978.19,76.38,61.46,106.22,2,1129.19,905.39
2012-05-09,1049.49,1037.63,1051.08,1037.22,-21.99,-2.08,70.15,1079.34,1030.06,980.79,72.84,65.25,88.02,2,1132.45,908.0
2012-05-10,1041.18,1046.24,1053.53,1041.18,8.61,0.83,63.71,1080.85,1031.69,982.54,73.99,68.17,85.65,2,1138.32,912.7
2012-05-11,1045.14,1035.3,1049.77,1035.3,-10.94,-1.05,63.69,1081.31,1032.62,983.93,70.3,68.88,73.15,2,1142.44,916.01
2012-05-14,1043.12,1029.02,1043.59,1028.33,-6.28,-0.61,65.8,1080.49,1031.97,983.45,61.4,66.39,51.43,2,1146.66,919.39
2012-05-15,1017.42,1027.8,1028.08,1013.55,-1.22,-0.12,56.54,1078.4,1030.75,983.1,53.29,62.02,35.83,2,1150.02,922.09
2012-05-16,1027.2,1017.8,1034.54,1017.69,-10.0,-0.97,53.94,1076.59,1029.27,981.95,38.25,54.1,6.55,2,1150.87,922.77
2012-05-17,1019.78,1028.29,1031.23,1012.66,10.49,1.03,47.95,1076.23,1028.97,981.7,35.33,47.84,10.31,2,1151.85,923.56
2012-05-18,1018.8,1016.06,1032.78,1014.08,-12.23,-1.19,70.09,1072.35,1026.83,981.32,25.69,40.46,-3.84,2,1149.65,921.79
2012-05-21,1017.53,1017.16,1022.63,1009.19,1.1,0.11,54.57,1067.67,1024.68,981.69,23.12,34.68,0.0,2,1144.96,918.03
2012-05-22,1024.18,1027.64,1027.93,1020.48,10.48,1.03,53.13,1061.57,1022.79,984.01,29.28,32.88,22.09,2,1141.41,915.18
2012-05-23,1024.72,1022.78,1030.99,1010.5,-4.86,-0.47,55.83,1061.72,1023.52,985.31,30.69,32.15,27.76,2,1139.76,913.86
2012-05-24,1018.47,1017.55,1028.19,1015.61,-5.23,-0.51,59.43,1060.5,1024.72,988.95,28.56,30.95,23.77,2,1136.57,911.31
2012-05-25,1020.51,1008.7,1026.81,1004.4,-8.85,-0.87,60.47,1059.73,1025.25,990.78,23.79,28.57,14.25,2,1133.62,908.94
2012-05-28,1001.72,1015.29,1016.17,986.15,6.59,0.65,62.19,1057.58,1026.47,995.35,35.94,31.02,45.76,2,1132.1,907.72
2012-05-29,1013.18,1035.37,1036.99,1012.17,20.08,1.98,90.18,1056.68,1028.36,1000.03,56.23,39.42,89.84,2,1132.94,908.39
2012-05-30,1034.7,1048.75,1051.81,1034.7,13.38,1.29,104.48,1058.64,1030.29,1001.94,69.27,49.37,109.05,2,1136.37,911.15
2012-05-31,1041.32,1062.84,1069.21,1041.32,14.09,1.34,101.51,1063.66,1032.46,1001.26,76.95,58.57,113.73,2,1140.21,914.22
2012-06-01,1063.15,1059.8,1067.14,1053.66,-3.04,-0.29,91.09,1067.04,1033.65,1000.27,80.86,66.0,110.58,2,1145.06,918.11
2012-06-04,1034.79,1029.88,1053.7,1029.88,-29.92,-2.82,100.8,1063.41,1032.18,1000.94,71.46,67.82,78.73,2,1146.47,919.25
2012-06-05,1035.42,1025.71,1035.56,1022.84,-4.17,-0.4,65.31,1059.15,1030.48,1001.81,63.51,66.38,57.78,2,1146.26,919.07
2012-06-06,1031.15,1024.43,1034.47,1019.23,-1.28,-0.12,55.39,1058.41,1029.82,1001.23,57.7,63.49,46.13,2,1146.44,919.22
2012-06-07,1036.78,1016.61,1036.78,1014.27,-7.82,-0.76,61.25,1056.44,1028.34,1000.24,50.69,59.22,33.63,2,1146.34,919.14
2012-06-08,1024.59,1017.25,1027.03,1012.98,0.64,0.06,76.29,1055.74,1027.44,999.13,36.76,51.74,6.82,2,1147.29,919.9
2012-06-11,1018.86,1041.98,1041.98,1017.48,24.73,2.43,90.14,1057.09,1028.08,999.08,41.7,48.39,28.32,2,1150.25,922.27
2012-06-12,1038.63,1044.63,1049.71,1038.4,2.65,0.25,89.87,1058.81,1028.93,999.04,46.56,47.78,44.12,2,1151.28,923.1
2012-06-13,1049.98,1059.73,1059.73,1047.66,15.1,1.45,96.46,1063.28,1031.02,998.76,59.81,51.79,75.86,2,1152.5,924.07
2012-06-14,1057.4,1051.46,1061.59,1050.58,-8.27,-0.78,119.12,1065.61,1032.18,998.75,66.26,56.62,85.56,2,1151.23,923.06
2012-06-15,1056.49,1056.51,1061.82,1044.37,5.05,0.48,128.43,1068.37,1034.2,1000.04,73.88,62.37,96.91,2,1150.87,922.77
2012-06-18,1063.55,1072.43,1074.38,1060.91,15.92,1.51,124.86,1073.99,1036.97,999.94,81.53,68.76,107.08,2,1155.59,926.56
2012-06-19,1069.36,1069.95,1073.26,1065.89,-2.48,-0.23,137.82,1078.49,1039.08,999.67,85.28,74.27,107.31,2,1160.5,930.49
2012-06-20,1069.55,1070.0,1076.44,1066.16,0.05,0.0,109.61,1082.3,1041.44,1000.59,86.81,78.45,103.52,2,1165.56,934.55
2012-06-21,1067.01,1054.84,1067.17,1044.19,-15.16,-1.42,108.78,1083.02,1043.31,1003.6,78.99,78.63,79.72,2,1169.8,937.95
2012-06-25,1050.2,1024.94,1050.2,1024.91,-29.9,-2.83,87.68,1081.57,1044.12,1006.67,52.68,69.98,18.08,2,1170.66,938.64
2012-06-26,1017.06,1021.61,1025.06,1004.64,-3.33,-0.32,79.86,1081.0,1044.44,1007.87,43.0,60.99,7.03,2,1168.4,936.82
2012-06-27,1020.97,1025.53,1041.3,1020.48,3.92,0.38,102.98,1081.24,1043.94,1006.65,38.36,53.45,8.2,2,1166.28,935.12
2012-06-28,1027.89,1017.23,1032.55,1016.64,-8.3,-0.81,89.94,1081.34,1042.37,1003.39,31.42,46.1,2.06,2,1161.56,931.34
2012-06-29,1011.69,1034.79,1034.79,1007.58,17.56,1.73,91.0,1078.9,1040.97,1003.03,34.94,42.38,20.07,2,1159.71,929.86
2012-07-02,1040.61,1051.75,1057.22,1039.82,16.96,1.64,109.48,1077.85,1040.56,1003.27,45.17,43.31,48.88,2,1159.18,929.43
2012-07-03,1051.04,1056.38,1064.95,1046.92,4.63,0.44,124.45,1079.45,1041.89,1004.33,54.13,46.92,68.56,2,1157.4,928.0
2012-07-04,1056.13,1047.93,1057.71,1043.59,-8.45,-0.8,92.12,1079.89,1043.0,1006.11,59.16,51.0,75.49,2,1154.96,926.04
2012-07-05,1041.6,1020.61,1041.6,1016.74,-27.32,-2.61,85.68,1080.12,1042.81,1005.5,48.27,50.09,44.63,2,1149.47,921.65
2012-07-06,1027.24,1033.27,1033.54,1003.7,12.66,1.24,112.96,1079.28,1043.64,1008.0,48.27,49.48,45.85,2,1147.08,919.73
2012-07-09,1029.19,1013.38,1034.06,1012.1,-19.89,-1.92,127.49,1079.69,1043.45,1007.2,37.45,45.47,21.4,2,1145.8,918.7
2012-07-10,1004.69,997.86,1008.71,994.35,-15.52,-1.53,79.66,1082.59,1041.24,999.9,26.62,39.19,1.49,2,1143.16,916.59
2012-07-11,994.95,1007.86,1007.86,992.63,10.0,1.0,69.21,1083.18,1039.4,995.62,24.77,34.38,5.54,2,1141.2,915.01
2012-07-12,1004.99,1024.17,1026.16,1001.6,16.31,1.62,96.13,1080.84,1037.62,994.41,31.05,33.27,26.61,2,1141.97,915.63
2012-07-13,1018.52,1015.43,1028.78,1014.76,-8.74,-0.85,106.07,1079.58,1035.82,992.06,31.21,32.58,28.46,2,1139.82,913.91
2012-07-16,1013.62,968.51,1013.62,968.03,-46.92,-4.62,136.36,1082.98,1031.42,979.87,20.98,28.72,5.52,2,1130.58,906.5
2012-07-17,959.5,973.51,973.86,958.12,5.0,0.52,93.25,1080.28,1026.48,972.67,20.13,25.86,8.69,2,1121.38,899.13
2012-07-18,971.63,981.41,981.41,961.04,7.9,0.81,95.48,1075.39,1022.05,968.72,23.65,25.12,20.7,2,1114.0,893.2
