time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-09-26,733.38,717.91,737.06,716.95,-16.53,-2.25,291.57,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-27,717.19,737.15,741.98,717.11,19.25,2.68,375.56,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-28,733.68,753.57,754.11,731.68,16.42,2.23,424.72,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-10-08,753.46,749.68,757.57,745.62,-3.89,-0.52,306.57,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-10-09,751.12,770.47,770.53,751.12,20.78,2.77,467.49,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-10-10,768.22,779.62,781.38,765.78,9.16,1.19,581.04,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-10-11,778.3,767.96,781.06,767.85,-11.66,-1.5,636.24,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-10-12,768.19,766.83,776.67,758.7,-1.13,-0.15,480.21,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-10-15,765.52,760.34,765.62,753.52,-6.49,-0.85,335.05,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-10-16,759.45,762.12,768.13,756.93,1.78,0.23,324.68,0.0,0.0,0.0,0.0,0.0,0.0,2,839.79,673.34
2012-10-17,763.61,765.32,768.17,756.73,3.2,0.42,370.29,0.0,0.0,0.0,0.0,0.0,0.0,2,845.05,677.56
2012-10-18,766.32,780.9,783.19,765.77,15.58,2.04,602.11,0.0,0.0,0.0,0.0,0.0,0.0,2,849.91,681.46
2012-10-19,780.33,777.08,782.1,775.93,-3.82,-0.49,401.11,0.0,0.0,0.0,0.0,0.0,0.0,2,852.52,683.55
2012-10-22,773.45,781.17,782.76,771.48,4.08,0.53,389.24,0.0,0.0,0.0,0.0,0.0,0.0,2,856.01,686.35
2012-10-23,781.11,774.29,784.08,773.71,-6.87,-0.88,438.49,0.0,0.0,0.0,0.0,0.0,0.0,2,856.43,686.69
2012-10-24,769.97,775.48,778.45,768.65,1.19,0.15,487.51,0.0,0.0,0.0,0.0,0.0,0.0,2,855.98,686.32
2012-10-25,774.97,765.49,780.27,765.28,-10.0,-1.29,537.78,0.0,0.0,0.0,63.31,74.7,40.51,2,855.7,686.1
2012-10-26,764.91,748.46,765.79,744.05,-17.03,-2.22,538.62,0.0,0.0,0.0,45.88,65.09,7.44,2,853.66,684.47
2012-10-29,746.27,753.06,755.1,744.95,4.6,0.61,479.17,0.0,0.0,0.0,38.09,56.09,2.08,2,852.85,683.82
2012-10-30,753.14,753.66,761.48,752.46,0.6,0.08,546.23,793.23,762.03,730.82,33.39,48.53,3.13,2,851.92,683.07
2012-10-31,752.56,755.87,756.04,749.56,2.21,0.29,504.52,787.96,763.93,739.89,32.11,43.05,10.21,2,850.87,682.23
2012-11-01,755.42,771.1,772.83,755.23,15.23,2.02,603.44,786.43,765.62,744.81,43.93,43.34,45.1,2,849.78,681.35
2012-11-02,771.54,774.95,775.47,766.99,3.85,0.5,594.05,787.11,766.69,746.28,55.02,47.24,70.58,2,849.54,681.16
2012-11-05,773.07,773.33,775.86,768.08,-1.62,-0.21,452.76,786.91,767.88,748.84,63.62,52.7,85.48,2,848.67,680.47
2012-11-06,772.79,765.54,772.79,755.71,-7.79,-1.01,476.16,786.65,767.63,748.61,62.19,55.86,74.85,2,847.7,679.69
2012-11-07,764.8,764.53,768.53,760.97,-1.02,-0.13,404.56,785.11,766.87,748.64,62.92,58.22,72.34,2,846.48,678.71
2012-11-08,758.81,747.3,759.94,747.3,-17.22,-2.25,479.17,785.96,765.84,745.72,44.48,53.64,26.17,2,844.47,677.09
2012-11-09,745.83,746.62,752.36,744.18,-0.69,-0.09,366.29,786.61,764.83,743.05,32.22,46.5,3.67,2,844.26,676.93
2012-11-12,746.43,750.82,752.05,744.75,4.21,0.56,383.05,786.91,764.35,741.8,28.47,40.49,4.43,2,844.01,676.73
2012-11-13,750.11,731.64,750.27,730.19,-19.19,-2.56,413.15,789.52,762.83,736.14,20.04,33.67,-7.23,2,841.57,674.77
2012-11-14,731.62,731.94,734.41,724.68,0.3,0.04,338.58,791.01,761.16,731.31,18.09,28.48,-2.69,2,838.91,672.64
2012-11-15,729.0,719.2,732.88,718.09,-12.74,-1.74,342.96,791.65,758.08,724.51,12.7,23.22,-8.34,2,833.15,668.02
2012-11-16,717.18,715.86,717.67,710.16,-3.34,-0.46,308.87,792.08,755.02,717.95,11.5,19.31,-4.13,2,826.59,662.76
2012-11-19,715.35,720.52,721.01,710.01,4.66,0.65,319.82,789.91,751.98,714.06,13.65,17.43,6.11,1,820.73,658.06
2012-11-20,722.02,716.77,723.7,716.53,-3.75,-0.52,282.13,788.52,749.11,709.69,13.61,16.15,8.53,1,815.32,653.72
2012-11-21,717.23,726.57,726.58,709.59,9.8,1.37,385.83,785.29,746.66,708.03,22.31,18.21,30.52,2,811.1,650.34
2012-11-22,722.87,717.47,722.87,715.85,-9.09,-1.25,271.31,783.87,744.26,704.66,21.06,19.16,24.86,2,807.79,647.69
2012-11-23,717.72,718.36,723.48,716.83,0.89,0.12,228.6,783.87,742.76,701.64,21.23,19.85,23.98,2,804.66,645.17
2012-11-26,717.51,710.08,718.48,709.24,-8.28,-1.15,228.26,783.78,740.61,697.43,15.26,18.32,9.15,2,800.13,641.55
2012-11-27,709.02,684.18,709.02,684.09,-25.9,-3.65,310.75,786.31,737.13,687.96,10.24,15.62,-0.54,2,794.87,637.32
