time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-12-31,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-04,1005.52,984.35,1005.52,978.42,-15.65,-1.56,182.71,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-07,982.14,1001.2,1001.2,982.14,16.85,1.71,174.3,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-08,1002.26,1022.34,1022.34,1002.26,21.14,2.11,206.77,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-09,1017.82,1020.98,1025.82,1017.08,-1.36,-0.13,196.92,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-10,1023.63,1032.8,1034.42,1023.63,11.82,1.16,208.42,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-11,1034.53,1021.19,1038.4,1021.19,-11.61,-1.12,240.12,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-14,1024.84,1060.68,1060.68,1024.84,39.49,3.87,253.37,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-15,1068.34,1083.22,1083.58,1068.34,22.54,2.13,304.37,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-16,1079.1,1079.51,1085.54,1070.17,-3.71,-0.34,245.22,0.0,0.0,0.0,0.0,0.0,0.0,2,1144.0,917.26
2013-01-17,1077.33,1074.06,1079.31,1074.06,-5.45,-0.5,199.25,0.0,0.0,0.0,0.0,0.0,0.0,2,1152.22,923.85
2013-01-18,1084.24,1100.44,1100.44,1083.5,26.38,2.46,217.45,0.0,0.0,0.0,0.0,0.0,0.0,2,1165.1,934.18
2013-01-21,1103.42,1103.22,1103.82,1101.63,2.78,0.25,188.08,0.0,0.0,0.0,0.0,0.0,0.0,2,1176.43,943.26
2013-01-22,1101.29,1078.33,1101.29,1077.4,-24.89,-2.26,199.55,0.0,0.0,0.0,0.0,0.0,0.0,2,1182.64,948.24
2013-01-23,1073.67,1082.53,1083.27,1066.0,4.2,0.39,161.78,0.0,0.0,0.0,0.0,0.0,0.0,2,1189.47,953.72
2013-01-24,1083.53,1053.17,1088.09,1053.17,-29.36,-2.71,234.84,0.0,0.0,0.0,0.0,0.0,0.0,2,1191.73,955.54
2013-01-25,1052.52,1060.19,1062.28,1052.52,7.02,0.67,136.77,0.0,0.0,0.0,49.85,76.81,-4.08,2,1196.06,959.01
2013-01-28,1066.0,1092.1,1092.1,1066.0,31.91,3.01,163.29,0.0,0.0,0.0,58.95,70.86,35.14,2,1199.55,961.8
2013-01-29,1093.41,1102.17,1104.2,1093.41,10.07,0.92,171.09,0.0,0.0,0.0,71.32,71.01,71.95,2,1201.65,963.49
2013-01-30,1100.52,1088.42,1100.52,1084.54,-13.75,-1.25,184.57,1130.42,1057.04,983.67,70.7,70.91,70.29,2,1202.64,964.28
2013-01-31,1087.95,1077.55,1087.95,1073.09,-10.87,-1.0,180.81,1129.9,1060.92,991.95,63.28,68.37,53.11,2,1203.03,964.59
2013-02-01,1074.96,1086.09,1087.77,1074.96,8.54,0.79,150.16,1126.07,1066.01,1005.94,63.84,66.86,57.8,2,1201.44,963.32
