time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,777.16,782.15,783.92,774.06,2.82,0.36,327.48,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,781.73,804.82,805.9,780.54,22.68,2.9,442.74,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,805.6,796.03,807.36,795.42,-8.79,-1.09,378.21,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,794.34,799.95,801.58,791.31,3.91,0.49,349.68,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,801.27,807.17,807.93,800.8,7.22,0.9,373.28,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,812.92,837.92,845.78,812.92,30.75,3.81,747.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,840.8,840.99,844.05,836.31,3.07,0.37,660.93,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,837.02,837.44,837.44,829.21,-3.55,-0.42,495.83,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,841.05,840.65,844.86,831.39,3.22,0.38,459.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,840.78,828.31,842.99,827.99,-12.35,-1.47,479.15,0.0,0.0,0.0,0.0,0.0,0.0,2,907.47,727.61
2012-09-14,835.09,828.16,838.02,820.15,-0.14,-0.02,525.33,0.0,0.0,0.0,0.0,0.0,0.0,2,912.58,731.71
2012-09-17,825.89,809.39,828.51,809.39,-18.77,-2.27,536.06,0.0,0.0,0.0,0.0,0.0,0.0,2,913.09,732.11
2012-09-18,804.86,802.55,810.3,799.05,-6.84,-0.85,357.39,0.0,0.0,0.0,0.0,0.0,0.0,2,913.81,732.7
2012-09-19,803.17,805.26,805.76,796.71,2.71,0.34,335.01,0.0,0.0,0.0,0.0,0.0,0.0,2,914.4,733.17
2012-09-20,802.58,784.84,802.58,782.66,-20.41,-2.53,422.91,0.0,0.0,0.0,0.0,0.0,0.0,2,911.92,731.18
2012-09-21,780.44,776.57,786.66,774.76,-8.27,-1.05,387.65,0.0,0.0,0.0,0.0,0.0,0.0,2,905.11,725.72
2012-09-24,770.81,782.22,786.68,764.63,5.65,0.73,340.45,0.0,0.0,0.0,20.96,33.63,-4.37,2,898.59,720.49
2012-09-25,781.6,779.32,789.64,777.55,-2.9,-0.37,311.32,0.0,0.0,0.0,20.22,29.16,2.35,1,892.14,715.32
2012-09-26,778.28,760.0,780.85,758.8,-19.32,-2.48,274.76,0.0,0.0,0.0,13.99,24.1,-6.24,1,883.18,708.14
2012-09-27,758.4,778.95,784.5,758.27,18.95,2.49,358.49,852.14,804.13,756.13,19.14,22.45,12.52,2,877.71,703.75
2012-09-28,775.03,797.94,798.24,774.63,18.99,2.44,379.28,851.97,804.92,757.88,38.17,27.69,59.14,2,874.35,701.06
2012-10-08,798.02,793.24,803.54,789.22,-4.7,-0.59,275.38,851.66,804.34,757.03,49.99,35.13,79.73,2,872.56,699.62
2012-10-09,795.35,815.31,815.83,795.35,22.08,2.78,446.34,852.69,805.31,757.92,66.36,45.54,108.01,2,873.98,700.75
2012-10-10,813.48,825.7,826.18,811.18,10.38,1.27,451.02,854.72,806.6,758.47,77.34,56.14,119.74,2,876.24,702.57
2012-10-11,822.92,816.4,830.17,816.1,-9.3,-1.13,497.51,855.37,807.06,758.74,78.51,63.6,108.34,2,879.75,705.38
2012-10-12,818.08,811.22,825.6,803.81,-5.18,-0.63,415.74,851.99,805.72,759.46,76.89,68.03,94.61,2,883.59,708.47
2012-10-15,809.81,802.18,810.84,795.39,-9.05,-1.12,478.78,847.13,803.78,760.44,71.62,69.22,76.4,2,885.81,710.24
2012-10-16,801.59,809.12,814.15,799.98,6.94,0.87,413.04,842.99,802.37,761.75,71.32,69.92,74.11,2,889.12,712.9
2012-10-17,811.24,811.51,812.88,803.07,2.39,0.3,359.12,837.86,800.91,763.96,69.68,69.84,69.36,2,894.83,717.48
2012-10-18,812.82,827.12,827.55,812.65,15.61,1.92,459.13,837.63,800.85,764.07,77.3,72.33,87.25,2,900.18,721.77
2012-10-19,828.89,827.22,831.6,824.53,0.11,0.01,445.12,837.44,800.8,764.17,80.84,75.17,92.19,2,903.43,724.37
2012-10-22,823.41,828.81,829.78,820.3,1.59,0.19,390.66,840.25,801.77,763.29,84.66,78.33,97.32,2,907.38,727.54
2012-10-23,828.52,813.99,828.71,812.93,-14.83,-1.79,437.38,841.19,802.35,763.5,73.56,76.74,67.2,2,907.23,727.42
2012-10-24,809.28,811.41,816.53,807.66,-2.58,-0.32,369.86,841.69,802.65,763.62,63.79,72.42,46.52,2,905.65,726.15
