time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,0.0,1197.0,0.0,0.0,1197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,0.0,1197.07,0.0,0.0,1197.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,0.0,1176.01,0.0,0.0,1176.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,0.0,1168.64,0.0,0.0,1168.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,0.0,1132.66,0.0,0.0,1132.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,0.0,1118.06,0.0,0.0,1118.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,0.0,1129.29,0.0,0.0,1129.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,0.0,1131.28,0.0,0.0,1131.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,0.0,1103.45,0.0,0.0,1103.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,0.0,1065.65,0.0,0.0,1065.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1267.52,1016.3
2011-01-18,0.0,1064.1,0.0,0.0,1064.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1252.77,1004.47
2011-01-19,0.0,1086.92,0.0,0.0,1086.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1240.54,994.67
2011-01-20,0.0,1055.51,0.0,0.0,1055.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1227.17,983.94
2011-01-21,0.0,1061.06,0.0,0.0,1061.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1215.23,974.37
2011-01-24,0.0,1028.91,0.0,0.0,1028.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1203.71,965.14
