time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,1143.36,1156.31,1156.72,1141.23,17.46,1.53,106.33,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,1155.11,1156.55,1160.33,1147.58,0.24,0.02,106.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,1154.84,1135.98,1160.61,1135.27,-20.57,-1.78,104.85,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,1133.91,1127.69,1140.97,1120.78,-8.29,-0.73,96.8,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,1125.51,1094.91,1125.51,1090.19,-32.78,-2.91,95.29,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,1091.12,1079.49,1091.12,1069.51,-15.42,-1.41,86.59,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,1084.25,1090.81,1096.66,1072.2,11.32,1.05,84.6,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,1095.97,1095.0,1098.24,1090.81,4.19,0.38,81.04,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,1093.23,1068.53,1093.23,1066.86,-26.47,-2.42,77.63,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,1067.55,1029.23,1068.1,1026.73,-39.3,-3.68,105.54,0.0,0.0,0.0,0.0,0.0,0.0,2,1224.83,982.07
2011-01-18,1022.9,1026.79,1030.94,1015.69,-2.44,-0.24,62.17,0.0,0.0,0.0,0.0,0.0,0.0,2,1210.45,970.54
2011-01-19,1027.0,1049.63,1049.69,1024.21,22.84,2.22,70.62,0.0,0.0,0.0,0.0,0.0,0.0,2,1198.58,961.03
2011-01-20,1048.86,1021.45,1052.61,1021.35,-28.18,-2.68,86.94,0.0,0.0,0.0,0.0,0.0,0.0,2,1185.87,950.83
2011-01-21,1015.77,1025.57,1034.6,1014.33,4.12,0.4,78.92,0.0,0.0,0.0,0.0,0.0,0.0,1,1174.54,941.75
2011-01-24,1025.86,996.01,1030.4,995.3,-29.56,-2.88,84.83,0.0,0.0,0.0,0.0,0.0,0.0,1,1163.56,932.94
2011-01-25,993.61,980.02,993.61,969.33,-15.99,-1.61,73.73,0.0,0.0,0.0,0.0,0.0,0.0,1,1152.52,924.09
2011-01-26,979.09,996.78,996.82,978.87,16.76,1.71,57.63,0.0,0.0,0.0,12.38,9.19,18.75,1,1142.08,915.72
2011-01-27,992.09,1014.08,1016.1,985.82,17.3,1.74,70.84,0.0,0.0,0.0,23.35,13.91,42.24,1,1133.1,908.52
2011-01-28,1014.7,1022.0,1024.7,1012.36,7.92,0.78,59.57,0.0,0.0,0.0,36.65,21.49,66.97,2,1127.93,904.38
2011-01-31,1022.69,1030.19,1031.26,1015.45,8.19,0.8,72.28,1166.21,1059.85,953.5,48.79,30.59,85.19,2,1128.04,904.46
2011-02-01,1030.74,1033.68,1035.22,1027.97,3.49,0.34,59.11,1150.86,1053.72,956.58,58.29,39.82,95.21,2,1128.8,905.08
2011-02-09,1027.52,1026.22,1038.92,1022.85,-7.46,-0.72,63.03,1132.66,1047.2,961.74,66.11,48.58,101.15,2,1126.21,902.99
2011-02-10,1027.32,1065.06,1065.06,1025.78,38.84,3.78,100.07,1119.42,1043.66,967.89,77.4,58.19,115.83,2,1131.05,906.88
2011-02-11,1068.3,1072.7,1076.71,1066.26,7.64,0.72,101.75,1107.74,1040.91,974.07,83.69,66.69,117.69,2,1136.28,911.07
2011-02-14,1073.43,1087.69,1088.44,1073.43,14.99,1.4,119.35,1106.28,1040.55,974.81,88.9,74.09,118.51,2,1146.45,919.23
2011-02-15,1087.93,1088.86,1098.7,1083.39,1.17,0.11,118.46,1107.97,1041.02,974.06,89.69,79.29,110.49,2,1158.54,928.92
2011-02-16,1087.9,1108.39,1108.39,1084.98,19.53,1.79,124.44,1111.84,1041.89,971.95,93.13,83.91,111.58,0,1170.92,938.85
2011-02-17,1109.78,1116.5,1118.13,1105.04,8.11,0.73,131.96,1116.7,1042.97,969.23,94.89,87.57,109.54,0,1182.29,947.96
2011-02-18,1115.61,1101.61,1115.85,1099.73,-14.89,-1.33,129.65,1121.97,1044.62,967.27,90.81,88.65,95.14,0,1191.13,955.05
2011-02-21,1097.31,1118.84,1118.84,1095.57,17.23,1.56,142.05,1132.51,1049.1,965.7,93.88,90.39,100.84,0,1200.97,962.94
2011-02-22,1119.78,1089.4,1123.35,1088.14,-29.44,-2.63,139.73,1136.75,1052.23,967.72,84.32,88.37,76.22,2,1207.15,967.9
2011-02-23,1089.21,1115.21,1118.45,1089.0,25.81,2.37,128.18,1144.35,1055.51,966.68,84.79,87.18,80.03,2,1217.03,975.82
2011-02-24,1113.59,1103.1,1113.88,1095.76,-12.11,-1.09,131.93,1149.29,1059.6,969.9,76.34,83.56,61.89,2,1221.26,979.2
2011-02-25,1099.26,1096.24,1099.87,1086.93,-6.86,-0.62,119.41,1152.76,1063.13,973.5,61.61,76.25,32.34,2,1223.87,981.3
2011-02-28,1097.48,1100.92,1100.92,1088.72,4.68,0.43,113.93,1153.86,1068.37,982.89,54.92,69.14,26.49,2,1225.34,982.48
2011-03-01,1102.04,1099.23,1103.78,1093.2,-1.69,-0.15,127.78,1150.46,1074.34,998.21,47.87,62.05,19.52,2,1226.49,983.4
2011-03-02,1096.19,1090.11,1097.31,1078.86,-9.12,-0.83,109.07,1146.49,1079.0,1011.52,40.34,54.81,11.4,2,1224.46,981.77
2011-03-03,1090.11,1065.5,1093.11,1063.56,-24.61,-2.26,108.2,1142.58,1081.57,1020.57,27.98,45.87,-7.81,2,1218.8,977.23
2011-03-04,1064.62,1073.06,1073.06,1057.74,7.56,0.71,89.8,1138.9,1084.13,1029.35,26.44,39.39,0.52,2,1215.63,974.69
2011-03-07,1075.21,1079.4,1079.4,1071.21,6.34,0.59,112.59,1135.56,1086.59,1037.61,29.52,36.1,16.35,2,1211.25,971.18
2011-03-08,1080.82,1086.12,1086.6,1075.39,6.72,0.62,117.07,1131.77,1089.21,1046.65,36.53,36.24,37.1,2,1210.89,970.89
2011-03-09,1086.0,1088.6,1088.6,1076.75,2.48,0.23,124.6,1123.61,1092.33,1061.04,46.69,39.73,60.63,2,1207.93,968.52
2011-03-10,1089.64,1095.21,1104.85,1088.86,6.61,0.61,147.95,1122.52,1093.83,1065.15,57.64,45.7,81.53,2,1207.06,967.82
2011-03-11,1091.51,1103.08,1114.34,1089.95,7.87,0.72,153.09,1122.58,1095.35,1068.13,65.13,52.18,91.04,2,1207.82,968.43
2011-03-14,1100.63,1108.86,1108.86,1097.21,5.78,0.52,138.31,1124.01,1096.41,1068.82,73.53,59.29,101.99,2,1208.7,969.14
2011-03-15,1109.52,1096.26,1109.52,1079.52,-12.6,-1.14,155.3,1124.16,1096.78,1069.4,71.7,63.43,88.25,2,1208.37,968.87
2011-03-16,1095.43,1103.53,1103.99,1095.43,7.27,0.66,122.24,1123.58,1096.54,1069.49,74.77,67.21,89.89,2,1209.86,970.07
2011-03-17,1097.53,1079.66,1097.53,1076.15,-23.87,-2.16,139.31,1121.06,1094.7,1068.33,56.38,63.6,41.93,2,1211.43,971.33
2011-03-18,1082.89,1084.89,1089.61,1080.85,5.23,0.48,98.54,1120.36,1093.86,1067.36,45.71,57.64,21.87,2,1212.74,972.38
2011-03-21,1084.44,1071.88,1085.84,1069.59,-13.01,-1.2,90.55,1117.04,1091.51,1065.98,32.18,49.15,-1.76,2,1211.91,971.71
2011-03-22,1073.67,1068.56,1075.37,1059.13,-3.32,-0.31,81.48,1117.89,1090.47,1063.05,27.15,41.82,-2.19,2,1209.96,970.15
2011-03-23,1067.63,1078.03,1078.03,1066.04,9.47,0.89,98.24,1114.04,1088.61,1063.18,29.51,37.71,13.1,2,1208.79,969.21
2011-03-24,1079.49,1079.46,1083.06,1075.5,1.43,0.13,97.43,1112.25,1087.43,1062.61,33.12,36.18,27.0,2,1207.04,967.8
2011-03-25,1078.81,1073.81,1079.49,1070.84,-5.65,-0.52,105.01,1111.46,1086.31,1061.16,31.79,34.72,25.94,2,1203.79,965.2
2011-03-28,1074.41,1053.61,1075.93,1052.51,-20.2,-1.88,130.28,1111.89,1083.94,1055.99,21.91,30.45,4.82,2,1197.66,960.28
2011-03-29,1051.78,1020.49,1051.78,1019.33,-33.12,-3.14,130.34,1118.45,1080.01,1041.56,15.1,25.33,-5.37,2,1189.25,953.54
