time,open,close,high,low,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,1142.17,1155.11,1155.52,1140.04,106329662,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,1153.91,1155.35,1159.12,1146.38,106082045,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,1153.63,1134.79,1159.41,1134.09,104850158,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,1132.73,1126.52,1139.78,1119.61,96800253,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,1124.34,1093.77,1124.34,1089.06,95294539,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,1089.99,1078.37,1089.99,1068.4,86587601,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,1083.12,1089.67,1095.52,1071.09,84599246,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,1094.83,1093.86,1097.1,1089.67,81042423,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,1092.09,1067.42,1092.09,1065.75,77625404,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,1066.44,1028.16,1066.99,1025.66,105544458,0.0,0.0,0.0,0.0,0.0,0.0,2,1223.56,981.05
2011-01-18,1021.84,1025.72,1029.86,1014.63,62166357,0.0,0.0,0.0,0.0,0.0,0.0,2,1209.19,969.53
2011-01-19,1025.93,1048.54,1048.6,1023.15,70615794,0.0,0.0,0.0,0.0,0.0,0.0,2,1197.34,960.03
2011-01-20,1047.77,1020.39,1051.52,1020.29,86936821,0.0,0.0,0.0,0.0,0.0,0.0,2,1184.64,949.85
2011-01-21,1014.72,1024.51,1033.52,1013.27,78920243,0.0,0.0,0.0,0.0,0.0,0.0,1,1173.32,940.77
2011-01-24,1024.79,994.97,1029.33,994.26,84829624,0.0,0.0,0.0,0.0,0.0,0.0,1,1162.35,931.97
2011-01-25,992.57,979.0,992.57,968.32,73726219,0.0,0.0,0.0,0.0,0.0,0.0,1,1151.32,923.13
2011-01-26,978.07,995.74,995.79,977.85,57625629,0.0,0.0,0.0,12.38,9.2,18.74,1,1140.89,914.77
2011-01-27,991.06,1013.02,1015.05,984.79,70837230,0.0,0.0,0.0,23.35,13.92,42.23,1,1131.92,907.57
2011-01-28,1013.64,1020.94,1023.63,1011.31,59566259,0.0,0.0,0.0,36.65,21.49,66.96,2,1126.76,903.44
2011-01-31,1021.63,1029.12,1030.19,1014.4,72280695,1164.99,1058.75,952.5,48.79,30.59,85.19,2,1126.87,903.52
2011-02-01,1029.67,1032.6,1034.14,1026.9,59105763,1149.67,1052.62,955.58,58.28,39.82,95.2,2,1127.63,904.14
2011-02-09,1026.45,1025.15,1037.84,1021.79,63034654,1131.48,1046.11,960.74,66.1,48.58,101.14,2,1125.03,902.05
2011-02-10,1026.25,1063.95,1063.95,1024.71,100070576,1118.26,1042.57,966.88,77.4,58.19,115.83,2,1129.87,905.93
2011-02-11,1067.19,1071.58,1075.59,1065.15,101753193,1106.59,1039.82,973.06,83.69,66.69,117.69,2,1135.09,910.12
2011-02-14,1072.31,1086.56,1087.31,1072.31,119351851,1105.13,1039.46,973.8,88.9,74.09,118.51,2,1145.26,918.27
2011-02-15,1086.8,1087.73,1097.56,1082.27,118456118,1106.82,1039.93,973.04,89.69,79.29,110.49,2,1157.33,927.95
2011-02-16,1086.77,1107.24,1107.24,1083.85,124442277,1110.68,1040.81,970.94,93.13,83.9,111.58,0,1169.71,937.87
2011-02-17,1108.63,1115.33,1116.96,1103.89,131962838,1115.54,1041.88,968.23,94.89,87.57,109.54,0,1181.06,946.98
2011-02-18,1114.45,1100.46,1114.69,1098.59,129652534,1120.8,1043.54,966.27,90.81,88.65,95.14,0,1189.89,954.06
2011-02-21,1096.17,1117.67,1117.67,1094.43,142047010,1131.33,1048.01,964.69,93.88,90.39,100.85,0,1199.72,961.94
2011-02-22,1118.61,1088.27,1122.18,1087.01,139730868,1135.57,1051.14,966.71,84.32,88.37,76.23,2,1205.9,966.89
2011-02-23,1088.08,1114.05,1117.29,1087.86,128183375,1143.16,1054.41,965.67,84.8,87.18,80.03,2,1215.77,974.8
2011-02-24,1112.43,1101.95,1112.72,1094.62,131930479,1148.1,1058.49,968.89,76.34,83.56,61.89,2,1219.98,978.18
2011-02-25,1098.11,1095.1,1098.73,1085.8,119408800,1151.56,1062.02,972.49,61.61,76.25,32.34,2,1222.59,980.28
2011-02-28,1096.34,1099.78,1099.78,1087.59,113927287,1152.66,1067.26,981.87,54.93,69.14,26.5,2,1224.06,981.45
2011-03-01,1100.81,1098.0,1102.55,1091.98,127780701,1149.25,1073.21,997.17,47.8,62.03,19.34,2,1225.2,982.37
2011-03-02,1094.97,1088.9,1096.09,1077.65,109066673,1145.28,1077.87,1010.46,40.29,54.78,11.3,2,1223.17,980.74
2011-03-03,1088.89,1064.31,1091.89,1062.37,108204314,1141.37,1080.43,1019.5,27.94,45.83,-7.85,2,1217.5,976.2
2011-03-04,1063.43,1071.86,1071.86,1056.56,89798976,1137.7,1082.98,1028.26,26.4,39.35,0.48,2,1214.33,973.65
2011-03-07,1073.93,1078.11,1078.11,1069.93,112588410,1134.36,1085.43,1036.5,29.43,36.04,16.19,2,1209.94,970.13
2011-03-08,1079.53,1084.82,1085.31,1074.1,117065846,1130.58,1088.04,1045.51,36.39,36.16,36.85,2,1209.55,969.82
2011-03-09,1084.7,1087.3,1087.3,1075.46,124603592,1122.45,1091.15,1059.85,46.54,39.62,60.38,2,1206.58,967.44
