time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2013-06-28,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-07-01,992.78,1040.99,1040.99,992.78,40.99,4.1,473.67,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-07-02,1040.19,1064.4,1066.19,1039.28,23.41,2.25,607.84,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-07-03,1054.04,1075.53,1080.21,1039.39,11.13,1.05,607.49,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-07-04,1060.01,1061.81,1082.5,1058.97,-13.72,-1.28,571.95,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-07-05,1061.74,1031.63,1069.52,1031.63,-30.18,-2.84,530.64,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-07-08,996.87,982.81,1013.94,976.93,-48.82,-4.73,499.57,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-07-09,982.25,999.12,999.12,976.41,16.31,1.66,415.15,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-07-10,999.22,1024.57,1024.57,999.22,25.45,2.55,478.72,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-07-11,1024.27,1042.74,1048.06,1018.15,18.17,1.77,553.78,0.0,0.0,0.0,0.0,0.0,0.0,2,1145.92,918.8
2013-07-12,1040.71,1054.02,1075.03,1040.71,11.28,1.08,578.18,0.0,0.0,0.0,0.0,0.0,0.0,2,1151.92,923.61
2013-07-15,1058.44,1093.69,1093.69,1058.1,39.67,3.76,631.08,0.0,0.0,0.0,0.0,0.0,0.0,2,1157.77,928.3
2013-07-16,1093.51,1110.16,1110.16,1088.22,16.47,1.51,611.76,0.0,0.0,0.0,0.0,0.0,0.0,2,1162.84,932.37
2013-07-17,1105.58,1100.28,1123.08,1092.5,-9.88,-0.89,635.34,0.0,0.0,0.0,0.0,0.0,0.0,2,1165.59,934.57
2013-07-18,1092.84,1116.41,1121.09,1089.68,16.13,1.47,556.69,0.0,0.0,0.0,0.0,0.0,0.0,2,1171.65,939.43
2013-07-19,1115.31,1089.72,1137.51,1089.72,-26.69,-2.39,673.3,0.0,0.0,0.0,0.0,0.0,0.0,2,1178.1,944.6
2013-07-22,1075.98,1135.02,1135.02,1075.98,45.3,4.16,601.81,0.0,0.0,0.0,87.85,86.19,91.16,2,1195.0,958.15
2013-07-23,1144.19,1164.47,1164.47,1134.82,29.45,2.59,726.51,0.0,0.0,0.0,91.9,88.09,99.51,2,1213.35,972.87
2013-07-24,1158.3,1188.49,1193.58,1157.86,24.02,2.06,750.7,0.0,0.0,0.0,93.49,89.89,100.68,2,1231.55,987.46
2013-07-25,1188.0,1126.41,1188.96,1126.09,-62.08,-5.22,727.84,1183.29,1075.11,966.93,79.13,86.3,64.79,2,1240.83,994.9
