time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-12-31,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-04,1001.1,973.54,1001.1,970.14,-26.46,-2.65,167.9,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-07,971.55,993.14,993.14,971.55,19.6,2.01,185.83,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-08,995.25,1015.02,1016.96,995.25,21.88,2.2,218.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-09,1008.39,1019.81,1024.33,1008.39,4.79,0.47,213.88,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-10,1022.04,1028.45,1031.82,1022.04,8.64,0.85,186.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-11,1031.0,1012.63,1031.0,1012.63,-15.82,-1.54,198.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-14,1020.7,1053.11,1053.11,1020.7,40.48,4.0,241.42,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-15,1059.13,1079.38,1079.38,1059.13,26.27,2.49,303.87,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-16,1073.37,1072.75,1077.86,1064.29,-6.63,-0.61,217.54,0.0,0.0,0.0,0.0,0.0,0.0,2,1137.51,912.06
2013-01-17,1070.65,1071.36,1077.72,1070.65,-1.39,-0.13,179.6,0.0,0.0,0.0,0.0,0.0,0.0,2,1145.43,918.41
2013-01-18,1081.92,1104.83,1104.91,1081.92,33.47,3.12,226.73,0.0,0.0,0.0,0.0,0.0,0.0,2,1160.0,930.09
2013-01-21,1104.77,1113.98,1114.47,1104.77,9.15,0.83,217.61,0.0,0.0,0.0,0.0,0.0,0.0,2,1173.42,940.85
2013-01-22,1112.61,1089.82,1112.61,1088.72,-24.16,-2.17,203.77,0.0,0.0,0.0,0.0,0.0,0.0,0,1181.72,947.5
2013-01-23,1084.73,1095.15,1095.7,1078.93,5.33,0.49,176.61,0.0,0.0,0.0,0.0,0.0,0.0,0,1190.08,954.21
2013-01-24,1095.94,1064.56,1097.63,1061.91,-30.59,-2.79,242.96,0.0,0.0,0.0,0.0,0.0,0.0,2,1194.09,957.42
2013-01-25,1063.74,1076.38,1078.73,1063.74,11.82,1.11,151.63,0.0,0.0,0.0,59.47,81.48,15.46,2,1201.17,963.1
2013-01-28,1081.9,1110.36,1110.36,1081.9,33.98,3.16,172.08,0.0,0.0,0.0,70.38,77.78,55.57,2,1207.52,968.19
2013-01-29,1113.84,1121.96,1126.64,1113.84,11.6,1.04,177.38,0.0,0.0,0.0,77.84,77.8,77.92,2,1212.25,971.98
2013-01-30,1122.47,1109.48,1122.47,1103.37,-12.48,-1.11,166.24,1148.94,1060.29,971.63,76.39,77.33,74.51,2,1216.32,975.25
2013-01-31,1107.57,1094.75,1107.57,1087.94,-14.73,-1.33,167.09,1150.35,1065.02,979.7,67.84,74.17,55.18,2,1218.92,977.33
2013-02-01,1093.33,1104.44,1106.58,1093.33,9.69,0.89,182.45,1147.37,1071.57,995.77,67.13,71.82,57.74,2,1218.88,977.3
2013-02-04,1107.3,1080.08,1107.3,1080.07,-24.36,-2.21,208.77,1142.66,1075.91,1009.17,54.11,65.92,30.49,2,1215.11,974.28
2013-02-05,1073.48,1096.59,1096.59,1073.48,16.51,1.53,156.88,1141.08,1079.99,1018.9,53.93,61.92,37.95,2,1215.87,974.88
2013-02-06,1097.11,1113.11,1113.43,1097.11,16.52,1.51,151.75,1140.69,1084.66,1028.62,62.12,61.99,62.38,2,1217.86,976.48
2013-02-07,1114.28,1141.5,1141.51,1114.28,28.39,2.55,170.66,1145.32,1090.31,1035.3,74.74,66.24,91.74,2,1226.4,983.33
2013-02-08,1138.56,1164.44,1167.79,1138.56,22.94,2.01,187.51,1149.75,1097.9,1046.06,81.98,71.48,102.96,2,1236.17,991.17
