time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-12-31,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-04,1013.52,999.62,1013.52,995.06,-0.38,-0.04,493.58,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-07,997.84,1004.52,1004.52,997.84,4.9,0.49,414.13,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-08,1004.08,1011.05,1013.58,1000.09,6.53,0.65,555.42,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-09,1009.79,1019.81,1020.53,1009.79,8.76,0.87,548.98,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-10,1020.32,1025.11,1028.67,1020.32,5.3,0.52,444.97,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-11,1027.31,1011.77,1028.51,1011.77,-13.34,-1.3,543.12,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-14,1011.53,1052.62,1052.65,1011.53,40.85,4.04,612.41,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-15,1057.95,1072.28,1072.28,1057.95,19.66,1.87,716.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-16,1070.46,1072.64,1077.87,1061.72,0.36,0.03,674.08,0.0,0.0,0.0,0.0,0.0,0.0,2,1139.91,913.98
2013-01-17,1068.44,1058.68,1068.44,1058.4,-13.96,-1.3,505.39,0.0,0.0,0.0,0.0,0.0,0.0,2,1146.42,919.2
2013-01-18,1067.42,1078.14,1078.14,1062.54,19.46,1.84,614.86,0.0,0.0,0.0,0.0,0.0,0.0,2,1155.13,926.19
2013-01-21,1089.33,1098.28,1098.28,1089.33,20.14,1.87,812.88,0.0,0.0,0.0,0.0,0.0,0.0,2,1165.54,934.53
2013-01-22,1098.08,1098.94,1105.77,1098.08,0.66,0.06,1142.03,0.0,0.0,0.0,0.0,0.0,0.0,0,1175.3,942.36
2013-01-23,1094.52,1103.07,1107.74,1091.58,4.13,0.38,755.62,0.0,0.0,0.0,0.0,0.0,0.0,0,1184.54,949.77
2013-01-24,1098.52,1081.89,1114.12,1081.47,-21.18,-1.92,945.75,0.0,0.0,0.0,0.0,0.0,0.0,0,1190.84,954.82
2013-01-25,1080.72,1073.46,1080.72,1073.46,-8.43,-0.78,518.72,0.0,0.0,0.0,66.26,86.68,25.41,2,1197.69,960.31
2013-01-28,1078.34,1114.04,1114.04,1078.34,40.58,3.78,697.64,0.0,0.0,0.0,77.46,83.61,65.16,2,1204.51,965.78
2013-01-29,1118.69,1123.56,1127.07,1118.69,9.52,0.85,754.94,0.0,0.0,0.0,83.27,83.49,82.82,2,1210.2,970.34
2013-01-30,1122.76,1133.77,1133.77,1119.23,10.21,0.91,722.83,1147.01,1061.66,976.32,88.85,85.28,95.98,2,1216.99,975.78
2013-01-31,1132.54,1117.34,1132.54,1116.4,-16.43,-1.45,697.62,1151.23,1067.53,983.83,83.48,84.68,81.09,2,1223.5,981.0
2013-02-01,1116.32,1130.24,1130.24,1116.32,12.9,1.15,723.63,1155.91,1074.06,992.21,87.04,85.47,90.18,2,1229.28,985.64
2013-02-04,1131.67,1115.07,1131.67,1115.07,-15.17,-1.34,828.01,1156.7,1079.59,1002.48,81.02,83.98,75.1,2,1231.14,987.13
2013-02-05,1111.29,1130.4,1130.4,1111.29,15.33,1.37,719.99,1158.91,1085.56,1012.2,85.49,84.48,87.49,2,1234.64,989.93
2013-02-06,1130.57,1133.09,1133.09,1129.88,2.69,0.24,560.63,1160.79,1091.22,1021.65,89.95,86.31,97.23,2,1237.97,992.6
