time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2022-01-04,1810.02,1792.43,1810.02,1774.37,-6.89,-0.38,903.8,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-01-05,1790.85,1732.01,1791.73,1722.37,-60.42,-3.37,918.94,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-01-06,1719.73,1712.9,1725.21,1700.18,-19.11,-1.1,712.87,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-01-07,1721.47,1680.28,1726.38,1678.54,-32.62,-1.9,842.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-01-10,1674.52,1689.38,1699.7,1653.46,9.1,0.54,751.84,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-01-11,1688.58,1652.49,1689.27,1648.8,-36.89,-2.18,658.02,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-01-12,1661.12,1665.21,1666.63,1652.07,12.72,0.77,610.65,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-01-13,1668.41,1641.01,1668.41,1640.7,-24.2,-1.45,681.21,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-01-14,1639.6,1659.77,1670.41,1635.77,18.76,1.14,643.09,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-01-17,1677.47,1728.06,1732.95,1675.81,68.29,4.11,1316.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1881.84,1508.87
2022-01-18,1729.82,1740.41,1778.45,1721.79,12.35,0.71,1549.71,0.0,0.0,0.0,0.0,0.0,0.0,2,1876.07,1504.24
2022-01-19,1725.75,1715.49,1729.01,1705.53,-24.92,-1.43,1137.2,0.0,0.0,0.0,0.0,0.0,0.0,2,1874.24,1502.76
2022-01-20,1711.56,1688.13,1717.07,1684.44,-27.36,-1.59,1148.29,0.0,0.0,0.0,0.0,0.0,0.0,2,1871.49,1500.56
2022-01-21,1681.79,1669.73,1701.8,1665.22,-18.4,-1.09,980.25,0.0,0.0,0.0,0.0,0.0,0.0,2,1870.31,1499.62
2022-01-24,1658.49,1676.79,1684.75,1658.49,7.06,0.42,947.94,0.0,0.0,0.0,0.0,0.0,0.0,2,1868.92,1498.5
2022-01-25,1668.05,1601.0,1668.76,1600.89,-75.79,-4.52,1201.4,0.0,0.0,0.0,0.0,0.0,0.0,2,1863.2,1493.92
2022-01-26,1606.04,1605.22,1618.46,1581.57,4.22,0.26,920.11,0.0,0.0,0.0,20.06,33.56,-6.93,2,1856.54,1488.58
2022-01-27,1601.45,1531.19,1601.45,1529.85,-74.03,-4.61,913.29,0.0,0.0,0.0,13.56,26.89,-13.12,2,1844.35,1478.81
2022-01-28,1537.67,1517.24,1549.27,1514.26,-13.95,-0.91,773.45,0.0,0.0,0.0,9.41,21.07,-13.89,2,1828.53,1466.12
2022-02-07,1542.13,1516.45,1550.02,1510.04,-0.79,-0.05,690.22,1806.8,1660.76,1514.72,7.25,16.46,-11.17,2,1805.04,1447.29
2022-02-08,1508.66,1505.84,1508.66,1478.3,-10.61,-0.7,777.66,1794.21,1646.43,1498.65,8.68,13.87,-1.7,2,1779.01,1426.41
2022-02-09,1509.1,1533.1,1533.1,1497.14,27.26,1.81,981.15,1786.64,1636.48,1486.33,13.96,13.9,14.08,2,1758.76,1410.18
2022-02-10,1532.22,1519.71,1532.54,1513.07,-13.39,-0.87,700.6,1780.88,1626.82,1472.77,15.99,14.6,18.78,2,1740.07,1395.19
2022-02-11,1506.17,1492.14,1518.77,1488.79,-27.57,-1.81,786.2,1780.01,1617.42,1454.83,13.08,14.09,11.07,2,1720.35,1379.38
2022-02-14,1466.61,1471.83,1495.08,1463.89,-20.31,-1.36,669.7,1777.32,1606.54,1435.76,10.43,12.87,5.56,2,1697.6,1361.14
2022-02-15,1481.06,1508.2,1508.51,1478.62,36.37,2.47,565.48,1773.88,1599.33,1424.77,17.69,14.48,24.12,2,1687.3,1352.88
2022-02-16,1518.3,1502.46,1518.3,1497.17,-5.74,-0.38,639.46,1767.86,1591.19,1414.52,26.72,18.56,43.05,2,1675.9,1343.74
2022-02-17,1493.15,1504.7,1520.61,1493.15,2.24,0.15,658.19,1763.33,1584.37,1405.41,33.61,23.58,53.67,2,1672.96,1341.38
2022-02-18,1500.2,1513.96,1514.0,1497.01,9.26,0.62,771.23,1755.04,1577.08,1399.13,46.52,31.22,77.11,2,1672.59,1341.09
2022-02-21,1527.17,1533.73,1541.77,1526.37,19.77,1.31,1201.7,1732.01,1567.37,1402.72,60.91,41.12,100.48,2,1674.51,1342.62
2022-02-22,1517.56,1519.34,1524.93,1501.88,-14.39,-0.94,1096.19,1701.54,1556.31,1411.08,64.34,48.86,95.3,2,1676.01,1343.83
2022-02-23,1529.48,1592.54,1594.21,1529.48,73.2,4.82,1115.06,1677.19,1550.16,1423.14,75.8,57.84,111.72,2,1682.61,1349.12
2022-02-24,1586.62,1543.31,1588.21,1516.08,-49.23,-3.09,1381.06,1653.05,1542.92,1432.8,70.85,62.17,88.19,2,1685.23,1351.22
2022-02-25,1571.4,1557.82,1577.21,1554.44,14.51,0.94,805.61,1631.3,1537.33,1443.35,70.07,64.81,80.6,2,1692.52,1357.06
2022-02-28,1557.75,1564.97,1572.6,1546.9,7.15,0.46,743.38,1602.23,1531.74,1461.24,70.4,66.67,77.86,2,1702.85,1365.35
2022-03-01,1563.83,1565.06,1567.03,1556.04,0.09,0.01,723.06,1594.89,1529.94,1464.99,70.65,68.0,75.96,2,1709.17,1370.41
2022-03-02,1541.53,1541.66,1550.83,1534.79,-23.4,-1.5,720.62,1582.19,1526.76,1471.33,62.41,66.14,54.97,2,1713.52,1373.9
2022-03-03,1549.04,1508.86,1549.04,1507.31,-32.8,-2.13,746.83,1581.57,1525.65,1469.72,44.13,58.8,14.79,2,1713.98,1374.27
2022-03-04,1494.27,1486.15,1510.6,1481.39,-22.71,-1.51,730.59,1582.54,1524.09,1465.64,30.83,49.48,-6.47,2,1710.89,1371.8
2022-03-07,1470.64,1430.3,1474.81,1424.42,-55.85,-3.76,725.0,1591.13,1519.78,1448.44,21.71,40.22,-15.32,2,1699.41,1362.59
2022-03-08,1444.32,1413.18,1447.44,1396.14,-17.12,-1.2,784.8,1600.23,1515.15,1430.08,17.43,32.62,-12.96,2,1687.63,1353.14
2022-03-09,1421.13,1407.01,1434.07,1351.56,-6.17,-0.44,953.59,1605.56,1508.85,1412.13,19.81,28.35,2.73,2,1667.03,1336.63
2022-03-10,1441.28,1416.31,1441.28,1415.34,9.3,0.66,790.28,1608.25,1503.68,1399.1,22.97,26.56,15.8,2,1652.94,1325.33
2022-03-11,1386.75,1427.37,1427.37,1381.67,11.06,0.78,755.03,1610.12,1500.44,1390.75,27.04,26.72,27.69,1,1638.46,1313.72
2022-03-14,1410.34,1379.08,1417.74,1379.08,-48.29,-3.38,649.78,1617.16,1495.8,1374.45,22.63,25.36,17.18,1,1617.82,1297.17
2022-03-15,1373.72,1332.66,1399.7,1332.24,-46.42,-3.37,753.24,1627.42,1487.02,1346.63,15.15,21.95,1.55,1,1592.03,1276.49
2022-03-16,1359.42,1391.47,1391.67,1307.98,58.81,4.41,825.03,1627.65,1481.47,1335.3,23.84,22.58,26.35,1,1575.36,1263.12
2022-03-17,1408.92,1414.94,1431.96,1406.51,23.47,1.69,853.06,1625.52,1476.99,1328.45,37.26,27.48,56.84,1,1564.93,1254.76
2022-03-18,1409.46,1411.52,1414.2,1396.26,-3.42,-0.24,584.15,1622.0,1471.86,1321.72,49.59,34.85,79.07,2,1556.65,1248.12
2022-03-21,1411.03,1420.74,1424.82,1401.14,9.22,0.65,660.94,1615.12,1466.21,1317.31,61.26,43.65,96.47,2,1555.59,1247.27
2022-03-22,1409.87,1406.87,1421.95,1402.85,-13.87,-0.98,582.98,1609.54,1460.59,1311.64,65.57,50.96,94.79,2,1554.88,1246.71
2022-03-23,1405.89,1411.29,1417.46,1391.52,4.42,0.31,602.49,1588.86,1451.53,1314.19,71.49,57.8,98.86,2,1555.36,1247.09
2022-03-24,1395.47,1376.76,1395.47,1367.78,-34.53,-2.45,590.85,1577.43,1443.2,1308.98,66.15,60.58,77.28,2,1550.97,1243.57
2022-03-25,1396.04,1360.03,1402.2,1360.03,-16.73,-1.22,517.99,1561.3,1433.31,1305.32,58.09,59.75,54.78,2,1543.49,1237.58
2022-03-28,1345.87,1356.11,1369.32,1343.62,-3.92,-0.29,565.21,1539.79,1422.87,1305.95,51.67,57.06,40.89,2,1540.95,1235.53
2022-03-29,1358.13,1329.3,1359.98,1325.43,-26.81,-1.98,533.79,1515.11,1411.08,1307.05,35.66,49.93,7.12,2,1540.57,1235.23
2022-03-30,1342.32,1353.89,1353.89,1333.25,24.59,1.85,495.63,1489.52,1401.69,1313.87,33.32,44.39,11.17,2,1536.4,1231.89
2022-03-31,1345.0,1335.98,1353.75,1333.2,-17.91,-1.32,576.4,1470.38,1393.05,1315.71,25.75,38.18,0.9,2,1527.64,1224.86
2022-04-01,1328.95,1334.85,1344.68,1321.41,-1.13,-0.08,503.66,1454.01,1385.48,1316.96,21.62,32.66,-0.45,2,1519.13,1218.04
2022-04-06,1326.98,1311.4,1326.98,1303.44,-23.45,-1.76,519.94,1452.0,1379.54,1307.08,16.74,27.35,-4.48,1,1506.99,1208.31
2022-04-07,1306.53,1275.53,1314.08,1275.53,-35.87,-2.74,599.6,1456.31,1372.66,1289.0,11.16,21.96,-10.43,1,1492.41,1196.62
2022-04-08,1273.14,1265.48,1280.49,1248.95,-10.05,-0.79,537.19,1459.7,1365.58,1271.46,11.04,18.32,-3.52,1,1476.23,1183.64
2022-04-11,1249.88,1208.35,1252.37,1200.99,-57.13,-4.51,522.76,1468.57,1355.18,1241.8,8.81,15.15,-3.85,1,1457.53,1168.65
2022-04-12,1213.07,1219.29,1219.41,1187.6,10.94,0.91,413.92,1467.55,1344.78,1222.0,12.0,14.1,7.81,1,1441.91,1156.13
2022-04-13,1201.6,1174.08,1202.21,1174.08,-45.21,-3.71,410.26,1476.82,1334.53,1192.24,8.0,12.07,-0.13,1,1421.7,1139.93
2022-04-14,1189.87,1193.76,1204.31,1176.13,19.68,1.68,402.52,1482.55,1327.58,1172.61,8.99,11.04,4.88,1,1406.66,1127.86
2022-04-15,1184.35,1194.15,1205.6,1175.29,0.39,0.03,450.33,1480.11,1317.72,1155.33,9.91,10.66,8.41,1,1388.93,1113.65
2022-04-18,1186.42,1223.74,1225.16,1183.43,29.59,2.48,393.54,1469.03,1308.16,1147.28,17.43,12.92,26.46,2,1376.47,1103.66
2022-04-19,1224.78,1210.09,1227.0,1202.96,-13.65,-1.12,360.49,1457.02,1298.08,1139.15,20.2,15.35,29.9,2,1362.62,1092.55
2022-04-20,1220.46,1197.63,1223.56,1196.09,-12.46,-1.03,469.52,1441.11,1286.93,1132.74,20.84,17.18,28.17,2,1349.99,1082.43
2022-04-21,1193.73,1166.07,1213.97,1162.81,-31.56,-2.64,484.16,1427.33,1274.89,1122.45,15.11,16.49,12.35,2,1337.84,1072.68
2022-04-22,1160.51,1128.85,1160.91,1128.69,-37.22,-3.19,465.4,1412.37,1260.77,1109.16,10.13,14.37,1.64,2,1322.68,1060.52
2022-04-25,1098.01,1043.03,1103.34,1042.35,-85.82,-7.6,681.1,1413.38,1244.08,1074.78,6.87,11.87,-3.12,2,1304.33,1045.81
2022-04-26,1050.89,1002.0,1050.89,999.5,-41.03,-3.93,678.8,1417.0,1226.18,1035.36,4.95,9.56,-4.28,2,1280.21,1026.47
2022-04-27,992.52,1059.47,1059.69,982.15,57.47,5.74,737.39,1405.55,1211.35,1017.15,13.83,10.98,19.51,2,1267.49,1016.27
2022-04-28,1043.18,1031.54,1047.91,1021.06,-27.93,-2.64,643.79,1397.73,1196.46,995.19,15.94,12.64,22.55,2,1249.48,1001.83
2022-04-29,1047.88,1085.08,1092.03,1038.71,53.54,5.19,736.92,1376.18,1183.02,989.86,24.64,16.64,40.65,2,1237.37,992.13
2022-05-05,1078.53,1095.39,1109.75,1078.53,10.31,0.95,583.11,1354.26,1170.99,987.72,32.06,21.78,52.63,2,1223.13,980.7
2022-05-06,1065.64,1084.05,1108.49,1063.29,-11.34,-1.04,702.94,1329.04,1158.45,987.86,36.03,26.53,55.02,2,1209.14,969.49
2022-05-09,1080.73,1072.87,1093.81,1066.59,-11.18,-1.03,504.14,1305.64,1146.52,987.4,40.93,31.33,60.14,2,1195.29,958.38
2022-05-10,1054.76,1106.94,1114.86,1054.76,34.07,3.18,580.69,1286.48,1138.09,989.7,58.63,40.43,95.04,2,1188.72,953.12
2022-05-11,1102.82,1131.89,1160.51,1102.82,24.95,2.25,755.13,1267.81,1131.41,995.02,67.07,49.31,102.6,2,1189.06,953.39
2022-05-12,1128.85,1143.35,1146.89,1127.13,11.46,1.01,542.72,1260.09,1128.16,996.23,74.84,57.82,108.88,2,1200.2,962.32
2022-05-13,1150.8,1144.99,1152.65,1135.45,1.64,0.14,545.21,1249.93,1124.45,998.96,79.52,65.05,108.45,2,1216.07,975.05
2022-05-16,1149.61,1128.62,1156.1,1125.15,-16.37,-1.43,500.6,1245.61,1122.18,998.74,77.62,69.24,94.37,0,1223.74,981.2
2022-05-17,1128.3,1150.29,1150.95,1120.92,21.67,1.92,467.71,1239.8,1120.0,1000.21,81.86,73.45,98.68,0,1236.93,991.77
2022-05-18,1156.5,1153.09,1170.81,1152.81,2.8,0.24,558.52,1233.94,1117.95,1001.96,82.82,76.57,95.31,0,1244.47,997.82
2022-05-19,1139.04,1166.76,1166.76,1136.57,13.67,1.19,509.2,1223.08,1115.1,1007.12,87.38,80.17,101.79,0,1252.4,1004.17
2022-05-20,1170.84,1177.22,1178.07,1157.75,10.46,0.9,529.72,1216.49,1113.46,1010.43,91.36,83.9,106.27,0,1262.74,1012.47
2022-05-23,1186.36,1191.32,1193.22,1174.13,14.1,1.2,500.07,1215.17,1113.14,1011.11,93.54,87.11,106.39,0,1275.89,1023.01
2022-05-24,1184.63,1134.89,1198.51,1134.46,-56.43,-4.74,661.6,1211.26,1111.58,1011.91,68.36,80.86,43.36,2,1278.99,1025.5
