time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,3602.37,3663.04,3671.96,3583.48,85.37,2.39,1197.04,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,3642.08,3614.08,3660.81,3610.79,-48.96,-1.34,1114.68,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,3616.69,3571.79,3625.84,3556.52,-42.29,-1.17,846.69,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,3573.1,3605.55,3669.72,3550.19,33.76,0.95,1198.13,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,3600.44,3526.62,3634.92,3520.25,-78.93,-2.19,906.28,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,3512.74,3566.37,3583.96,3512.06,39.75,1.13,939.6,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,3574.49,3592.51,3610.16,3537.97,26.14,0.73,896.95,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,3604.13,3578.25,3608.52,3568.92,-14.26,-0.4,604.93,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,3566.13,3526.9,3569.59,3513.27,-51.35,-1.44,642.36,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,3504.95,3373.8,3518.44,3363.22,-153.1,-4.34,874.85,0.0,0.0,0.0,0.0,0.0,0.0,2,3953.7,3170.08
2011-01-18,3368.45,3371.77,3393.66,3351.52,-2.03,-0.06,541.77,0.0,0.0,0.0,0.0,0.0,0.0,2,3921.37,3144.16
2011-01-19,3375.17,3438.68,3438.81,3357.59,66.91,1.98,699.71,0.0,0.0,0.0,0.0,0.0,0.0,2,3901.9,3128.55
2011-01-20,3438.19,3327.14,3438.19,3326.39,-111.54,-3.24,700.25,0.0,0.0,0.0,0.0,0.0,0.0,2,3874.74,3106.78
2011-01-21,3326.7,3384.56,3450.58,3321.08,57.42,1.73,946.73,0.0,0.0,0.0,0.0,0.0,0.0,2,3850.21,3087.11
2011-01-24,3389.83,3349.5,3395.72,3339.46,-35.06,-1.04,799.99,0.0,0.0,0.0,0.0,0.0,0.0,2,3830.55,3071.34
2011-01-25,3347.84,3346.17,3366.47,3323.84,-3.33,-0.1,591.98,0.0,0.0,0.0,0.0,0.0,0.0,2,3806.11,3051.75
2011-01-26,3349.71,3384.99,3389.38,3349.71,38.82,1.16,493.3,0.0,0.0,0.0,15.98,12.46,23.03,2,3783.08,3033.28
2011-01-27,3341.18,3420.23,3428.95,3314.28,35.24,1.04,1100.86,0.0,0.0,0.0,27.95,17.63,48.61,2,3765.54,3019.21
2011-01-28,3421.25,3412.85,3440.76,3383.69,-7.38,-0.22,938.04,0.0,0.0,0.0,42.74,26.0,76.23,2,3752.88,3009.06
2011-01-31,3406.63,3431.98,3435.5,3395.04,19.13,0.56,741.24,3684.44,3474.34,3264.24,57.28,36.43,98.99,2,3759.33,3014.24
2011-02-01,3438.94,3429.57,3439.46,3414.88,-2.41,-0.07,656.39,3654.69,3462.67,3270.64,66.38,46.41,106.32,2,3765.75,3019.38
2011-02-09,3409.89,3405.72,3452.15,3392.56,-23.85,-0.7,741.76,3632.54,3452.25,3271.96,66.36,53.06,92.96,2,3762.09,3016.45
2011-02-10,3400.9,3465.6,3467.07,3392.48,59.88,1.76,781.65,3618.89,3446.94,3274.98,77.25,61.13,109.51,2,3777.46,3028.77
2011-02-11,3456.88,3488.95,3503.1,3451.37,23.35,0.67,1089.81,3598.44,3441.11,3283.77,82.34,68.2,110.62,2,3789.05,3038.06
2011-02-14,3484.81,3643.07,3650.18,3484.81,154.12,4.42,1596.4,3623.89,3446.93,3269.97,87.52,74.64,113.28,2,3821.63,3064.19
2011-02-15,3642.68,3627.8,3675.2,3625.8,-15.27,-0.42,1424.05,3636.99,3450.0,3263.01,87.3,78.86,104.19,2,3852.89,3089.26
2011-02-16,3621.95,3645.05,3645.05,3587.55,17.25,0.48,1032.82,3648.81,3452.63,3256.45,88.09,81.94,100.39,2,3881.76,3112.4
2011-02-17,3652.56,3637.13,3671.82,3611.86,-7.92,-0.22,1063.93,3660.76,3455.57,3250.38,87.57,83.81,95.08,2,3905.84,3131.71
2011-02-18,3633.46,3617.58,3650.15,3609.43,-19.55,-0.54,975.92,3675.17,3460.11,3245.04,84.92,84.18,86.39,2,3928.56,3149.93
2011-02-21,3594.07,3682.24,3682.94,3589.41,64.66,1.79,1113.86,3707.22,3475.53,3243.84,89.87,86.08,97.44,2,3956.34,3172.2
2011-02-22,3691.77,3558.88,3692.39,3556.48,-123.36,-3.35,1509.01,3714.16,3484.88,3255.61,78.41,83.52,68.18,2,3970.69,3183.71
2011-02-23,3544.15,3563.34,3575.24,3533.84,4.46,0.13,837.8,3721.8,3491.12,3260.44,67.76,78.26,46.74,2,3988.19,3197.74
2011-02-24,3553.62,3580.56,3591.29,3526.45,17.22,0.48,867.56,3724.68,3503.79,3282.89,60.55,72.36,36.92,2,4000.95,3207.97
2011-02-25,3579.09,3594.41,3623.33,3555.02,13.85,0.39,904.44,3731.43,3514.28,3297.13,54.02,66.24,29.56,2,4012.66,3217.36
2011-02-28,3598.05,3642.63,3647.8,3565.86,48.22,1.34,1028.95,3739.08,3528.94,3318.8,59.35,63.95,50.15,2,4012.61,3217.32
2011-03-01,3643.78,3674.67,3711.54,3639.41,32.04,0.88,1401.03,3746.97,3545.36,3343.75,66.26,64.72,69.34,2,4017.81,3221.49
2011-03-02,3647.29,3664.84,3687.47,3622.34,-9.83,-0.27,1126.86,3753.19,3559.36,3365.52,69.1,66.18,74.93,2,4020.01,3223.25
2011-03-03,3674.04,3680.19,3750.23,3670.11,15.35,0.42,1380.12,3761.95,3572.35,3382.76,68.96,67.11,72.68,2,4024.79,3227.08
2011-03-04,3696.99,3744.5,3750.17,3676.44,64.31,1.75,1115.97,3777.84,3588.94,3400.03,78.46,70.89,93.59,2,4038.87,3238.38
2011-03-07,3764.93,3799.18,3809.47,3762.09,54.68,1.46,1410.62,3802.87,3607.3,3411.72,84.43,75.4,102.47,2,4051.86,3248.78
2011-03-08,3799.85,3797.25,3824.55,3764.19,-1.93,-0.05,1091.82,3820.1,3625.68,3431.26,86.56,79.12,101.45,2,4078.31,3270.0
2011-03-09,3810.51,3812.43,3838.98,3795.37,15.18,0.4,906.82,3828.89,3646.01,3463.14,87.93,82.06,99.66,2,4105.96,3292.17
2011-03-10,3802.87,3737.15,3802.87,3729.33,-75.28,-1.97,1084.49,3826.5,3659.59,3492.69,79.52,81.21,76.14,2,4123.34,3306.11
2011-03-11,3715.14,3684.6,3736.73,3674.28,-52.55,-1.41,937.99,3816.94,3669.37,3521.81,62.59,75.01,37.77,2,4133.36,3314.13
2011-03-14,3673.76,3707.43,3707.95,3663.67,22.83,0.62,723.32,3820.53,3672.59,3524.66,54.82,68.28,27.91,2,4140.55,3319.9
2011-03-15,3688.49,3634.19,3688.49,3583.93,-73.24,-1.98,1120.69,3820.49,3672.91,3525.34,43.12,59.89,9.57,2,4136.06,3316.3
2011-03-16,3644.38,3683.51,3688.5,3632.93,49.32,1.36,965.43,3821.91,3674.84,3527.76,41.76,53.85,17.58,2,4138.13,3317.96
2011-03-17,3641.65,3600.87,3652.67,3589.54,-82.64,-2.24,899.32,3822.78,3673.02,3523.26,30.05,45.92,-1.67,2,4129.32,3310.9
2011-03-18,3633.84,3608.94,3646.79,3605.03,8.07,0.22,728.76,3823.03,3672.59,3522.15,23.3,38.38,-6.84,2,4114.28,3298.83
2011-03-21,3615.98,3604.33,3644.06,3591.47,-4.61,-0.13,769.12,3821.95,3668.69,3515.44,18.2,31.65,-8.7,2,4092.65,3281.49
2011-03-22,3618.11,3642.47,3648.52,3575.39,38.14,1.06,676.39,3818.28,3672.87,3527.47,21.96,28.42,9.05,1,4075.47,3267.72
2011-03-23,3635.33,3690.98,3696.45,3634.44,48.51,1.33,994.49,3815.8,3679.26,3542.71,38.52,31.79,51.99,2,4061.99,3256.91
2011-03-24,3691.28,3672.64,3694.29,3668.16,-18.34,-0.5,664.88,3812.78,3683.86,3554.94,50.14,37.91,74.6,2,4054.83,3251.17
2011-03-25,3678.93,3711.2,3725.3,3669.1,38.56,1.05,900.68,3812.31,3689.7,3567.09,63.62,46.48,97.91,2,4057.78,3253.53
