time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2022-01-04,1958.91,1925.18,1958.91,1920.44,-59.46,-3.0,1538.46,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-01-05,1924.47,1881.29,1924.47,1880.07,-43.89,-2.28,1232.65,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-01-06,1881.83,1901.3,1914.01,1855.66,20.01,1.06,1388.41,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-01-07,1889.86,1871.96,1897.13,1869.51,-29.34,-1.54,1478.38,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-01-10,1892.12,1913.11,1921.29,1879.75,41.15,2.2,1254.69,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-01-11,1903.05,1919.35,1929.36,1896.64,6.24,0.33,1457.49,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-01-12,1912.93,1967.74,1969.15,1912.93,48.39,2.52,1505.74,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-01-13,1964.59,1935.86,1975.28,1935.73,-31.88,-1.62,1510.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-01-14,1942.7,1991.44,2004.49,1931.4,55.58,2.87,1886.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2022-01-17,1980.26,1969.94,1990.85,1962.03,-21.5,-1.08,1513.86,0.0,0.0,0.0,0.0,0.0,0.0,2,2139.77,1715.67
2022-01-18,1947.38,1925.15,1955.33,1922.74,-44.79,-2.27,1436.1,0.0,0.0,0.0,0.0,0.0,0.0,2,2139.76,1715.67
2022-01-19,1907.46,1893.39,1917.42,1888.92,-31.76,-1.65,1005.65,0.0,0.0,0.0,0.0,0.0,0.0,2,2141.11,1716.74
2022-01-20,1924.98,1903.43,1932.45,1903.18,10.04,0.53,1373.94,0.0,0.0,0.0,0.0,0.0,0.0,2,2141.34,1716.93
2022-01-21,1882.63,1835.85,1882.63,1831.47,-67.58,-3.55,1187.77,0.0,0.0,0.0,0.0,0.0,0.0,2,2137.33,1713.72
2022-01-24,1826.86,1823.42,1847.63,1815.91,-12.43,-0.68,746.53,0.0,0.0,0.0,0.0,0.0,0.0,2,2127.38,1705.74
2022-01-25,1815.09,1775.68,1834.79,1775.49,-47.74,-2.62,834.67,0.0,0.0,0.0,0.0,0.0,0.0,2,2111.43,1692.95
2022-01-26,1776.44,1741.12,1785.41,1734.17,-34.56,-1.95,586.31,0.0,0.0,0.0,11.65,27.34,-19.74,2,2086.28,1672.78
2022-01-27,1738.14,1706.94,1740.95,1704.81,-34.18,-1.96,655.82,0.0,0.0,0.0,8.01,20.9,-17.76,2,2060.87,1652.41
2022-01-28,1710.84,1690.79,1723.1,1690.22,-16.15,-0.95,517.0,0.0,0.0,0.0,5.41,15.74,-15.23,1,2027.49,1625.65
2022-02-07,1721.19,1713.31,1733.88,1708.21,22.52,1.33,521.12,2045.0,1864.31,1683.63,6.79,12.75,-5.15,1,1999.01,1602.81
2022-02-08,1688.58,1699.95,1700.4,1665.6,-13.36,-0.78,694.22,2044.89,1853.05,1661.21,8.82,11.44,3.56,1,1974.01,1582.77
2022-02-09,1693.28,1724.25,1728.92,1680.93,24.3,1.43,916.41,2044.48,1845.2,1645.92,14.88,12.59,19.48,2,1955.24,1567.71
2022-02-10,1717.55,1713.14,1733.56,1708.57,-11.11,-0.64,780.85,2041.26,1835.79,1630.32,18.63,14.6,26.68,2,1934.11,1550.78
2022-02-11,1691.18,1642.34,1695.54,1640.57,-70.8,-4.13,835.19,2045.47,1824.31,1603.15,12.72,13.98,10.22,2,1912.63,1533.55
2022-02-14,1646.33,1662.79,1680.31,1642.71,20.45,1.25,684.09,2039.67,1811.79,1583.92,13.6,13.85,13.09,2,1894.8,1519.26
2022-02-15,1655.58,1711.75,1713.01,1655.03,48.96,2.94,752.19,2027.65,1801.41,1575.17,32.7,20.13,57.84,2,1887.71,1513.57
2022-02-16,1708.82,1724.71,1737.94,1708.07,12.96,0.76,645.93,2004.29,1789.26,1574.23,50.6,30.29,91.23,2,1885.89,1512.11
2022-02-17,1723.83,1721.93,1735.84,1714.58,-2.78,-0.16,729.06,1984.45,1778.57,1572.68,61.59,40.72,103.32,2,1887.55,1513.44
2022-02-18,1715.66,1744.12,1746.63,1712.05,22.19,1.29,714.17,1947.73,1766.2,1584.67,73.6,51.68,117.44,2,1893.47,1518.19
2022-02-21,1762.23,1761.53,1764.07,1740.71,17.41,1.0,980.05,1911.41,1755.78,1600.15,81.72,61.69,121.76,2,1898.82,1522.48
2022-02-22,1736.49,1719.99,1739.29,1710.4,-41.54,-2.36,991.67,1880.86,1745.52,1610.18,75.91,66.43,94.87,2,1901.05,1524.26
2022-02-23,1721.02,1749.73,1752.22,1721.02,29.74,1.73,988.42,1855.56,1738.34,1621.11,80.07,70.98,98.26,2,1903.88,1526.53
2022-02-24,1734.56,1698.76,1760.83,1679.16,-50.97,-2.91,1364.1,1818.58,1728.1,1637.63,68.78,70.25,65.84,2,1902.28,1525.25
2022-02-25,1721.2,1775.83,1777.02,1721.2,77.07,4.54,1098.26,1804.37,1725.1,1645.84,78.86,73.12,90.34,2,1917.1,1537.13
2022-02-28,1776.25,1787.84,1788.78,1749.67,12.01,0.68,1056.77,1794.91,1723.32,1651.74,85.62,77.28,102.29,2,1930.98,1548.26
2022-03-01,1778.1,1786.52,1796.64,1769.76,-1.32,-0.07,840.77,1797.17,1723.87,1650.56,87.54,80.7,101.22,2,1939.28,1554.92
2022-03-02,1765.84,1765.82,1779.95,1748.16,-20.7,-1.16,983.3,1800.33,1725.1,1649.87,82.95,81.45,85.94,2,1943.84,1558.57
2022-03-03,1777.45,1756.11,1779.85,1754.34,-9.71,-0.55,1084.81,1803.47,1727.56,1651.65,77.13,80.01,71.37,2,1947.63,1561.62
2022-03-04,1751.32,1750.04,1785.04,1743.73,-6.07,-0.35,1123.17,1805.07,1730.52,1655.98,71.53,77.19,60.23,2,1948.29,1562.14
2022-03-07,1741.41,1690.81,1741.41,1683.83,-59.23,-3.38,848.59,1805.61,1729.4,1653.18,50.99,68.46,16.07,2,1940.44,1555.85
2022-03-08,1688.8,1606.87,1693.59,1606.87,-83.94,-4.96,1030.64,1817.22,1724.74,1632.27,34.0,56.97,-11.95,2,1927.88,1545.78
2022-03-09,1612.93,1569.99,1612.93,1514.73,-36.88,-2.3,962.01,1831.5,1717.03,1602.56,29.2,47.71,-7.83,2,1907.93,1529.78
