time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-12-31,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-04,1005.32,992.18,1005.32,978.88,-7.82,-0.78,120.07,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-07,991.46,1011.15,1011.15,989.74,18.97,1.91,136.69,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-08,1012.72,1038.38,1041.3,1010.96,27.23,2.69,202.07,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-09,1038.01,1044.79,1053.18,1034.02,6.41,0.62,207.56,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-10,1044.71,1056.04,1058.07,1044.46,11.25,1.08,198.39,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-11,1057.18,1053.67,1075.85,1050.94,-2.37,-0.22,257.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-14,1057.04,1104.55,1106.44,1057.04,50.88,4.83,253.7,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-15,1112.19,1124.67,1130.1,1112.19,20.12,1.82,261.8,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-16,1120.42,1119.78,1126.62,1098.11,-4.89,-0.43,199.48,0.0,0.0,0.0,0.0,0.0,0.0,2,1170.52,938.52
2013-01-17,1114.93,1098.15,1116.09,1097.97,-21.63,-1.93,155.55,0.0,0.0,0.0,0.0,0.0,0.0,2,1181.41,947.26
2013-01-18,1104.7,1115.79,1115.79,1093.35,17.64,1.61,153.56,0.0,0.0,0.0,0.0,0.0,0.0,2,1195.13,958.26
2013-01-21,1113.19,1114.31,1117.59,1104.92,-1.48,-0.13,143.75,0.0,0.0,0.0,0.0,0.0,0.0,2,1206.58,967.44
2013-01-22,1111.14,1083.98,1113.76,1076.78,-30.33,-2.72,148.29,0.0,0.0,0.0,0.0,0.0,0.0,2,1211.65,971.5
2013-01-23,1080.87,1089.58,1089.82,1069.32,5.6,0.52,127.47,0.0,0.0,0.0,0.0,0.0,0.0,2,1216.62,975.49
2013-01-24,1090.65,1061.06,1100.77,1051.61,-28.52,-2.62,196.89,0.0,0.0,0.0,0.0,0.0,0.0,2,1217.17,975.93
2013-01-25,1059.62,1065.56,1068.74,1054.72,4.5,0.42,100.02,0.0,0.0,0.0,37.83,62.8,-12.11,2,1218.49,976.99
2013-01-28,1069.7,1095.83,1095.83,1069.7,30.27,2.84,123.28,0.0,0.0,0.0,44.87,56.82,20.96,2,1217.53,976.22
