time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-12-31,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-04,1006.88,1002.9,1006.88,991.89,2.9,0.29,283.52,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-07,1002.44,1026.12,1026.12,1002.44,23.22,2.32,329.35,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-08,1027.37,1046.75,1054.16,1027.37,20.63,2.01,400.89,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-09,1040.62,1042.0,1050.32,1040.62,-4.75,-0.45,401.71,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-10,1043.06,1051.61,1052.61,1043.06,9.61,0.92,340.72,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-11,1056.2,1041.55,1064.7,1041.55,-10.06,-0.96,384.68,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-14,1047.43,1083.78,1083.78,1047.43,42.23,4.05,413.3,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-15,1085.88,1106.12,1106.74,1085.88,22.34,2.06,500.41,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-16,1100.95,1090.56,1100.95,1078.2,-15.56,-1.41,414.66,0.0,0.0,0.0,0.0,0.0,0.0,2,1164.54,933.73
2013-01-17,1087.27,1074.83,1087.27,1074.83,-15.73,-1.44,278.82,0.0,0.0,0.0,0.0,0.0,0.0,2,1172.85,940.39
2013-01-18,1082.18,1092.06,1092.06,1077.07,17.23,1.6,302.38,0.0,0.0,0.0,0.0,0.0,0.0,2,1182.75,948.33
2013-01-21,1094.67,1107.35,1107.47,1094.67,15.29,1.4,310.55,0.0,0.0,0.0,0.0,0.0,0.0,2,1191.76,955.56
2013-01-22,1102.16,1073.03,1102.16,1072.62,-34.32,-3.1,300.14,0.0,0.0,0.0,0.0,0.0,0.0,2,1194.68,957.9
2013-01-23,1068.34,1078.54,1078.54,1060.37,5.51,0.51,254.36,0.0,0.0,0.0,0.0,0.0,0.0,2,1198.74,961.15
2013-01-24,1077.63,1043.1,1082.69,1043.1,-35.44,-3.29,306.24,0.0,0.0,0.0,0.0,0.0,0.0,2,1197.79,960.39
2013-01-25,1045.5,1046.9,1051.13,1045.5,3.8,0.36,205.32,0.0,0.0,0.0,32.25,61.45,-26.16,2,1198.39,960.87
2013-01-28,1045.91,1074.93,1074.93,1045.91,28.03,2.68,241.02,0.0,0.0,0.0,37.98,53.62,6.69,2,1197.4,960.08
2013-01-29,1079.47,1088.21,1088.21,1079.47,13.28,1.24,274.99,0.0,0.0,0.0,48.68,51.98,42.09,2,1195.42,958.49
2013-01-30,1087.75,1077.49,1087.75,1070.81,-10.72,-0.99,253.55,1122.75,1062.39,1002.03,50.26,51.4,47.98,2,1193.96,957.32
