time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,1433.81,1445.12,1445.12,1427.44,18.4,1.29,3713.22,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,1442.39,1445.11,1450.35,1435.74,-0.01,0.0,3530.4,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,1445.64,1435.26,1451.74,1433.16,-9.85,-0.68,3251.16,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,1432.12,1421.87,1438.41,1415.83,-13.39,-0.93,3207.72,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,1420.7,1383.92,1420.72,1380.69,-37.95,-2.67,2964.81,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,1378.58,1372.31,1378.58,1360.3,-11.61,-0.84,2541.95,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,1374.61,1377.34,1382.53,1360.55,5.03,0.37,2304.74,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,1381.17,1380.22,1384.58,1376.1,2.88,0.21,2217.59,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,1377.89,1355.07,1377.89,1352.01,-25.15,-1.82,2615.85,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,1346.72,1302.17,1347.93,1299.76,-52.9,-3.9,2830.22,0.0,0.0,0.0,0.0,0.0,0.0,2,1544.94,1238.74
2011-01-18,1297.67,1306.88,1308.91,1289.41,4.71,0.36,1880.87,0.0,0.0,0.0,0.0,0.0,0.0,2,1529.6,1226.43
2011-01-19,1307.67,1338.8,1339.01,1305.31,31.92,2.44,2421.6,0.0,0.0,0.0,0.0,0.0,0.0,2,1517.8,1216.97
2011-01-20,1337.21,1294.0,1337.21,1293.85,-44.8,-3.35,2752.93,0.0,0.0,0.0,0.0,0.0,0.0,2,1502.12,1204.4
2011-01-21,1288.68,1301.02,1312.6,1284.99,7.02,0.54,2615.02,0.0,0.0,0.0,0.0,0.0,0.0,1,1488.7,1193.64
2011-01-24,1301.31,1269.06,1305.49,1268.78,-31.96,-2.46,2442.23,0.0,0.0,0.0,0.0,0.0,0.0,1,1475.95,1183.42
2011-01-25,1265.59,1253.05,1265.59,1243.66,-16.01,-1.26,2075.4,0.0,0.0,0.0,0.0,0.0,0.0,1,1462.71,1172.81
2011-01-26,1252.73,1272.96,1274.62,1252.73,19.91,1.59,1858.47,0.0,0.0,0.0,12.44,10.24,16.84,1,1451.13,1163.52
2011-01-27,1267.9,1298.77,1301.25,1261.06,25.81,2.03,2632.16,0.0,0.0,0.0,25.91,15.46,46.81,1,1442.09,1156.27
2011-01-28,1298.04,1313.47,1317.18,1296.63,14.7,1.13,2435.46,0.0,0.0,0.0,41.68,24.2,76.63,2,1437.47,1152.57
2011-01-31,1313.21,1328.17,1328.17,1309.01,14.7,1.12,2590.03,1462.57,1344.73,1226.88,57.33,35.24,101.5,2,1440.36,1154.88
2011-02-01,1329.43,1326.35,1330.45,1322.11,-1.82,-0.14,2114.37,1447.41,1338.79,1230.17,67.68,46.06,110.94,2,1442.52,1156.61
2011-02-09,1318.02,1314.56,1330.66,1309.73,-11.79,-0.89,2403.71,1429.65,1332.26,1234.88,72.29,54.8,107.26,2,1439.83,1154.46
2011-02-10,1312.24,1355.46,1355.46,1310.82,40.9,3.11,3156.27,1414.33,1328.27,1242.21,81.52,63.71,117.16,2,1446.65,1159.93
2011-02-11,1356.19,1370.75,1375.51,1354.0,15.29,1.13,3542.85,1403.11,1325.72,1248.33,86.48,71.3,116.84,2,1454.39,1166.13
2011-02-14,1372.51,1396.98,1400.1,1372.51,26.23,1.91,4450.48,1405.9,1326.37,1246.84,90.28,77.63,115.59,2,1468.59,1177.52
2011-02-15,1399.09,1397.8,1411.7,1394.77,0.82,0.06,4430.35,1410.81,1327.64,1244.47,90.44,81.9,107.54,2,1484.65,1190.4
2011-02-16,1395.61,1425.79,1425.79,1394.45,27.99,2.0,4603.36,1421.32,1330.07,1238.82,93.63,85.81,109.27,0,1501.62,1204.0
2011-02-17,1429.34,1432.25,1435.34,1415.63,6.46,0.45,4678.52,1432.09,1332.67,1233.25,94.94,88.85,107.11,0,1516.44,1215.88
2011-02-18,1429.59,1418.7,1433.06,1414.86,-13.55,-0.95,4098.34,1441.79,1335.85,1229.91,92.21,89.97,96.69,0,1528.12,1225.25
2011-02-21,1411.16,1445.89,1445.89,1409.91,27.19,1.92,4413.32,1457.98,1343.04,1228.09,94.81,91.58,101.25,0,1541.18,1235.72
2011-02-22,1447.75,1405.43,1448.9,1404.96,-40.46,-2.8,5074.29,1464.72,1347.96,1231.2,86.04,89.74,78.66,2,1549.96,1242.76
2011-02-23,1401.05,1418.17,1421.63,1400.98,12.74,0.91,3765.44,1472.51,1351.93,1231.36,79.9,86.46,66.79,2,1561.46,1251.98
2011-02-24,1415.55,1422.85,1426.2,1411.64,4.68,0.33,3845.23,1479.65,1358.37,1237.1,75.23,82.72,60.27,2,1568.94,1257.98
2011-02-25,1421.72,1423.57,1426.07,1406.95,0.72,0.05,3558.79,1485.95,1364.5,1243.06,67.98,77.81,48.34,2,1574.8,1262.68
2011-02-28,1425.58,1442.01,1442.01,1417.58,18.44,1.3,4278.1,1490.75,1373.15,1255.55,74.44,76.68,69.95,2,1579.8,1266.69
