time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,5993.98,6013.97,6033.97,5968.17,-5.37,-0.09,276.3,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,5998.53,6138.34,6139.1,5988.26,124.37,2.07,344.9,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,6137.25,6095.32,6178.19,6083.23,-43.02,-0.7,303.47,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,6093.61,6122.05,6143.12,6075.55,26.73,0.44,274.28,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,6122.88,6161.21,6166.16,6112.59,39.17,0.64,278.42,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,6196.67,6334.67,6386.29,6196.67,173.46,2.82,632.24,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,6339.53,6365.11,6366.5,6292.7,30.45,0.48,485.64,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,6361.98,6404.12,6404.12,6326.02,39.01,0.61,480.66,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,6411.96,6420.47,6438.58,6362.88,16.35,0.26,421.17,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,6415.43,6343.04,6435.21,6342.89,-77.42,-1.21,412.44,0.0,0.0,0.0,0.0,0.0,0.0,2,6926.21,5553.45
2012-09-14,6368.48,6334.06,6390.32,6302.96,-8.98,-0.14,386.86,0.0,0.0,0.0,0.0,0.0,0.0,2,6961.74,5581.94
2012-09-17,6336.63,6193.38,6338.09,6187.87,-140.69,-2.22,403.19,0.0,0.0,0.0,0.0,0.0,0.0,2,6967.85,5586.84
2012-09-18,6168.57,6186.94,6226.12,6148.48,-6.43,-0.1,338.5,0.0,0.0,0.0,0.0,0.0,0.0,2,6978.02,5594.99
2012-09-19,6190.52,6238.48,6246.33,6186.18,51.54,0.83,301.5,0.0,0.0,0.0,0.0,0.0,0.0,2,6990.94,5605.35
2012-09-20,6228.31,6056.46,6228.51,6049.68,-182.02,-2.92,348.62,0.0,0.0,0.0,0.0,0.0,0.0,2,6979.32,5596.03
2012-09-21,6041.87,5988.79,6061.18,5975.96,-67.67,-1.12,291.6,0.0,0.0,0.0,0.0,0.0,0.0,2,6940.92,5565.25
2012-09-24,5959.61,6010.18,6027.53,5911.46,21.39,0.36,267.76,0.0,0.0,0.0,22.09,38.19,-10.11,2,6901.53,5533.66
2012-09-25,6001.37,5987.55,6045.38,5966.87,-22.63,-0.38,261.58,0.0,0.0,0.0,19.57,31.98,-5.26,2,6855.29,5496.58
2012-09-26,5985.68,5868.39,6001.74,5852.14,-119.16,-1.99,278.95,0.0,0.0,0.0,14.05,26.0,-9.85,1,6794.01,5447.45
2012-09-27,5867.37,5974.84,6000.92,5860.71,106.46,1.81,337.07,6481.46,6161.87,5842.27,17.78,23.26,6.82,1,6753.14,5414.68
2012-09-28,5945.79,6062.15,6062.83,5927.14,87.31,1.46,354.57,6480.08,6164.28,5848.47,29.62,25.38,38.08,2,6722.95,5390.48
2012-10-08,6061.57,6061.01,6085.32,6032.52,-1.14,-0.02,242.82,6479.27,6160.41,5841.55,37.41,29.39,53.44,2,6708.26,5378.7
2012-10-09,6067.15,6227.03,6227.95,6067.15,166.02,2.74,438.61,6485.65,6167.0,5848.35,58.14,38.97,96.47,2,6712.71,5382.26
2012-10-10,6221.52,6271.0,6275.05,6199.35,43.97,0.71,384.89,6495.5,6174.44,5853.39,71.77,49.91,115.51,2,6716.32,5385.16
2012-10-11,6269.48,6217.39,6305.07,6216.11,-53.61,-0.85,412.47,6498.78,6177.25,5855.73,74.73,58.18,107.83,2,6734.18,5399.48
2012-10-12,6226.88,6204.89,6277.7,6150.45,-12.5,-0.2,338.01,6484.46,6170.76,5857.07,75.78,64.05,99.25,2,6758.17,5418.71
2012-10-15,6214.5,6254.15,6254.72,6186.71,49.27,0.79,366.86,6468.73,6165.22,5861.71,80.11,69.4,101.52,2,6785.25,5440.43
2012-10-16,6251.5,6308.48,6363.43,6241.62,54.33,0.87,503.58,6451.5,6160.43,5869.37,83.09,73.96,101.35,2,6820.88,5468.99
2012-10-17,6315.63,6307.42,6335.56,6264.39,-1.07,-0.02,322.09,6429.35,6154.78,5880.22,84.45,77.46,98.43,0,6869.61,5508.06
2012-10-18,6310.76,6374.44,6386.01,6310.65,67.02,1.06,390.52,6435.53,6156.35,5877.18,88.54,81.15,103.32,0,6913.96,5543.63
2012-10-19,6373.44,6330.97,6376.89,6314.94,-43.46,-0.68,357.82,6434.98,6156.2,5877.41,86.61,82.97,93.88,0,6943.8,5567.55
2012-10-22,6306.99,6360.98,6367.18,6295.68,30.01,0.47,307.31,6457.07,6164.58,5872.09,87.53,84.49,93.61,0,6977.1,5594.25
2012-10-23,6359.17,6246.56,6370.79,6240.94,-114.41,-1.8,400.95,6462.11,6167.56,5873.01,71.95,80.31,55.24,2,6979.27,5595.99
2012-10-24,6220.26,6195.95,6247.15,6177.35,-50.62,-0.81,312.49,6458.51,6165.43,5872.35,54.41,71.68,19.87,2,6970.94,5589.31
2012-10-25,6197.39,6137.59,6224.85,6127.92,-58.36,-0.94,301.51,6458.64,6169.49,5880.33,37.52,60.29,-8.02,2,6962.08,5582.21
2012-10-26,6131.41,6066.53,6141.01,6006.56,-71.06,-1.16,319.35,6454.69,6173.37,5892.06,30.28,50.29,-9.73,2,6946.72,5569.89
2012-10-29,6058.31,6112.12,6112.41,6035.13,45.59,0.75,263.1,6451.35,6178.47,5905.6,29.46,43.35,1.69,2,6930.96,5557.25
2012-10-30,6102.9,6120.02,6175.0,6101.09,7.9,0.13,343.18,6445.24,6185.1,5924.95,29.61,38.77,11.29,2,6910.04,5540.48
2012-10-31,6115.11,6168.9,6168.9,6106.56,48.87,0.8,363.93,6416.38,6200.12,5983.87,34.35,37.29,28.46,2,6894.66,5528.15
2012-11-01,6162.74,6239.26,6247.29,6162.66,70.36,1.14,396.33,6403.67,6213.34,6023.02,44.2,39.6,53.4,2,6879.66,5516.12
2012-11-02,6239.91,6254.34,6255.7,6210.99,15.08,0.24,307.97,6400.77,6222.95,6045.14,52.14,43.78,68.87,2,6871.15,5509.3
2012-11-05,6252.67,6232.3,6274.76,6206.7,-22.04,-0.35,355.12,6393.06,6231.52,6069.97,62.82,50.12,88.2,2,6856.87,5497.85
2012-11-06,6224.67,6201.43,6226.07,6118.32,-30.88,-0.5,348.87,6392.31,6230.24,6068.16,66.1,55.45,87.4,2,6851.86,5493.83
2012-11-07,6193.51,6187.57,6201.32,6152.94,-13.86,-0.22,287.2,6388.02,6226.06,6064.11,66.56,59.15,81.38,2,6850.93,5493.09
2012-11-08,6139.72,6072.67,6156.22,6066.25,-114.9,-1.86,338.71,6394.08,6218.83,6043.58,49.6,55.97,36.85,2,6843.72,5487.31
2012-11-09,6062.9,6021.43,6094.12,6007.73,-51.24,-0.84,279.54,6404.92,6209.66,6014.39,34.77,48.9,6.52,2,6838.71,5483.29
2012-11-12,6011.67,5974.47,6040.18,5928.72,-46.96,-0.78,285.53,6414.79,6195.67,5976.55,27.59,41.8,-0.83,2,6823.44,5471.04
2012-11-13,5967.37,5878.68,5967.66,5865.67,-95.8,-1.6,288.24,6426.61,6174.18,5921.76,19.45,34.35,-10.34,2,6796.65,5449.56
2012-11-14,5869.94,5923.65,5924.13,5859.81,44.98,0.77,240.3,6421.92,6154.99,5888.07,18.1,28.93,-3.57,2,6769.42,5427.74
2012-11-15,5901.41,5883.87,5949.36,5870.54,-39.79,-0.67,297.98,6402.33,6130.46,5858.6,14.0,23.95,-5.92,2,6729.98,5396.11
2012-11-16,5872.46,5810.09,5873.83,5772.73,-73.77,-1.25,285.03,6393.71,6104.42,5815.14,12.08,20.0,-3.76,2,6680.66,5356.57
2012-11-19,5800.58,5793.26,5802.59,5724.2,-16.84,-0.29,254.38,6370.42,6076.03,5781.65,12.88,17.62,3.39,1,6631.93,5317.49
2012-11-20,5796.89,5767.31,5817.88,5762.77,-25.94,-0.45,204.01,6364.5,6052.07,5739.64,11.91,15.72,4.3,1,6583.74,5278.86
2012-11-21,5766.91,5803.08,5804.71,5682.25,35.76,0.62,272.96,6355.43,6032.43,5709.43,17.72,16.39,20.39,1,6541.06,5244.64
2012-11-22,5779.7,5717.5,5779.88,5711.57,-85.58,-1.47,222.65,6358.1,6011.42,5664.74,15.1,15.96,13.38,1,6501.64,5213.03
2012-11-23,5717.04,5724.59,5746.71,5701.64,7.09,0.12,217.97,6361.57,5994.33,5627.09,15.01,15.64,13.75,1,6468.69,5186.61
2012-11-26,5718.34,5675.11,5720.73,5664.58,-49.48,-0.86,206.67,6360.5,5972.48,5584.46,11.24,14.17,5.37,1,6435.46,5159.97
2012-11-27,5663.1,5499.73,5663.1,5490.4,-175.37,-3.09,314.38,6373.96,5941.46,5508.96,8.17,12.17,0.17,1,6393.4,5126.24
2012-11-28,5483.07,5386.49,5483.07,5370.31,-113.25,-2.06,265.38,6384.2,5902.34,5420.48,6.52,10.29,-1.02,1,6333.77,5078.43
2012-11-29,5385.7,5376.85,5432.58,5364.74,-9.64,-0.18,223.29,6366.44,5859.22,5352.0,5.24,8.6,-1.5,1,6277.5,5033.31
2012-11-30,5374.92,5422.96,5424.04,5353.86,46.11,0.86,229.09,6324.81,5817.65,5310.5,8.45,8.55,8.26,1,6234.52,4998.85
2012-12-03,5417.92,5282.66,5424.86,5276.45,-140.3,-2.59,263.29,6290.79,5770.17,5249.55,6.03,7.71,2.66,1,6177.85,4953.41
2012-12-04,5261.58,5308.79,5311.57,5184.26,26.13,0.49,323.59,6243.66,5725.54,5207.41,10.99,8.8,15.36,1,6126.95,4912.6
2012-12-05,5294.53,5479.63,5503.91,5285.12,170.83,3.22,463.59,6172.68,5690.14,5207.61,24.83,14.15,46.2,2,6091.05,4883.81
2012-12-06,5470.56,5456.23,5492.87,5418.57,-23.4,-0.43,279.36,6118.36,5659.32,5200.28,33.45,20.58,59.19,2,6062.05,4860.56
2012-12-07,5450.32,5561.44,5562.41,5424.9,105.22,1.93,430.42,6065.61,5636.32,5207.03,48.56,29.91,85.86,2,6043.94,4846.04
2012-12-10,5560.75,5609.31,5609.66,5533.06,47.86,0.86,475.68,6018.36,5618.06,5217.77,65.68,41.83,113.37,2,6036.63,4840.18
2012-12-11,5590.47,5567.64,5598.64,5552.87,-41.67,-0.74,398.78,5984.86,5602.51,5220.16,73.83,52.5,116.49,2,6044.17,4846.23
2012-12-12,5553.61,5538.78,5576.26,5496.01,-28.86,-0.52,319.14,5936.67,5583.27,5229.86,77.0,60.66,109.66,2,6061.08,4859.78
2012-12-13,5523.59,5488.52,5541.85,5483.09,-50.26,-0.91,311.51,5890.69,5563.5,5236.3,75.17,65.5,94.52,2,6073.47,4869.72
2012-12-14,5483.03,5672.87,5678.91,5480.43,184.34,3.36,611.24,5868.25,5556.64,5245.03,83.04,71.35,106.43,2,6101.21,4891.96
2012-12-17,5662.74,5644.16,5669.74,5588.43,-28.71,-0.51,557.36,5844.5,5549.18,5253.87,85.75,76.15,104.96,2,6141.34,4924.14
2012-12-18,5645.39,5651.44,5688.09,5628.3,7.28,0.13,724.03,5825.62,5543.39,5261.16,85.97,79.42,99.06,2,6179.37,4954.63
2012-12-19,5650.76,5674.29,5686.44,5635.68,22.85,0.4,519.63,5800.44,5536.95,5273.46,88.9,82.58,101.53,2,6200.98,4971.96
2012-12-20,5657.92,5651.88,5669.53,5598.79,-22.41,-0.39,538.66,5789.61,5533.67,5277.73,86.79,83.98,92.39,2,6222.7,4989.37
2012-12-21,5650.92,5707.43,5717.06,5631.39,55.55,0.98,557.1,5786.29,5532.81,5279.33,89.83,85.93,97.64,2,6238.9,5002.36
2012-12-24,5701.28,5817.47,5818.03,5697.55,110.04,1.93,517.26,5815.98,5539.93,5263.88,93.17,88.34,102.81,2,6262.01,5020.89
2012-12-25,5812.19,5929.08,5936.9,5799.28,111.61,1.92,740.45,5884.39,5561.4,5238.4,94.87,90.52,103.58,2,6302.13,5053.06
2012-12-26,5928.7,5974.2,5974.2,5903.46,45.12,0.76,563.24,5949.72,5590.78,5231.85,96.58,92.54,104.66,2,6350.46,5091.81
2012-12-27,5976.45,5928.15,5988.14,5921.04,-46.05,-0.77,574.59,5991.72,5618.35,5244.98,92.72,92.6,92.96,2,6399.26,5130.94
2012-12-28,5928.61,5997.56,5997.56,5903.42,69.41,1.17,534.46,6043.6,5647.08,5250.56,95.15,93.45,98.54,2,6435.3,5159.83
2012-12-31,6008.68,6052.52,6052.52,5991.33,54.96,0.92,624.41,6082.58,5685.57,5288.56,96.76,94.55,101.18,2,6480.63,5196.18
2013-01-04,6079.93,5966.6,6087.2,5918.42,-85.92,-1.42,668.73,6093.55,5718.46,5343.37,89.61,92.91,83.02,2,6515.61,5224.23
2013-01-07,6010.65,6116.62,6118.34,6010.65,150.02,2.51,837.16,6146.46,5750.31,5354.16,92.96,92.92,93.02,2,6564.71,5263.59
2013-01-08,6133.86,6257.11,6281.62,6133.86,140.49,2.3,1112.18,6220.0,5790.35,5360.71,93.91,93.25,95.22,2,6631.89,5317.46
2013-01-09,6252.89,6222.94,6264.64,6181.84,-34.17,-0.55,876.64,6278.58,5823.43,5368.27,91.88,92.79,90.06,2,6689.11,5363.34
2013-01-10,6225.37,6289.58,6289.58,6218.57,66.64,1.07,642.76,6344.09,5857.44,5370.79,94.59,93.39,96.98,2,6741.51,5405.36
2013-01-11,6282.38,6191.35,6289.13,6177.28,-98.23,-1.56,667.38,6376.93,5888.63,5400.33,87.91,91.57,80.61,2,6770.63,5428.7
2013-01-14,6207.74,6450.29,6451.54,6207.74,258.94,4.18,957.85,6452.61,5934.2,5415.8,91.87,91.67,92.27,2,6823.47,5471.07
2013-01-15,6461.6,6555.12,6580.43,6455.67,104.83,1.63,1053.42,6530.44,5987.53,5444.62,93.3,92.21,95.49,2,6893.07,5526.87
2013-01-16,6552.72,6573.81,6595.02,6476.91,18.69,0.29,921.39,6611.87,6032.58,5453.29,94.49,92.97,97.53,2,6957.03,5578.16
2013-01-17,6569.18,6542.01,6619.21,6528.52,-31.8,-0.48,689.75,6668.44,6077.47,5486.51,92.1,92.68,90.93,0,7011.36,5621.72
2013-01-18,6547.31,6638.13,6645.39,6531.54,96.12,1.47,573.9,6731.85,6126.81,5521.77,94.26,93.21,96.36,0,7085.9,5681.49
2013-01-21,6651.54,6680.31,6681.75,6614.5,42.18,0.64,603.1,6790.52,6177.11,5563.7,96.08,94.16,99.91,0,7148.47,5731.66
2013-01-22,6674.29,6557.47,6674.29,6516.98,-122.84,-1.84,606.72,6807.05,6222.39,5637.72,89.17,92.5,82.52,2,7181.81,5758.39
2013-01-23,6543.89,6568.92,6581.53,6488.17,11.45,0.17,489.92,6818.08,6265.46,5712.84,85.33,90.11,75.76,2,7220.22,5789.18
2013-01-24,6563.34,6458.66,6626.24,6413.66,-110.27,-1.68,702.55,6815.79,6297.52,5779.25,74.53,84.92,53.76,2,7238.98,5804.23
2013-01-25,6451.02,6560.24,6565.42,6450.72,101.58,1.57,505.79,6830.35,6329.08,5827.8,67.91,79.25,45.24,2,7279.93,5837.06
2013-01-28,6550.38,6740.29,6740.29,6550.38,180.06,2.74,692.39,6871.41,6367.38,5863.36,78.61,79.03,77.75,2,7312.12,5862.87
2013-01-29,6734.38,6754.9,6769.43,6714.12,14.61,0.22,676.17,6897.24,6408.72,5920.2,84.38,80.82,91.5,2,7334.3,5880.65
2013-01-30,6754.09,6755.81,6761.05,6680.7,0.91,0.01,716.55,6919.06,6446.63,5974.21,88.31,83.31,98.3,2,7354.5,5896.85
2013-01-31,6758.95,6711.6,6770.12,6689.74,-44.21,-0.65,594.99,6928.83,6479.59,6030.35,86.73,84.45,91.29,2,7373.32,5911.94
2013-02-01,6700.12,6728.71,6768.2,6686.32,17.11,0.25,614.92,6912.4,6517.69,6122.99,87.28,85.4,91.06,2,7383.38,5920.0
2013-02-04,6736.58,6592.08,6750.31,6582.87,-136.63,-2.03,603.06,6891.42,6541.47,6191.52,74.87,81.89,60.84,2,7373.58,5912.15
2013-02-05,6567.61,6690.3,6701.75,6559.46,98.22,1.49,522.04,6893.05,6563.13,6233.21,75.78,79.85,67.65,2,7388.33,5923.97
2013-02-06,6688.02,6805.55,6814.3,6686.35,115.25,1.72,603.4,6898.95,6592.26,6285.56,83.05,80.92,87.32,2,7414.59,5945.03
2013-02-07,6789.99,6870.03,6876.86,6786.01,64.48,0.95,533.32,6917.59,6621.28,6324.97,88.01,83.28,97.45,2,7460.26,5981.65
2013-02-08,6864.2,7021.76,7049.45,6860.93,151.74,2.21,621.44,6938.51,6662.8,6387.09,90.12,85.56,99.24,2,7511.48,6022.72
2013-02-18,7051.31,7067.72,7087.62,7018.94,45.96,0.65,640.17,7003.45,6693.67,6383.89,92.16,87.76,100.95,2,7547.83,6051.86
2013-02-19,7056.63,7022.65,7084.49,6996.06,-45.07,-0.64,744.73,7051.09,6717.05,6383.01,90.67,88.73,94.55,2,7577.55,6075.69
2013-02-20,7014.8,7320.04,7320.04,7013.89,297.39,4.23,984.47,7172.25,6754.36,6336.47,93.78,90.41,100.51,2,7640.18,6125.91
2013-02-21,7299.31,7208.82,7370.05,7137.57,-111.22,-1.52,1047.38,7237.67,6787.7,6337.73,89.22,90.02,87.64,2,7695.37,6170.16
2013-02-22,7185.7,7111.01,7235.76,7095.87,-97.81,-1.36,633.13,7276.82,6811.34,6345.87,82.16,87.4,71.69,2,7737.81,6204.19
