time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,1619.92,1622.29,1632.31,1616.62,-1.93,-0.12,258.15,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,1618.48,1648.45,1653.72,1616.43,26.17,1.61,335.14,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,1647.54,1630.5,1654.84,1627.52,-17.96,-1.09,279.67,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,1627.94,1639.94,1645.73,1624.29,9.44,0.58,263.44,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,1641.61,1658.91,1659.27,1641.36,18.97,1.16,277.44,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,1667.54,1713.88,1732.11,1667.54,54.97,3.31,735.11,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,1718.77,1727.35,1732.86,1712.53,13.47,0.79,472.04,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,1720.39,1726.51,1731.29,1711.76,-0.84,-0.05,400.11,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,1733.25,1733.63,1741.05,1716.19,7.12,0.41,479.98,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,1732.96,1712.37,1739.14,1711.32,-21.26,-1.23,417.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1866.34,1496.43
2012-09-14,1732.76,1725.54,1738.71,1709.78,13.17,0.77,565.84,0.0,0.0,0.0,0.0,0.0,0.0,2,1877.8,1505.62
2012-09-17,1724.96,1683.49,1732.7,1682.44,-42.05,-2.44,436.47,0.0,0.0,0.0,0.0,0.0,0.0,2,1881.69,1508.74
2012-09-18,1676.06,1679.13,1689.28,1668.12,-4.36,-0.26,307.12,0.0,0.0,0.0,0.0,0.0,0.0,2,1887.08,1513.07
2012-09-19,1678.64,1699.16,1699.63,1675.41,20.04,1.19,323.02,0.0,0.0,0.0,0.0,0.0,0.0,2,1893.66,1518.34
