time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,0.0,3127.15,0.0,0.0,3127.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,0.0,3099.13,0.0,0.0,3099.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,0.0,3076.93,0.0,0.0,3076.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,0.0,3058.55,0.0,0.0,3058.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,0.0,2999.69,0.0,0.0,2999.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,0.0,3023.08,0.0,0.0,3023.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,0.0,3044.24,0.0,0.0,3044.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,0.0,3032.09,0.0,0.0,3032.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,0.0,2964.23,0.0,0.0,2964.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,0.0,2849.62,0.0,0.0,2849.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3360.49,2694.45
2011-01-18,0.0,2848.97,0.0,0.0,2848.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3329.61,2669.69
2011-01-19,0.0,2922.52,0.0,0.0,2922.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3310.01,2653.97
2011-01-20,0.0,2803.61,0.0,0.0,2803.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3279.67,2629.65
2011-01-21,0.0,2842.88,0.0,0.0,2842.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3255.73,2610.45
2011-01-24,0.0,2800.88,0.0,0.0,2800.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3233.67,2592.76
2011-01-25,0.0,2784.1,0.0,0.0,2784.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3207.14,2571.49
2011-01-26,0.0,2821.77,0.0,0.0,2821.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3182.44,2551.69
2011-01-27,0.0,2873.34,0.0,0.0,2873.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3164.82,2537.56
2011-01-28,0.0,2881.59,0.0,0.0,2881.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3155.65,2530.21
2011-01-31,0.0,2914.03,0.0,0.0,2914.03,0.0,0.0,3154.97,2938.42,2721.87,0.0,0.0,0.0,2,3162.8,2535.94
2011-02-01,0.0,2922.89,0.0,0.0,2922.89,0.0,0.0,3126.7,2928.21,2729.71,0.0,0.0,0.0,2,3171.0,2542.52
2011-02-09,0.0,2860.13,0.0,0.0,2860.13,0.0,0.0,3100.41,2916.26,2732.1,0.0,0.0,0.0,2,3164.08,2536.96
2011-02-10,0.0,2929.68,0.0,0.0,2929.68,0.0,0.0,3077.92,2908.89,2739.87,0.0,0.0,0.0,2,3178.07,2548.18
2011-02-11,0.0,2947.43,0.0,0.0,2947.43,0.0,0.0,3059.1,2903.34,2747.57,0.0,0.0,0.0,2,3189.68,2557.49
2011-02-14,0.0,3084.7,0.0,0.0,3084.7,0.0,0.0,3077.62,2907.59,2737.55,0.0,0.0,0.0,2,3221.18,2582.75
2011-02-15,0.0,3092.03,0.0,0.0,3092.03,0.0,0.0,3092.7,2911.04,2729.38,0.0,0.0,0.0,2,3255.36,2610.16
2011-02-16,0.0,3137.49,0.0,0.0,3137.49,0.0,0.0,3114.75,2915.7,2716.65,0.0,0.0,0.0,2,3290.41,2638.25
2011-02-17,0.0,3124.79,0.0,0.0,3124.79,0.0,0.0,3133.8,2920.33,2706.86,0.0,0.0,0.0,2,3318.32,2660.63
2011-02-18,0.0,3087.5,0.0,0.0,3087.5,0.0,0.0,3151.49,2926.5,2701.51,0.0,0.0,0.0,2,3341.17,2678.96
2011-02-21,0.0,3137.35,0.0,0.0,3137.35,0.0,0.0,3180.68,2940.88,2701.09,0.0,0.0,0.0,2,3365.96,2698.84
2011-02-22,0.0,3041.12,0.0,0.0,3041.12,0.0,0.0,3190.19,2950.49,2710.8,0.0,0.0,0.0,2,3379.09,2709.36
2011-02-23,0.0,3050.62,0.0,0.0,3050.62,0.0,0.0,3200.08,2956.9,2713.71,0.0,0.0,0.0,2,3400.23,2726.31
2011-02-24,0.0,3074.92,0.0,0.0,3074.92,0.0,0.0,3208.14,2970.46,2732.79,0.0,0.0,0.0,2,3416.35,2739.24
2011-02-25,0.0,3084.03,0.0,0.0,3084.03,0.0,0.0,3217.53,2982.52,2747.51,0.0,0.0,0.0,2,3431.52,2751.39
2011-02-28,0.0,3122.15,0.0,0.0,3122.15,0.0,0.0,3225.52,2998.58,2771.65,0.0,0.0,0.0,2,3435.67,2754.73
2011-03-01,0.0,3140.44,0.0,0.0,3140.44,0.0,0.0,3228.66,3016.4,2804.14,0.0,0.0,0.0,2,3441.05,2759.04
2011-03-02,0.0,3115.79,0.0,0.0,3115.79,0.0,0.0,3227.54,3031.1,2834.66,0.0,0.0,0.0,2,3438.64,2757.11
2011-03-03,0.0,3089.6,0.0,0.0,3089.6,0.0,0.0,3225.84,3041.91,2857.99,0.0,0.0,0.0,2,3434.73,2753.97
2011-03-04,0.0,3151.86,0.0,0.0,3151.86,0.0,0.0,3229.71,3055.43,2881.14,0.0,0.0,0.0,2,3441.87,2759.7
2011-03-07,0.0,3250.73,0.0,0.0,3250.73,0.0,0.0,3253.57,3072.26,2890.96,0.0,0.0,0.0,2,3454.46,2769.79
2011-03-08,0.0,3247.34,0.0,0.0,3247.34,0.0,0.0,3271.48,3088.48,2905.49,0.0,0.0,0.0,2,3477.35,2788.15
2011-03-09,0.0,3238.6,0.0,0.0,3238.6,0.0,0.0,3269.06,3107.41,2945.76,0.0,0.0,0.0,2,3498.22,2804.88
2011-03-10,0.0,3160.74,0.0,0.0,3160.74,0.0,0.0,3259.85,3118.96,2978.07,0.0,0.0,0.0,0,3507.74,2812.51
2011-03-11,0.0,3125.49,0.0,0.0,3125.49,0.0,0.0,3244.72,3127.86,3011.01,0.0,0.0,0.0,2,3512.34,2816.2
2011-03-14,0.0,3128.17,0.0,0.0,3128.17,0.0,0.0,3245.21,3130.04,3014.87,0.0,0.0,0.0,2,3513.01,2816.74
2011-03-15,0.0,3065.6,0.0,0.0,3065.6,0.0,0.0,3246.19,3128.72,3011.25,0.0,0.0,0.0,2,3504.71,2810.08
2011-03-16,0.0,3127.81,0.0,0.0,3127.81,0.0,0.0,3245.63,3128.23,3010.83,0.0,0.0,0.0,2,3506.04,2811.15
2011-03-17,0.0,3065.98,0.0,0.0,3065.98,0.0,0.0,3245.8,3125.29,3004.79,0.0,0.0,0.0,2,3503.42,2809.05
2011-03-18,0.0,3089.1,0.0,0.0,3089.1,0.0,0.0,3245.78,3125.37,3004.97,0.0,0.0,0.0,2,3496.45,2803.46
2011-03-21,0.0,3084.33,0.0,0.0,3084.33,0.0,0.0,3244.28,3122.72,3001.16,0.0,0.0,0.0,2,3477.98,2788.65
