time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2019-05-16,1523.11,1538.61,1540.29,1521.28,14.93,0.98,3990.47,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2019-05-17,1537.74,1496.21,1538.09,1491.06,-42.4,-2.76,3859.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2019-05-20,1493.07,1482.3,1495.82,1467.44,-13.91,-0.93,3072.89,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2019-05-21,1482.92,1506.19,1510.71,1481.67,23.88,1.61,3661.03,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2019-05-22,1495.95,1489.29,1500.1,1484.5,-16.89,-1.12,3118.38,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2019-05-23,1482.99,1465.2,1483.13,1462.23,-24.09,-1.62,3001.21,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2019-05-24,1460.8,1465.25,1471.89,1457.5,0.05,0.0,2503.97,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2019-05-27,1464.61,1483.88,1487.19,1454.52,18.63,1.27,3060.17,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2019-05-28,1480.97,1495.6,1501.28,1479.13,11.72,0.79,3591.52,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2019-05-29,1485.82,1489.1,1497.21,1482.0,-6.51,-0.43,2947.77,0.0,0.0,0.0,0.0,0.0,0.0,2,1655.19,1327.14
2019-05-30,1479.77,1480.14,1481.76,1468.7,-8.96,-0.6,2957.97,0.0,0.0,0.0,0.0,0.0,0.0,2,1648.7,1321.93
2019-05-31,1477.46,1472.46,1485.83,1471.4,-7.68,-0.52,2936.13,0.0,0.0,0.0,0.0,0.0,0.0,2,1646.06,1319.82
2019-06-03,1476.03,1466.17,1484.51,1460.76,-6.29,-0.43,3374.77,0.0,0.0,0.0,0.0,0.0,0.0,2,1644.27,1318.38
2019-06-04,1465.9,1451.45,1466.3,1446.32,-14.73,-1.0,2744.28,0.0,0.0,0.0,0.0,0.0,0.0,2,1638.2,1313.51
2019-06-05,1462.81,1446.63,1466.04,1445.34,-4.81,-0.33,2707.61,0.0,0.0,0.0,0.0,0.0,0.0,2,1633.46,1309.71
2019-06-06,1447.88,1433.03,1447.93,1430.48,-13.6,-0.94,2714.65,0.0,0.0,0.0,0.0,0.0,0.0,2,1629.89,1306.85
2019-06-10,1440.96,1447.51,1453.49,1436.12,14.48,1.01,2615.96,0.0,0.0,0.0,17.66,23.8,5.36,2,1627.92,1305.27
2019-06-11,1452.13,1493.53,1494.0,1452.12,46.02,3.18,4835.94,0.0,0.0,0.0,43.27,30.29,69.22,2,1628.99,1306.13
2019-06-12,1489.4,1485.59,1494.94,1481.76,-7.94,-0.53,4178.67,0.0,0.0,0.0,57.34,39.31,93.41,2,1627.88,1305.24
2019-06-13,1482.39,1481.47,1485.88,1468.86,-4.12,-0.28,3026.98,1525.09,1478.48,1431.87,64.6,47.74,98.31,2,1627.04,1304.56
2019-06-14,1482.12,1465.49,1486.21,1463.33,-15.98,-1.08,3089.9,1512.63,1474.82,1437.01,61.17,52.21,79.08,2,1625.41,1303.26
2019-06-17,1465.59,1467.63,1475.38,1461.51,1.61,0.11,2297.73,1510.01,1473.4,1436.79,59.99,54.81,70.36,2,1624.87,1302.83
2019-06-18,1468.94,1465.61,1471.14,1460.03,-2.22,-0.15,2168.25,1509.08,1472.56,1436.04,58.16,55.92,62.63,2,1624.81,1302.78
2019-06-19,1493.93,1480.14,1498.54,1479.48,15.99,1.09,3510.76,1504.61,1471.26,1437.91,63.09,58.31,72.66,2,1628.0,1305.33
2019-06-20,1480.99,1507.83,1513.91,1477.61,27.69,1.87,4603.92,1508.4,1472.19,1435.97,72.79,63.14,92.09,2,1634.79,1310.78
2019-06-21,1510.87,1515.5,1520.88,1509.38,7.68,0.51,4492.44,1515.34,1474.7,1434.06,79.25,68.51,100.74,2,1643.94,1318.12
2019-06-24,1517.47,1523.34,1526.2,1513.91,7.83,0.52,3378.03,1523.14,1477.61,1432.07,84.73,73.92,106.35,2,1652.36,1324.87
2019-06-25,1521.17,1508.8,1521.17,1494.64,-14.53,-0.95,3886.02,1526.32,1478.85,1431.38,81.05,76.3,90.57,2,1654.06,1326.22
2019-06-26,1503.19,1509.5,1514.83,1499.23,0.69,0.05,2586.66,1528.37,1479.55,1430.73,78.96,77.18,82.5,2,1656.71,1328.35
2019-06-27,1513.16,1518.52,1526.66,1513.02,9.02,0.6,3077.9,1532.6,1481.02,1429.44,81.9,78.75,88.19,2,1660.82,1331.65
2019-06-28,1516.81,1509.52,1516.81,1500.93,-9.0,-0.59,2656.14,1535.53,1482.49,1429.44,79.36,78.96,80.16,2,1665.71,1335.57
2019-07-01,1532.0,1539.54,1539.54,1525.99,30.02,1.99,4256.58,1544.15,1485.84,1427.53,86.24,81.38,95.95,2,1673.69,1341.97
2019-07-02,1537.82,1539.35,1541.72,1532.3,-0.19,-0.01,3398.61,1551.48,1489.5,1427.52,89.59,84.12,100.54,2,1681.88,1348.53
2019-07-03,1537.43,1531.93,1537.44,1526.55,-7.42,-0.48,3437.58,1555.55,1493.52,1431.5,86.13,84.79,88.81,2,1687.63,1353.14
2019-07-04,1533.41,1534.19,1542.97,1527.54,2.26,0.15,3579.8,1558.41,1497.9,1437.39,84.7,84.76,84.58,2,1690.55,1355.49
2019-07-05,1535.26,1536.33,1537.35,1526.2,2.14,0.14,2469.76,1557.92,1503.07,1448.21,85.22,84.91,85.83,2,1692.86,1357.34
2019-07-08,1529.6,1491.92,1529.6,1486.23,-44.41,-2.89,3487.73,1554.24,1505.29,1456.33,60.16,76.66,27.15,2,1689.38,1354.54
2019-07-09,1491.24,1487.57,1495.29,1480.81,-4.35,-0.29,2152.72,1554.3,1504.99,1455.68,43.73,65.68,-0.18,2,1687.02,1352.65
2019-07-10,1491.42,1477.26,1492.86,1472.87,-10.31,-0.69,1973.69,1554.66,1504.57,1454.48,31.24,54.2,-14.68,2,1683.44,1349.79
2019-07-11,1483.8,1477.3,1493.17,1472.55,0.04,0.0,2038.89,1554.87,1504.36,1453.86,23.08,43.83,-18.43,2,1678.87,1346.12
