time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2014-04-01,995.77,1009.4,1009.4,995.77,0.0,0.94,878.26,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2014-04-02,1009.99,1008.67,1012.35,1004.14,0.0,-0.07,994.81,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2014-04-03,1010.14,1002.73,1010.67,999.55,0.0,-0.59,937.49,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2014-04-04,1001.31,1013.97,1013.97,1001.31,0.0,1.12,803.9,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2014-04-08,1010.09,1031.21,1031.77,1010.09,0.0,1.7,1292.78,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2014-04-09,1033.17,1040.23,1041.88,1033.17,0.0,0.87,1190.91,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2014-04-10,1042.44,1048.88,1048.9,1037.14,0.0,0.83,1412.02,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2014-04-11,1046.48,1051.13,1053.35,1046.09,0.0,0.22,1223.3,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2014-04-14,1049.82,1053.75,1053.75,1048.03,0.0,0.25,995.19,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2014-04-15,1053.13,1042.35,1053.13,1041.46,0.0,-1.08,1259.5,0.0,0.0,0.0,0.0,0.0,0.0,2,1143.56,916.91
2014-04-16,1038.81,1044.78,1045.79,1038.2,0.0,0.23,951.37,0.0,0.0,0.0,0.0,0.0,0.0,2,1147.48,920.06
2014-04-17,1047.3,1043.02,1049.11,1041.84,0.0,-0.17,945.08,0.0,0.0,0.0,0.0,0.0,0.0,2,1151.3,923.11
2014-04-18,1039.45,1044.91,1044.97,1039.12,0.0,0.18,883.14,0.0,0.0,0.0,0.0,0.0,0.0,2,1155.98,926.87
2014-04-21,1034.68,1025.9,1041.19,1025.66,0.0,-1.82,1074.2,0.0,0.0,0.0,0.0,0.0,0.0,2,1157.3,927.93
2014-04-22,1023.68,1023.64,1028.53,1009.13,0.0,-0.22,1043.02,0.0,0.0,0.0,0.0,0.0,0.0,2,1156.46,927.25
2014-04-23,1021.35,1022.94,1025.53,1017.92,0.0,-0.07,920.57,0.0,0.0,0.0,0.0,0.0,0.0,2,1154.54,925.72
2014-04-24,1021.07,1010.17,1021.07,1009.21,0.0,-1.25,924.99,0.0,0.0,0.0,29.22,52.25,-16.85,2,1150.25,922.27
