time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,817.04,817.95,820.87,815.87,-1.5,-0.18,369.53,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,815.95,824.57,827.71,815.03,6.62,0.81,593.54,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,824.11,815.37,824.8,813.68,-9.2,-1.12,489.1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,813.98,813.95,819.25,809.74,-1.42,-0.17,492.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,815.07,817.93,819.8,812.19,3.97,0.49,443.66,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,821.97,849.57,857.39,821.97,31.65,3.87,1453.85,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,849.49,853.8,855.71,846.89,4.23,0.5,890.26,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,849.78,849.03,849.78,842.95,-4.77,-0.56,628.89,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,851.58,850.96,855.75,844.01,1.93,0.23,635.35,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,850.55,844.11,852.6,843.66,-6.85,-0.8,566.78,0.0,0.0,0.0,0.0,0.0,0.0,2,925.43,742.01
2012-09-14,850.15,849.09,853.34,842.88,4.98,0.59,788.08,0.0,0.0,0.0,0.0,0.0,0.0,2,928.89,744.79
2012-09-17,847.41,826.46,847.41,826.14,-22.63,-2.66,582.61,0.0,0.0,0.0,0.0,0.0,0.0,2,929.1,744.95
2012-09-18,823.37,818.91,825.22,817.06,-7.55,-0.91,439.15,0.0,0.0,0.0,0.0,0.0,0.0,2,929.49,745.27
2012-09-19,819.04,823.45,824.67,818.29,4.55,0.56,460.86,0.0,0.0,0.0,0.0,0.0,0.0,2,930.55,746.11
2012-09-20,821.6,804.06,821.6,803.77,-19.4,-2.36,557.82,0.0,0.0,0.0,0.0,0.0,0.0,2,929.01,744.88
2012-09-21,802.71,803.75,810.52,802.23,-0.31,-0.04,485.36,0.0,0.0,0.0,0.0,0.0,0.0,2,923.92,740.8
2012-09-24,799.1,805.66,808.74,793.47,1.92,0.24,517.32,0.0,0.0,0.0,20.31,34.58,-8.24,2,918.58,736.52
2012-09-25,804.08,805.01,809.62,802.03,-0.66,-0.08,470.86,0.0,0.0,0.0,19.96,29.71,0.47,1,913.69,732.6
2012-09-26,804.17,792.79,805.95,792.01,-12.22,-1.52,403.24,0.0,0.0,0.0,13.73,24.38,-7.57,1,907.24,727.42
2012-09-27,792.71,815.68,820.24,792.71,22.89,2.89,841.39,860.87,824.11,787.34,23.4,24.05,22.08,2,904.08,724.89
2012-09-28,810.84,830.09,831.0,809.91,14.41,1.77,838.13,861.45,824.71,787.97,48.15,32.09,80.29,2,901.97,723.2
2012-10-08,829.42,823.07,833.37,819.01,-7.02,-0.85,502.36,861.38,824.64,787.89,57.13,40.44,90.53,2,901.59,722.9
2012-10-09,825.58,839.68,841.46,825.58,16.61,2.02,773.83,862.9,825.85,788.81,70.22,50.37,109.94,2,903.9,724.75
2012-10-10,837.5,842.7,843.43,834.59,3.02,0.36,555.43,864.61,827.29,789.97,79.68,60.14,118.76,2,906.04,726.46
2012-10-11,840.88,833.85,842.55,833.44,-8.85,-1.05,552.28,865.25,828.09,790.92,80.24,66.84,107.05,2,909.34,729.11
2012-10-12,835.89,834.39,843.13,828.48,0.54,0.06,570.53,863.31,827.33,791.35,80.97,71.55,99.81,2,912.74,731.84
2012-10-15,834.77,834.37,836.33,828.3,-0.03,0.0,405.93,860.42,826.36,792.29,81.44,74.84,94.63,2,915.93,734.4
2012-10-16,833.69,832.69,839.11,830.95,-1.67,-0.2,433.43,858.14,825.54,792.93,80.57,76.75,88.2,2,919.0,736.86
2012-10-17,835.07,833.48,837.15,827.18,0.78,0.09,487.29,855.38,824.66,793.95,77.15,76.88,77.68,2,923.52,740.48
2012-10-18,834.15,844.75,846.99,834.15,11.28,1.35,698.92,855.49,824.7,793.9,82.1,78.62,89.05,2,926.75,743.07
2012-10-19,843.38,841.65,845.9,841.07,-3.1,-0.37,480.99,854.1,824.32,794.55,79.75,79.0,81.26,2,928.03,744.1
2012-10-22,838.33,846.21,847.88,836.45,4.56,0.54,477.95,856.57,825.31,794.05,83.81,80.6,90.23,2,930.6,746.16
2012-10-23,847.65,840.49,850.06,839.26,-5.72,-0.68,517.89,858.18,826.39,794.6,75.27,78.82,68.15,2,930.69,746.23
2012-10-24,838.13,843.95,846.88,837.26,3.46,0.41,526.39,860.07,827.42,794.76,74.61,77.42,68.99,2,930.83,746.34
2012-10-25,843.45,838.58,852.9,837.05,-5.38,-0.64,634.37,860.29,829.14,797.99,64.51,73.12,47.31,2,931.35,746.76
2012-10-26,837.11,822.2,838.1,817.75,-16.38,-1.95,566.66,859.18,830.06,800.95,47.23,64.49,12.71,2,930.0,745.67
2012-10-29,820.7,820.8,823.4,816.94,-1.4,-0.17,419.73,858.08,830.82,803.56,35.06,54.68,-4.17,2,928.49,744.47
2012-10-30,820.51,821.58,827.97,819.1,0.77,0.09,445.05,856.64,831.65,806.66,27.68,45.68,-8.33,2,927.26,743.48
2012-10-31,821.09,825.29,825.93,816.61,3.72,0.45,421.21,851.16,833.28,815.39,26.42,39.26,0.75,2,926.35,742.75
